自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,175413,,241755,692-64S-CN-qq-e-f1-599,692-64S-CN-qq-e-d-599,4996338074089,692 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12)/7k(8・9・10・11)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-50～0,-50～0/-50～0,-35/-30,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,184500
スバル,インプレッサ,GVB/GVF,2010/7～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,175413,,241514,692-64S-CN-qq-e-f1-600,692-64S-CN-qq-e-d-600,4996338074089,692 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12)/7k(8・9・10・11)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-55～0,-50～0/-55～-5,-35/-35,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,184500
スバル,レガシィB4,BL5/BLE,2003/5～2009/5,2.0R/2.0GT/2.0GT スペックB,4WD/2000・2000T・3000<br>アプライドA～F,175413,,241507,685-64S-CN-qq-e-f1-577,685-64S-CN-qq-e-d-577,4996338073792,685 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,7k(8・9・10・11・12)/7k(8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-65～0/-35～0,-50～0/-35～0,-30/-30,65/65,200/180,全長調整式/全長調整式,単筒式,リヤ装着時純正バンプラバー取外し必要<br>オプションをご希望の場合、事前にお問合せください,,228000,184500
スバル,レガシィツーリングワゴン,BP5/BPE,2003/5～2009/5,2.0GT/2.0GT スペックB/2.0R/3.0R,4WD/2000・2000T・3000<br>アプライドA～F,175413,,241272,685-64S-CN-qq-e-f1-578,685-64S-CN-qq-e-d-578,4996338073792,685 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,7k(8・9・10・11・12)/7k(8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-75～0/-50～0,-50～-10/-50～0,-40/-45,65/65,200/180,全長調整式/全長調整式,単筒式,リヤ装着時純正バンプラバー取外し必要<br>オプションをご希望の場合、事前にお問合せください,,228000,184500
スバル,レガシィツーリングワゴン,BR9,2009/5～2014/10,2.5GT,4WD/2500T,167768,,241924,687-64S-CB-qq-e-f1-582,687-64S-CB-qq-e-d-582,4996338074393,687 64S CB,CUSCO,SPORT S,-/強化ゴム固定式,7k(6・8・9・10)/6k(5・7・8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～-20/-60～0,-60～-20/-60～0,-45/-45,65/65,250/200,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,218000,177200
トヨタ,86,ZN6,2012/4～2016/7<br>2016/8～,GTリミテッド/GT/G/RC,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,175413,,241352,965-64S-CN-qq-e-f1-889,965-64S-CN-qq-e-d-889,4996338074072,965 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(6・7・9・10・11・12)/7k(5・6・8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-55～0/-60～0,前期:-15～0 後期:-40～0/-35～0,-15/-25,65/65,レートによる/180,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フロントバンパーウィンカーレンズの高さ(下端が地上から350mm以上)に注意が必要、純正-15mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,228000,181500
トヨタ,マークX,GRX120/GRX121,2004/11～2009/10,250G/300G,FR/2500・3000,152478,,241124,198-64S-CN-qq-e-f1-45,198-64S-CN-qq-e-d-45,4996338074607,198 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,14k(11・12・16・18)/6k(5・7・8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-80～0,-55～0/-80～0,-45/-55,65/65,200/250,全長調整式/全長調整式,単筒式,取付時リヤ左側のインナーフェンダーカバー(燃料管のカバー)取り外しが必要<br>スプリング変更時、フロント16k/18k リヤ8k/9k/10kはスプリング色が黒になります<br>オプションをご希望の場合、事前にお問合せください,,198000,159600
トヨタ,マークX,GRX130,2009/10～,2.5Sパッケージ,FR/2500,152478,,241846,199-64S-CN-qq-e-f1-46,199-64S-CN-qq-e-d-46,4996338074171,199 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,12k(11・14・16・18)/6k(5・7・8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-80～0,-55～0/-65～0,-45/-50,65/65,200/250,全長調整式/全長調整式,単筒式,取付時リヤ左側のインナーフェンダーカバー(燃料管のカバー)取り外しが必要<br>スプリング変更時、フロント16k/18k リヤ8k/9k/10kはスプリング色が黒になります<br>オプションをご希望の場合、事前にお問合せください,,198000,159600
日産,シルビア,S14,1993/10～1999/1,J's/Q's/K's,FR/2000・2000T,175413,,241374,222-64S-CN-qq-e-f1-70,222-64S-CN-qq-e-d-70,4996338073617,222 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,7k(6・8・9・10)/4k(5・6・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-95～0/-115～0,-70～-20/-65～0,-50/-30,65/65,レートによる/250,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
日産,シルビア,S15,1999/1～2002/8,スペックS/スペックR,FR/2000・2000T,175413,,241134,223-64S-CN-qq-e-f1-74,223-64S-CN-qq-e-d-74,4996338074126,223 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,7k(6・8・9)/4k(5・6・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-95～0/-105～0,-70～0/-65～0,-45/-35,65/65,180/250,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
