自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スズキ,セルボ・モード,CN32S/CP32S,1991/9～1998/10,F6B,DOHCターボ,ディスク,11833,,292574,00C-022-R606-qq-e-f1-527k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,ワゴンR,CT21S/CV21S,1993/9～1998/10,F6A,DOHCターボ,ディスク,11833,,292907,00C-022-R606-qq-e-f1-530k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,ワゴンR,CT51S/CV51S,1997/4～1998/10,K6A,DOHCターボ,ディスク,11833,,292575,00C-022-R606-qq-e-f1-533k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スバル,BRZ,ZC6,2012/3～,FA20,前期・後期,ディスク＋カバー,42944,,293015,965-022-F-qq-e-f1-536k,4996338080875,965 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:6000/610(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,59000,0
スバル,BRZ,ZC6,2012/3～,FA20,前期・後期,ディスク,23117,,292916,00C-022-R666-qq-e-f1-537k,4996338080707,00C 022 R666,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,必ずクスコクラッチカバーとセットでご使用ください。,29500,1100
スバル,WRX STI,VAB,2014/8～,EJ20T,,ディスク＋カバー,44362,,292776,667-022-F-qq-e-f1-542k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,WRX STI,VAB,2014/8～,EJ20T,,ディスク,23117,,292584,00C-022-R667-qq-e-f1-543k,4996338084217,00C 022 R667,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサ,GC8,1992/11～1996/8,EJ20T,アプライドA～C,ディスク＋カバー,44362,,292727,660-022-FN-qq-e-f1-551k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー<br>ディスク径:φ230<br>アプライドAは別途純正レリーズベアリング(スバル純正品番30502AA130)が必要です。,,61000,0
スバル,インプレッサ,GC8,1992/11～1996/8,EJ20T,アプライドA～C,ディスク,23117,,292909,00C-022-R660N-qq-e-f1-552k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ225<br>スプライン径:25.2<br>歯数:24,ディスク径:φ230,,29500,1100
スバル,インプレッサ,GC8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク＋カバー,44362,,292728,660-022-FN-qq-e-f1-558k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
