自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
トヨタ,ヴィッツ,NCP91/SCP90/KSP90,2005/2～2010/11,U/X/RS,FF/1500・1300・1000,190703,,241790,901-64R-CB-qq-e-f1-761,901-64R-CB-qq-e-d-761,4996338073808,901 64R CB,CUSCO,SPORT R,,12k(7・8・9・10・11・13・14)/7k(4・5・6・8・9・10・11・12・13・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～-10/-60～-40,-60～-10/-60～-40,-40/-40,65/65,レートによる/レートによる,全長調整式/ネジスペーサー,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
トヨタ,ヴィッツ,NCP131/NSP130/KSP130,2010/12～,U/F/RS(NCP131),FF/1500・1300・1000,190703,,241315,901-64R-CB-qq-e-f1-760,901-64R-CB-qq-e-d-760,4996338073808,901 64R CB,CUSCO,SPORT R,,12k(7・8・9・10・11・13・14)/7k(4・5・6・8・9・10・11・12・13・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～-10/-60～-40,-60～-10/-60～-40,-40/-40,65/65,レートによる/レートによる,全長調整式/ネジスペーサー,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
日産,シルビア,S15,1999/1～2002/8,スペックS/スペックR,FR/2000・2000T,190703,,241853,223-64R-CP-qq-e-f1-73,223-64R-CP-qq-e-d-73,4996338073846,223 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,11k(8・9・10・12・14)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-95～0/-145～-5,-70～0/-65～-5,-55/-35,65/65,180/200,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,196100
ホンダ,CR-Z,ZF1/ZF2,2010/2～2017/1,α,FF/1500,175413,,241153,309-64R-CB-qq-e-f1-161,309-64R-CB-qq-e-d-161,4996338074157,309 64R CB,CUSCO,SPORT R,,10k(7・8・9・11・12・14)/9k(6・7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-55～0/-65～-35,-55～0/-60～-35,-45/-48,65/65,180/180,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,228000,181500
ホンダ,S2000,AP1/AP2,1999/4～2009/9,,FR/2000・2200,175413,,241167,380-64R-CP-qq-e-f1-211,380-64R-CP-qq-e-d-211,4996338074577,380 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,18k(14・15・16・20・22・24)/20k(14・15・16・18・22・24・26)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-75～0/-85～-5,-45～-20/-70～-15,-30/-40,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
ホンダ,インテグラタイプR,DC2,1995/10～2001/7,タイプR,FF/1800,175413,,241157,321-64R-CP-qq-e-f1-175,321-64R-CP-qq-e-d-175,4996338074584,321 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,22k(16・18・20・24・26)/18k(14・15・16・20・22)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-90～-30/-80～0,-45～-30/-55～0,-40/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
ホンダ,シビックタイプR,EK9,1997/8～2001/11,タイプR,FF/1600,175413,,241641,317-64R-CP-qq-e-f1-170,317-64R-CP-qq-e-d-170,4996338074164,317 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,24k(16・18・20・22・26)/18k(8・9・10・11・12・13・14・15・16・20・22)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-100～-40/-75～-20,-60～-40/-50～-20,-45/-45,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
ホンダ,シビックタイプR,FD2,2007/3～2010/8,タイプR,FF/2000,190703,,241646,329-64R-CN-qq-e-f1-179,329-64R-CN-qq-e-d-179,4996338074751,329 64R CN,CUSCO,SPORT R,ピロボール調整式/-,12k(7・8・9・10・14・16・18)/10k(5・6・7・8・9・11・12・13・14・15・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-65～0/-75～-40,-40～-10/-50～-40,-30/-40,65/65,レートによる/レートによる,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
ホンダ,フィット,GD1/GD3,2001/6～2003/9,Y/W/A/1.5T,FF/1300・1500<br>GD1前期:車体番号～GD1-2099999<br>GD3前期:車体番号～GD3-1699999,175413,,241165,368-64R-CB-qq-e-f1-201,368-64R-CB-qq-e-d-201,4996338072023,368 64R CB,CUSCO,SPORT R,,12k(7・8・9・10・14・16)/9k(6・7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-,-60～0/-60～-35,-45/-43,65/65,レートによる/180,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,228000,181500
ホンダ,フィット,GE6/GE8,2007/10～2013/9,G/L/X/RS(GE8),FF/1300・1500,175413,,241172,386-64R-CB-qq-e-f1-228,386-64R-CB-qq-e-d-228,4996338074102,386 64R CB,CUSCO,SPORT R,,9k(7・8・10・11・12・14)/8k(7・9・10・11・12・13・14・15・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-60～0/-70～-45,-55～0/-55～-45,-50/-45,65/65,180/150,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,228000,181500
