自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
トヨタ,86,ZN6,2012/04～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,132880,,302181,LSD-986-S-qq-e-f1-5557,4996338004857,LSD 986 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,スープラ,JZA80,1993/05～1996/03,2JZ-GE/2JZ-GTE,5MT/AT,オープンデフ,,1WAY,132880,,301314,LSD-167-S-qq-e-f1-5437,4996338019769,LSD 167 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,スープラ,JZA80,1993/05～1996/03,2JZ-GE/2JZ-GTE,5MT/AT,トルセン,,1WAY,132880,,299299,LSD-168-S-qq-e-f1-5416,4996338019783,LSD 168 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,スープラ,JZA80,1996/04～2002/07,2JZ-GE/2JZ-GTE,6MT/MT/AT,オープンデフ/トルセン,,1WAY,132880,,301765,LSD-167-S-qq-e-f1-5598,4996338019769,LSD 167 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,マークII/ヴェロッサ,JZX110,2000/10～2004/11,1JZ-GTE,AT,オープンデフ/トルセン,,1WAY,132880,,296747,LSD-160-S-qq-e-f1-5391,4996338019721,LSD 160 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,マークII/チェイサー/クレスタ,JZX100,1996/09～2000/10,1JZ-GTE,MT/AT,オープンデフ,,1WAY,132880,,296748,LSD-160-S-qq-e-f1-5547,4996338019721,LSD 160 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,マークII/チェイサー/クレスタ,JZX100,1996/09～2000/10,1JZ-GTE,MT/AT,トルセン,,1WAY,132880,,298200,LSD-159-S-qq-e-f1-5413,4996338019707,LSD 159 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DE,MT/AT,オープンデフ,オーテックバージョン含む,1WAY,132880,,297007,LSD-271-S-qq-e-f1-5421,4996338019868,LSD 271 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DE,MT/AT,ビスカス,オーテックバージョン含む,1WAY,132880,,299998,LSD-270-S-qq-e-f1-5419,4996338019844,LSD 270 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DE,MT/AT,ヘリカル,オーテックバージョン含む,1WAY,132880,,300995,LSD-271-S-qq-e-f1-5358,4996338019868,LSD 271 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DET,AT,ビスカス,,1WAY,132880,,302153,LSD-270-S-qq-e-f1-5556,4996338019844,LSD 270 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DET,MT,ヘリカル,,1WAY,132880,,300996,LSD-271-S-qq-e-f1-5359,4996338019868,LSD 271 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイライン,CPV35,2003/01～2007/10,VQ35DE,6MT,ビスカス,,1WAY,132880,,301441,LSD-251-S-qq-e-f1-5594,4996338019820,LSD 251 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
