自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
トヨタ,ハイエース,KZH116G,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,フルタイム4WD,1.5WAY,100320,,299623,HBD-803-L15-qq-e-f1-5653,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(～1999/07の純正LSD無の4AT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KZH116G,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,フルタイム4WD,1WAY,100320,,296623,HBD-803-F-qq-e-f1-5664,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(～1999/07の純正LSD無の4AT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KZH126G,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,フルタイム4WD,1.5WAY,100320,,300610,HBD-803-L15-qq-e-f1-5654,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KZH126G,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,フルタイム4WD,1WAY,100320,,296624,HBD-803-F-qq-e-f1-5665,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH100G,1989/09～1993/07,2L/2L-TE,MT/AT,オープンデフ,,1.5WAY,100320,,297611,HBD-803-L15-qq-e-f1-5652,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(ディーゼルターボ車以外)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH100G,1989/09～1993/07,2L/2L-TE,MT/AT,オープンデフ,,1WAY,100320,,299622,HBD-803-F-qq-e-f1-5674,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(ディーゼルターボ車以外)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH107G,1989/08～1993/07,3L,MT/AT,オープンデフ,パートタイム4WD,1.5WAY,100320,,298124,HBD-803-L15-qq-e-f1-5679,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(4AT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH107G,1989/08～1993/07,3L,MT/AT,オープンデフ,パートタイム4WD,1WAY,100320,,296621,HBD-803-F-qq-e-f1-5655,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(4AT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH107W,1990/10～1993/07,3L,MT/AT,オープンデフ,パートタイム4WD,1.5WAY,100320,,296627,HBD-803-L15-qq-e-f1-5661,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(4AT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH107W,1990/10～1993/07,3L,MT/AT,オープンデフ,パートタイム4WD,1WAY,100320,,296622,HBD-803-F-qq-e-f1-5656,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(4AT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
