自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
ALFAROMEO,アルファ156,932A1,FF,2500 NA,11/2～,4ドア,リア,15314,,164283,AR004TDR-qq-e-16458,出さない,4511969250949,AR004TDR,RS-R,Ti2000 DOWN,25～20,2.65,2.5 V6 24V Qシステム,24700,1250,出さない
ALFAROMEO,アルファ156,932A2,FF,2000 NA,11/2～,,1台分,27466,,162007,AR003TD-qq-e-16459,AR003TD-qq-e-d-16459,4511969248441,AR003TD,RS-R,Ti2000 DOWN,30～25/25～20,3.56/2.65,2.0ツインスパーク セレスピード,44300,0,61600
ALFAROMEO,アルファ156,932A2,FF,2000 NA,11/2～,,フロント,14880,,160132,AR003TDF-qq-e-16460,出さない,4511969248458,AR003TDF,RS-R,Ti2000 DOWN,30～25,3.56,2.0ツインスパーク セレスピード,24000,1250,出さない
ALFAROMEO,アルファ156,932A2,FF,2000 NA,11/2～,,リア,15314,,153359,AR003TDR-qq-e-16461,出さない,4511969248465,AR003TDR,RS-R,Ti2000 DOWN,25～20,2.65,2.0ツインスパーク セレスピード,24700,1250,出さない
ALFAROMEO,アルファ156,932AXA,FF,2000 NA,15/8～,,1台分,26412,,151113,AR005TD-qq-e-16462,AR005TD-qq-e-d-16462,4511969253582,AR005TD,RS-R,Ti2000 DOWN,45～40/35～30,3.55/2.02,2.0 JTS セレスピード,42600,0,60600
ALFAROMEO,アルファ156,932AXA,FF,2000 NA,15/8～,,フロント,14880,,151114,AR005TDF-qq-e-16463,出さない,4511969253599,AR005TDF,RS-R,Ti2000 DOWN,45～40,3.55,2.0 JTS セレスピード,24000,1250,出さない
ALFAROMEO,アルファ156,932AXA,FF,2000 NA,15/8～,,リア,14136,,155639,AR005TDR-qq-e-16464,出さない,4511969253605,AR005TDR,RS-R,Ti2000 DOWN,35～30,2.02,2.0 JTS セレスピード,22800,1250,出さない
ALFAROMEO,スパイダー,93922S,FF,2200 NA,18/10～,,1台分,27838,,162010,AR007TD-qq-e-465,出さない,4511969267732,AR007TD,RS-R,Ti2000 DOWN,15～10/15～10,4.95/3.62,2.2JTSセレスピード,44900,0,出さない
ALFAROMEO,スパイダー,93922S,FF,2200 NA,18/10～,,フロント,17236,,155641,AR007TDF-qq-e-16466,出さない,4511969267749,AR007TDF,RS-R,Ti2000 DOWN,15～10,4.95,2.2JTSセレスピード,27800,1250,出さない
ALFAROMEO,スパイダー,93922S,FF,2200 NA,18/10～,,リア,13330,,153361,AR007TDR-qq-e-16467,出さない,4511969267756,AR007TDR,RS-R,Ti2000 DOWN,15～10,3.62,2.2JTSセレスピード,21500,1250,出さない
ALFAROMEO,ブレラ,93922S,FF,2200 NA,18/4～,6MT車 左ハンドル車,1台分,27094,,157890,AR010TD-qq-e-466,出さない,4511969264007,AR010TD,RS-R,Ti2000 DOWN,15～10/15～10,5.45/4.02,スカイウインドウ2.2JTS,43700,0,出さない
