自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
ホンダ,CR-X,EF7,FF,1600 NA,62/9～4/1,,フロント,13330,,162142,H040THF-qq-e-7187,出さない,4511969228221,H040THF,RS-R,Ti2000 HD,,6.10,,21500,1250,出さない
ホンダ,CR-X,EF7,FF,1600 NA,62/9～4/1,,リア,14136,,150906,H040THR2-qq-e-7191,出さない,4511969230040,H040THR2,RS-R,Ti2000 HD,,6.00,,22800,1250,出さない
ホンダ,CR-X,EF7,FF,1600 NA,62/9～4/1,,リア,12524,,153132,H040THR-qq-e-7188,出さない,4511969228238,H040THR,RS-R,Ti2000 HD,,4.20,,20200,1250,出さない
ホンダ,CR-X,EF8,FF,1600 NA,1/9～4/1,,1台分,23560,,162141,H040TH-qq-e-7201,H040TH-qq-e-d-7201,4511969228214,H040TH,RS-R,Ti2000 HD,,6.10/4.20,,38000,0,37800
ホンダ,CR-X,EF8,FF,1600 NA,1/9～4/1,,1台分,27094,,166343,H040TH2-qq-e-7204,H040TH2-qq-e-d-7204,4511969230026,H040TH2,RS-R,Ti2000 HD,,8.00/6.00,,43700,0,41300
ホンダ,CR-X,EF8,FF,1600 NA,1/9～4/1,,フロント,13330,,159907,H040THF-qq-e-7202,出さない,4511969228221,H040THF,RS-R,Ti2000 HD,,6.10,,21500,1250,出さない
ホンダ,CR-X,EF8,FF,1600 NA,1/9～4/1,,フロント,15686,,164037,H040THF2-qq-e-7205,出さない,4511969230033,H040THF2,RS-R,Ti2000 HD,,8.00,,25300,1250,出さない
ホンダ,CR-X,EF8,FF,1600 NA,1/9～4/1,,リア,12524,,155406,H040THR-qq-e-7203,出さない,4511969228238,H040THR,RS-R,Ti2000 HD,,4.20,,20200,1250,出さない
ホンダ,CR-X,EF8,FF,1600 NA,1/9～4/1,,リア,14136,,155408,H040THR2-qq-e-7206,出さない,4511969230040,H040THR2,RS-R,Ti2000 HD,,6.00,,22800,1250,出さない
ホンダ,インテグラ,DC2,FF,1800 NA,5/6～13/6,,1台分,25668,,163581,H075TD-qq-e-8023,H075TD-qq-e-d-8023,4511969228245,H075TD,RS-R,Ti2000 HD,40～35/50～45,5.00/4.80,,41400,0,39900
