自動車メーカー,車種,型式,エンジン型式,年式,適合詳細,備考,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,注意事項,定価,送料,SET価格
トヨタ,86,ZN6,FA20,12/04～,,スプリング及びアッパーマウントの付属はありません。,162060,,310195,264-T090-qq-e-56k,264-T090-qq-e-d-56k,264-T090,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-13/-15<br>車高調整幅 mm 純正比(F/R):+40～-70/+15～-65,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),218000,0,178500
トヨタ,86,ZN6,FA20,12/04～,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,220560,,310214,264CT090-qq-e-4k,264CT090-qq-e-d-4k,264CT090,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-13/-15<br>車高調整幅 mm 純正比(F/R):+40～-70/+15～-65<br>バネ(F/R):φ65 6インチ 10k/φ65 7インチ 8K<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),298000,0,238500
トヨタ,MR2,SW20,3S-GTE/3S-GE,89/10～99/10,,スプリングの付属はありません。,242499,,310238,265KT011-qq-e-29k,265KT011-qq-e-d-29k,265KT011,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/倒立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-15/-15<br>車高調整幅 mm 純正比(F/R):+60～-40/+0～-35<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),328000,0,261000
トヨタ,MR2,SW20,3S-GTE/3S-GE,89/10～99/10,,スプリング及びアッパーマウントの付属はありません。,198623,,310234,265-T011-qq-e-55k,265-T011-qq-e-d-55k,265-T011,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/倒立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-15/-15<br>車高調整幅 mm 純正比(F/R):+60～-40/+0～-35,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),268000,0,216000
トヨタ,MR2,SW20,3S-GTE/3S-GE,89/10～99/10,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,257123,,310236,265AT011-qq-e-3k,265AT011-qq-e-d-3k,265AT011,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/倒立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-15/-15<br>車高調整幅 mm 純正比(F/R):+60～-40/+0～-35<br>バネ(F/R):φ65 6インチ 12k/φ65 8インチ 16k<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),348000,0,276000
トヨタ,アルテッツァ,SXE10,3S-GE,98/10～05/07,,スプリングの付属はありません。,183997,,310230,264KT052-qq-e-28k,264KT052-qq-e-d-28k,264KT052,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):正立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-30/-20<br>車高調整幅 mm 純正比(F/R):+25～-80/+25～-80<br>キャンバー調整(F/R):非調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),248000,0,201000
トヨタ,アルテッツァ,SXE10,3S-GE,98/10～05/07,,スプリング及びアッパーマウントの付属はありません。,147435,,310194,264-T052-qq-e-54k,264-T052-qq-e-d-54k,264-T052,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):正立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-30/-20<br>車高調整幅 mm 純正比(F/R):+25～-80/+25～-80,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),198000,0,163500
トヨタ,アルテッツァ,SXE10,3S-GE,98/10～05/07,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,198623,,310212,264CT052-qq-e-2k,264CT052-qq-e-d-2k,264CT052,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):正立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-30/-20<br>車高調整幅 mm 純正比(F/R):+25～-80/+25～-80<br>バネ(F/R):φ65 9インチ 11k/φ65 9インチ 10k<br>キャンバー調整(F/R):非調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),268000,0,216000
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,1JZ-GTE,92/10～01/07,マークIIのみ00/10まで,スプリングの付属はありません。,176685,,310229,264KT008-qq-e-27k,264KT008-qq-e-d-27k,264KT008,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):正立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-30/-25<br>車高調整幅 mm 純正比(F/R):-15～-115/-15～-85<br>キャンバー調整(F/R):非調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),238000,0,193500
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,1JZ-GTE,92/10～01/07,マークIIのみ00/10まで,スプリング及びアッパーマウントの付属はありません。,147435,,310193,264-T008-qq-e-53k,264-T008-qq-e-d-53k,264-T008,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):正立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-30/-25<br>車高調整幅 mm 純正比(F/R):-15～-115/-15～-85,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),198000,0,163500
