自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,販売価格
日産,ティアナ,J32/PJ32/TNJ32,H22/7～,2500～3500,,リア,11100,,280663,SSY-EP482-qq-e-6234k,SSY-EP482-qq-e-d-6234k,4515693314823,EP482,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティアナ,L33,H26/1～,2500,,フロント,11100,,280796,SSY-EP513-qq-e-475k,SSY-EP513-qq-e-d-475k,4515693315134,EP513,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティアナ,L33,H26/1～,2500,,リア,11100,,280664,SSY-EP482-qq-e-6235k,SSY-EP482-qq-e-d-6235k,4515693314823,EP482,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティーダ,C11/JC11/NC11,H16/9～H24/8,1500～1800,,フロント,11100,,280132,SSY-EP407-qq-e-482k,SSY-EP407-qq-e-d-482k,4515693314076,EP407,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティーダラティオ,SC11/SJC11/SNC11,H16/10～H24/10,1500～1800,,フロント,11100,,280133,SSY-EP407-qq-e-483k,SSY-EP407-qq-e-d-483k,4515693314076,EP407,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティーノ,HV10/V10,H10/12～H13/1,1800～2000,,フロント,11100,,278712,SSY-EP236-qq-e-484k,SSY-EP236-qq-e-d-484k,4515693312362,EP236,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティーノ,HV10/V10,H10/12～H13/1,1800～2000,,リア,11100,,278960,SSY-EP263-qq-e-292k,SSY-EP263-qq-e-d-292k,4515693312638,EP263,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティーノ,HV10/V10,H13/1～H15/3,1800～2000,,フロント,11100,,278713,SSY-EP236-qq-e-485k,SSY-EP236-qq-e-d-485k,4515693312362,EP236,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ティーノ,HV10/V10,H13/1～H15/3,1800～2000,,リア,11100,,280043,SSY-EP399-qq-e-6236k,SSY-EP399-qq-e-d-6236k,4515693313994,EP399,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,デイズ,B21W,H25/6～H26/10,660,,フロント,11100,,280608,SSY-EP475-qq-e-476k,SSY-EP475-qq-e-d-476k,4515693314755,EP475,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,デイズハイウェイスター,B21W,H25/6～,660,ターボ,フロント,11100,,280760,SSY-EP502-qq-e-477k,SSY-EP502-qq-e-d-477k,4515693315028,EP502,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
