自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,販売価格
ダイハツ,ブーン/ブーンルミナス,M312S,H18/3～H18/12,1000,X4,フロント,13800,,272697,MX72k-EP415-qq-e-4588k,MX72k-EP415-qq-e-d-4588k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ブーン/ブーンルミナス,M600S,H22/2～H28/4,1000,,フロント,13800,,272700,MX72k-EP415-qq-e-4591k,MX72k-EP415-qq-e-d-4591k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,要形状確認,,16000,11786
ダイハツ,ブーン/ブーンルミナス,M700S/M710S,H28/4～,1000,,フロント,13800,,272771,MX72k-EP503-qq-e-4592k,MX72k-EP503-qq-e-d-4592k,4515693861587,EP503,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ミラ,L250S/L260S,H14/12～,660,,フロント,13800,,272646,MX72k-EP364-qq-e-4568k,MX72k-EP364-qq-e-d-4568k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ミラ,L275S/L285S,H18/12～,660,VSC装着車,フロント,13800,,272690,MX72k-EP415-qq-e-4571k,MX72k-EP415-qq-e-d-4571k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ミラ,L275S/L285S,H18/12～,660,VSC非装着車,フロント,13800,,272648,MX72k-EP364-qq-e-4570k,MX72k-EP364-qq-e-d-4570k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ミラ/ミラジーノ,L700S/L710S,H10/10～H15/8,660,ターボ,フロント,13800,,272626,MX72k-EP363-qq-e-4565k,MX72k-EP363-qq-e-d-4565k,4515693834925,EP363,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ミラ/ミラジーノ,L700S/L710S,H15/8～,660,ターボ,フロント,13800,,272645,MX72k-EP364-qq-e-4567k,MX72k-EP364-qq-e-d-4567k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ミラアヴィ,L250S/L260S,H14/12～,660,DVSII装着車,フロント,13800,,272701,MX72k-EP415-qq-e-4601k,MX72k-EP415-qq-e-d-4601k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ミラアヴィ,L250S/L260S,H14/12～,660,,フロント,13800,,272660,MX72k-EP364-qq-e-4600k,MX72k-EP364-qq-e-d-4600k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
