メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
トヨタ,レビン,AE86,4A-GE,83/05-87/04,デフ上レイアウト,50500,50000,65000,5000,3302-ST029
日産,オッティ,H92W,3G83(TURBO),06/10-,グレード「RX」「RX FOUR」用・電動スライドドア車未確認、ビーム上レイアウト,36500,36000,45000,5000,31013-AM009
日産,キューブ,Z12,HR15DE,08/11-,Rider不可・4WD未確認,37200,36700,46000,5000,32008-AN010
日産,ノート,E12,HR12DDR,12/09-16/10,純正リアアンダープロテクター付き車専用。「ライダー」取付可,36500,36000,45000,5000,32008-AN012
日産,ノート,E12,HR12DE,12/09-16/10,純正リアアンダープロテクター付き車専用。「ライダー」取付可,36500,36000,45000,5000,32008-AN012
日産,マーチ,K13,HR12DE,10/07-,,36500,36000,45000,5000,32008-AN011
日産,モコ,MG33S,R06A(NA),11/02-,2WD・グレード「S」「X」用,44200,43700,56000,5000,31013-AS007
ホンダ,N-VAN,JJ1,S07A(NA),18/07-,FF・NA・6MT用。CVT未確認。純正マッドガード装着者取付可,61000,60500,80000,5000,32008-AH008
ホンダ,ビート,PP1,E07A,91/05-96/01,左右出し,40000,39500,50000,5000,3302-SH012
ホンダ,フィット,GE6,L13A,07/10-13/08,"グレード「Ｇ」「Ｌ」用,ディラーオプション「スポーツネオ」純正オプション「マッドガード装着車 」取り付け可,「アクティブプラス」未確認",37900,37400,47000,5000,32008-AH006
ホンダ,フィットハイブリッド,GP1,LDA-MF6,10/10-13/08,,37900,37400,47000,5000,32008-AH006
ホンダ,フリード,GB3,L15A,08/05-,グレード「Flex」「G」用、エアログレード未確認、ハイブリッド取付不可,42100,41600,53000,5000,32008-AH007
ホンダ,フリードスパイク,GB3,L15A,10/07-,ハイブリッド取付不可,42100,41600,53000,5000,32008-AH007
ホンダ,ライフ,JB1,E07Z,98/10-01/04,純正リアアンダースポイラー装着車取付可・4WD取付不可,37200,36700,46000,5000,3302-SH043
ホンダ,ライフ,JB6,P07A(NA),03/09-06/08,グレード「F」「C」用・モデューロ製リアロアスカート装着車可・グレード「D」取付不可,37900,37400,47000,5000,31013-AH001
ホンダ,ライフ,JB8,P07A(TURBO),03/09-06/08,グレード「F」「C」用・モデューロ製リアロアスカート装着車可・グレード「D」取付不可,37900,37400,47000,5000,31013-AH001
マツダ,AZワゴン,MJ23S,"K6A(TURBO, NA)",08/09-,"2010/4以降の4WD(NA), DBA- 4WD(TURBO)は適合外、カスタムスタイル用",44200,43700,56000,5000,31013-AS007
マツダ,スクラム,DG17W,R06A(TURBO),15/03-,TURBO専用（NA不可）、4WD加速認証適合外,38600,38100,48000,5000,31013-AS013
