メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,品番
ダイハツ,コペンGR SPORT,LA400K,KF(TURBO),19/10-,CVT/5MT可,50500,50000,65000,5000,31021-AD003
トヨタ,86,ZN6,FA20,12/04-,メイン＋中間パイプ付,94600,94100,128000,5000,32018-AT040
トヨタ,86,ZN6,FA20,12/04-,メインのみ,73600,73100,98000,5000,32018-AT039
トヨタ,86,ZN6,FA20,16/08-,メインのみ、後期専用,73600,73100,98000,5000,32018-AT058
トヨタ,C-HR,NGX50,8NR-FTS,16/12-,4WDターボ、純正リアバンパーガーニッシュ装着車用,73600,73100,98000,5000,31021-AT003
トヨタ,C-HR,ZYX10,2ZR-FXE(2ZR-1NM),16/12-19/09,ハイブリッド車2WD専用、標準バンパー・純正バンパーガーニッシュ装着車対応,73600,73100,98000,5000,32018-AT060
トヨタ,RAV4,MXAA54,M20A-FKS,19/04-,2.0L 4WD用,87600,87100,118000,5000,32018-AT063
トヨタ,アルファード,AGH30W,2AR-FE,15/01-19/12,3BA-AGH30W適合外,87600,87100,118000,5000,32018-AT047
トヨタ,アルファード,AGH30W,2AR-FE,15/01-19/12,3BA-AGH30W適合外,59600,59100,78000,5000,32018-AT046
トヨタ,アルファード,ANH20W,2AZ-FE,08/05-,グレード「240S」用,52600,52100,68000,5000,32018-AT034
トヨタ,アルファード,ANH25W,2AZ-FE,08/05-,グレード「240S」用,52600,52100,68000,5000,32018-AT034
トヨタ,アルファード,AYH30W,2AR-FXE(2AR-2JM),15/01-19/12,6AA-AYH30W適合外,59600,59100,78000,5000,32018-AT051
トヨタ,アルファード,GGH30W,2GR-FE,15/01-17/12,MC後適合外,87600,87100,118000,5000,32018-AT049
トヨタ,アルファード,GGH35W,2GR-FE,15/01-17/12,MC後適合外,87600,87100,118000,5000,32018-AT049
トヨタ,アルファード,MNH10/15W/ANH10/15W,1MZ-FE/2AZ-FE,02/05-08/04,リアエアロバンパー用・グレード「AS」「MS」用,48400,47900,62000,5000,32018-AT013
トヨタ,ウィッシュ,ZGE20W,2ZR-FAE,09/04-,"グレード「1,8S」取付可・グレード「1.8X」「2.0G」「2.0Z」及び4WD未確認。",42800,42300,54000,5000,32018-AT037
トヨタ,ヴェルファイア,AGH30W,2AR-FE,15/01-19/12,3BA-AGH30W適合外、分割数2,59600,59100,78000,5000,32018-AT046
トヨタ,ヴェルファイア,AGH30W,2AR-FE,15/01-19/12,3BA-AGH30W適合外、分割数3,87600,87100,118000,5000,32018-AT047
トヨタ,ヴェルファイア,ANH20W,2AZ-FE,08/05-15/01,グレード「2.4Z」用,52600,52100,68000,5000,32018-AT034
