メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
トヨタ,カルディナ,ST246W,3S-GTE,02/09-07/06,グレード「GT-Four」用・「HOT IMPACT Ver.」未確認・「COOL STYLISH Ver.」未確認・純正リアアンダースポイラー装着車取付可,49100,48600,63000,5000,31019-AT013
トヨタ,クレスタ,JZX100,1JZ-GTE,96/09-98/07,純正リアアンダースポイラー装着車可,63800,63300,84000,5000,31019-AT002
トヨタ,クレスタ,JZX100,1JZ-GTE,98/08-00/10,純正リアアンダースポイラー装着車用,63800,63300,84000,5000,31019-AT003
トヨタ,コペン GR SPORT,LA400A,KF(TURBO),19/10-,CVT、5MT可,66600,66100,88000,5000,31019-AD006
トヨタ,スープラ,GA70(H),1G-GTE,86/02-93/05,,56100,55600,73000,5000,31019-AT004
トヨタ,スープラ,JZA70,1JZ-GTE,90/09-93/05,,56100,55600,73000,5000,31019-AT004
トヨタ,スープラ,JZA80,2JZ-GTE,93/06-97/07,VVT-I 不可,56800,56300,74000,5000,31019-AT005
トヨタ,スープラ,MA70,7M-GTE,86/02-90/08,,56100,55600,73000,5000,31019-AT004
トヨタ,スターレット,EP91,4E-FTE,95/12-99/10,純正エアロ装着車取付可,58200,57700,76000,5000,31019-AT012
トヨタ,セリカ,ST185(H),3S-GTE,89/09-93/09,RCはJASMA未申請,57500,57000,75000,5000,31019-AT009
トヨタ,セリカ,ST205,3S-GTE,94/02-99/09,純正リアアンダースポイラー装着車取付不可・RC未確認,57500,57000,75000,5000,31019-AT010
トヨタ,セリカ,ZZT231,2ZZ-GE,99/09-05/11,純正リアアンダースポイラー装着車可,56800,56300,74000,5000,32016-AT018
トヨタ,チェイサー,JZX100,1JZ-GTE,96/09-98/07,純正リアアンダースポイラー装着車可,63800,63300,84000,5000,31019-AT002
トヨタ,チェイサー,JZX100,1JZ-GTE,98/08-00/09,純正リアアンダースポイラー装着車用,63800,63300,84000,5000,31019-AT003
トヨタ,マーク2,JZX100,1JZ-GTE,96/09-98/07,純正リアアンダースポイラー装着車可,63800,63300,84000,5000,31019-AT002
トヨタ,マーク2,JZX100,1JZ-GTE,98/08-00/09,純正リアアンダースポイラー装着車用,63800,63300,84000,5000,31019-AT003
日産,180SX,(K)RPS13,SR20DET,91/01-98/12,スーパーHICAS装着車可,55400,54900,72000,5000,31019-AN015
日産,シルビア,PS13,SR20DET,91/01-93/10,スーパーハイキャス可,55400,54900,72000,5000,31019-AN015
日産,シルビア,S15,SR20DE,99/01-02/08,グレード「スペックS」「スペックS-Sエアロ」可・オーテックVer.不可,55400,54900,72000,5000,32016-AN013
日産,シルビア,S15,SR20DET,99/01-02/08,AT未確認・純正テールエンドプロテクター装着車対応・ハイキャス未確認,55400,54900,72000,5000,31019-AN017
日産,スカイライン,ER34,RB25DET,98/05-01/05,2ドア用,55400,54900,72000,5000,31019-AN012
日産,スカイラインGT-R,BCNR33,RB26DETT,95/01-98/12,,57500,57000,75000,5000,31019-AN006
日産,スカイラインGT-R,BNR32,RB26DETT,89/08-94/12,,66600,66100,88000,5000,31019-AN011
日産,スカイラインGT-R,BNR34,RB26DETT,99/01-02/08,標準車&Vスペック可・VスペックII未確認・Mスペック未確認,66600,66100,88000,5000,31019-AN013
日産,ノート,E11,HR15DE,05/01-12/08,純正リアアンダースポイラー装着車取付可・「ライダー」未確認,33700,33200,41000,5000,32016-AN015
日産,ノート NISMO,E12改,HR16DE,14/10-,NISMO Sグレード専用,31600,31100,38000,5000,32016-AN017
日産,ノート NISMO,HE12,HR12DE(HR12-EM57),16/12-,e-POWER NISMOグレード専用,31600,31100,38000,5000,32016-AN018
日産,マーチ,AK12,CR12DE,02/03-05/08,「10b」未確認・「12SR」可(近接排気音91dB)・05/09以降未確認,36500,36000,45000,5000,32016-AN012
日産,マーチ,BK12,CR14DE,02/02-05/07,「10b」未確認・05/09以降未確認,36500,36000,45000,5000,32016-AN012
ホンダ,CR-Z,ZF1,LEA-MF6,10/02-12/09,センターパイプ付、モデューロ製および無限製リアアンダースポイラー装着車適合外。メタルキャタライザー併用時の近接排気騒音：94dB,66600,66100,88000,5000,32016-AH030
ホンダ,CR-Z,ZF1,LEA-MF6,10/02-12/09,メインのみ、モデューロ製および無限製リアアンダースポイラー装着車適合外。（クリアランス不足のため）,38600,38100,48000,5000,32016-AH025
ホンダ,CR-Z,ZF2,LEA-MF6,12/10-,センターパイプ付、モデューロ製および無限製リアアンダースポイラー装着車適合外。CVTは認証適合外。,66600,66100,88000,5000,32016-AH030
ホンダ,CR-Z,ZF2,LEA-MF6,12/10-,メインのみ、モデューロ製および無限製リアアンダースポイラー装着車未確認。CVTは認証適合外。,38600,38100,48000,5000,32016-AH025
ホンダ,S2000,AP1,F20C,99/04-05/10,,89000,88500,120000,5000,32016-AH004
ホンダ,S2000,AP2,F22C,05/11-09/09,,89000,88500,120000,5000,32016-AH004
ホンダ,アコードユーロR,CL7,K20A,02/12-08/11,モデューロ製リアロアスカート未確認,87600,87100,118000,5000,32016-AH021
ホンダ,インテグラ タイプR,DC2,B18C,95/09-01/07,「98SPEC」可,64500,64000,85000,5000,32016-AH018
ホンダ,ヴェゼル,RU1,L15B,13/12-,,28800,28300,34000,5000,32016-AH032
ホンダ,ヴェゼル,RU3,LEB-H1,13/12-,ハイブリッド,28800,28300,34000,5000,32016-AH032
ホンダ,シャトル,GK8,L15B,15/05-19/05,無限リアアンダースポイラー装着車取付不可、6BA-GKB適合外,31600,31100,38000,5000,32016-AH033
ホンダ,シャトル,GP7,LEB-H1,15/05-17/08,2017/9以降のしゃりょうは加速認証適合外、モデューロ製リアロアスカート未確認、無限リアアンダースポイラー装着車取付不可,31600,31100,38000,5000,32016-AH033
ホンダ,ゼスト スパーク,JE1,P07A(NA),08/12-,,26700,26200,31000,5000,31019-AH003
