自動車メーカー,車種,型式,年式,適合詳細,備考,注意事項,対応純正品番,タイプ,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,取付位置
ダイハツ,コペン,L880,02/06～12/09,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,08975-K9003,カーボンタイプ,1237,,258619,30080201002-qq-167,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,コペン,L880,,,,,88568-97201/08975-K9003,,1258,,259008,30080101002-qq-139,STRIKE,エアコンフィルター
ダイハツ,コペン,LA400K,14/06～,全グレード,参考DENSO品番:DCC7003,,08975-K9004/88568-B2030,カーボンタイプ,1510,,258762,30080208003-qq-7,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,コペン,LA400K,14/06～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/08975-K9004,カーボンタイプ PM2.5cut ver.,1679,,258933,30080308001-qq-5,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ストーリア,M100/M101/M110/M111/M112,99/04～04/06,X4のエアコン装着車の販売店オプションフィルター装着車<br>00/05～04/06:CL/CX/CZ/ツーリング<br>99/04～00/04:CL/CX/CX-LTD/カスタム,参考DENSO品番:DCC6001,,88568-97201,カーボンタイプ,1237,,259052,30080201002-qq-168,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ストーリア,M100/M101/M110/M111/M112,,,,,88568-97201/08975-K9003,,1258,,258510,30080101002-qq-140,STRIKE,エアコンフィルター
ダイハツ,ソニカ,L405S/L415S,06/06～09/04,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2020,カーボンタイプ,1510,,258764,30080208003-qq-8,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ソニカ,L405S/L415S,06/06～09/04,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2020,カーボンタイプ PM2.5cut ver.,1679,,258934,30080308001-qq-6,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,タント,L350S/L360S,03/11～07/12,,,,999-06850M2-037/999-06850M2-036/08975-K9002,,1233,,258507,30080101001-qq-65,STRIKE,エアコンフィルター
ダイハツ,タント/タントカスタム,L350S/L360S,タント:03/11～07/12<br>タントカスタム:05/06～07/12,全グレード,参考DENSO品番:DCC6002,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2010/08975-K9001,カーボンタイプ,1264,,258612,30080201001-qq-20,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,タント/タントカスタム,L375S/L385S/LA600S/LA610S,L375S/L385S:07/12～13/10<br>LA600S/LA610S:13/10～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/88568-B2020/88568-B2030,カーボンタイプ,1510,,259113,30080208003-qq-22,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,タント/タントカスタム,L375S/L385S/LA600S/LA610S,L375S/L385S:07/12～13/10<br>LA600S/LA610S:13/10～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/88568-B2020/88568-B2030,カーボンタイプ PM2.5cut ver.,1679,,259195,30080308001-qq-8,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,タントエグゼ/タントエグゼカスタム,L455S/L465S,09/12～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/88568-B2030,カーボンタイプ,1510,,258745,30080208003-qq-16,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,タントエグゼ/タントエグゼカスタム,L455S/L465S,09/12～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/08975-K2004,カーボンタイプ PM2.5cut ver.,1679,,258922,30080308001-qq-13,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ネイキッド,L750/L760,99/11～03/11,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,88568-97201,カーボンタイプ,1237,,258620,30080201002-qq-169,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ネイキッド,L750/L760,,,,,88568-97201/08975-K9003,,1258,,259009,30080101002-qq-141,STRIKE,エアコンフィルター
ダイハツ,ハイゼットトラック,S500P/S510P,14/09～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/08975-K2004/08975-K9004,カーボンタイプ PM2.5cut ver.,1679,,258923,30080308001-qq-16,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ハイゼットトラック,S500P/S510P,14/09～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/08975-K9004/88568-B2030,カーボンタイプ,1510,,259117,30080208003-qq-26,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ビーゴ,J200G/J210G,06/01～,全グレード,参考DENSO品番:DCC7003,,88568-B4010,カーボンタイプ,1510,,259118,30080208003-qq-28,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ビーゴ,J200G/J210G,06/01～,全グレード,参考DENSO品番:DCC7003,,88568-B4010,カーボンタイプ PM2.5cut ver.,1679,,259194,30080308001-qq-17,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ブーン,M600S/M601S/M610S,10/02～,全グレード,参考DENSO品番:DCC1009,,08975-K1002/08975-K9005/87139-B1020,カーボンタイプ,1344,,258826,30080209003-qq-30,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ブーン,M600S/M601S/M610S,10/02～,全グレード,参考DENSO品番:DCC1009,,08975-K1002/08975-K9005/87139-B1020,カーボンタイプ PM2.5cut ver.,1530,,258992,30080309002-qq-19,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ブーンルミナス,M502G/M512G,08/12～12/03,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ,1344,,258834,30080209003-qq-32,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ブーンルミナス,M502G/M512G,08/12～12/03,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ PM2.5cut ver.,1530,,258993,30080309002-qq-21,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ミラ,L275S/L285S,06/12～,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,08975-K2004/08975-K9000/88568-B2030,カーボンタイプ,1510,,258758,30080208003-qq-36,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ミラ,L275S/L285S,06/12～,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,08975-K2004/08975-K9000/88568-B2030,カーボンタイプ PM2.5cut ver.,1679,,258927,30080308001-qq-23,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ミラ,L700/L710,98/10～02/12,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,88568-97201/08975-K9003,カーボンタイプ,1237,,258621,30080201002-qq-170,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ミラ/ミラアヴィ,L250S/L250V/L260S/L260V,02/12～06/12,,,,999-06850M2-037/999-06850M2-036/08975-K9002,,1233,,259004,30080101001-qq-66,STRIKE,エアコンフィルター
ダイハツ,ミラ/ミラアヴィ,L250S/L260S,ミラ:02/12～06/12<br>ミラアヴィ:02/12～09/08,全グレード,参考DENSO品番:DCC6002,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2010/08975-K9001,カーボンタイプ,1264,,258613,30080201001-qq-33,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ミラ/ミラジーノ,L700/L710,,,,,88568-97201/08975-K9003,,1258,,258511,30080101002-qq-142,STRIKE,エアコンフィルター
ダイハツ,ミライース,LA300S/LA310S,11/09～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/88568-B2030/08975-K9004,カーボンタイプ PM2.5cut ver.,1679,,258928,30080308001-qq-25,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ミライース,LA300S/LA310S,11/09～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/08975-K9004/88568-B2030,カーボンタイプ,1510,,259121,30080208003-qq-38,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ミラココア,L675S/L685S,09/08～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/08975-K9004/88568-B2021/88568-B2030/88568-B2070,カーボンタイプ PM2.5cut ver.,1679,,258929,30080308001-qq-26,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ミラココア,L675S/L685S,09/08～,全グレード,参考DENSO品番:DCC7003,,08975-K2004/08975-K9004/88568-B2021/88568-B2030/88568-B2070,カーボンタイプ,1510,,259122,30080208003-qq-46,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ミラジーノ,L650S/L660S,04/11～08/12,,,,999-06850M2-037/999-06850M2-036/08975-K9002,,1233,,259005,30080101001-qq-68,STRIKE,エアコンフィルター
ダイハツ,ミラジーノ,L650S/L660S,04/11～09/04,全グレード,参考DENSO品番:DCC6002,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2010,カーボンタイプ,1264,,258614,30080201001-qq-55,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ムーヴ,L150S/L152S/L160S,02/10～06/10,,,,999-06850M2-037/999-06850M2-036/08975-K9002,,1233,,258508,30080101001-qq-69,STRIKE,エアコンフィルター
ダイハツ,ムーヴ,L900,,,,,88568-97201/08975-K9003,,1258,,258512,30080101002-qq-144,STRIKE,エアコンフィルター
ダイハツ,ムーヴ,L900/L902/L910/L912,98/10～02/10,00/10～02/10:全グレード<br>99/11～00/10:CG/CR/CX/CLセレクションの販売店オプションフィルター装着車<br>98/10～99/11:全グレード(CL/CG除く),参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,88568-97201/08975-K9003,カーボンタイプ,1237,,258622,30080201002-qq-171,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ムーヴ/ムーヴカスタム,L150S/L152S/L160S,02/10～06/10,全グレード,参考DENSO品番:DCC6002,フィルター未装着車はフレーム又はトレイが必要となる場合あり,08975-K9001,カーボンタイプ,1264,,258615,30080201001-qq-56,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ムーヴ/ムーヴカスタム,L175S/L185S/LA100S/LA110S,L175S/L185S:06/10～10/12<br>LA100S/LA110S:10/12～,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,08975-K2004/08975-K9000/88568-B2020/88568-B2030,カーボンタイプ,1510,,258761,30080208003-qq-63,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ムーヴ/ムーヴカスタム,L175S/L185S/LA100S/LA110S,L175S/L185S:06/10～10/12<br>LA100S/LA110S:10/12～,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,08975-K2004/08975-K9000/88568-B2020/88568-B2030,カーボンタイプ PM2.5cut ver.,1679,,258931,30080308001-qq-30,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ムーヴカスタム,L900/L902/L910/L912,98/10～02/10,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,88568-97201/08975-K9003,カーボンタイプ,1237,,258623,30080201002-qq-172,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ムーヴカスタム,L902/L910/L912,,,,,88568-97201/08975-K9003,,1258,,259010,30080101002-qq-145,STRIKE,エアコンフィルター
ダイハツ,ムーヴコンテ/ムーヴコンテカスタム,L575S/L585S,08/08～,全グレード,参考DENSO品番:DCC7003,,08975-B2020/08975-K2004/88568-B2020/88568-B2030,カーボンタイプ,1510,,258763,30080208003-qq-72,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,ムーヴコンテ/ムーヴコンテカスタム,L575S/L585S,08/08～,全グレード,参考DENSO品番:DCC7003,,08975-B2020/08975-K2004/88568-B2020/88568-B2030,カーボンタイプ PM2.5cut ver.,1679,,258932,30080308001-qq-32,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,ムーヴラテ,L550S/L560S,04/08～08/12,,,,999-06850M2-037/999-06850M2-036/08975-K9002,,1233,,259006,30080101001-qq-70,STRIKE,エアコンフィルター
ダイハツ,ムーヴラテ,L550S/L560S,04/08～09/03,全グレード,参考DENSO品番:DCC6002,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2010,カーボンタイプ,1264,,259050,30080201001-qq-75,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,メビウス,ZVW41N,13/04～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258845,30080209003-qq-76,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,メビウス,ZVW41N,13/04～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,259212,30080309002-qq-37,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,86,ZN6,12/04～,全グレード,参考DENSO品番:DCC7003,,SU003-02112,カーボンタイプ,1510,,258756,30080208003-qq-246,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,86,ZN6,12/04～,全グレード,参考DENSO品番:DCC7003,,SU003-02112,カーボンタイプ PM2.5cut ver.,1679,,259192,30080308001-qq-115,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,bB,NCP30/NCP31/NCP34/NCP35,00/02～05/12,全グレード,参考DENSO品番:DCC1004,,88568-12030,カーボンタイプ,1304,,258789,30080209002-qq-247,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,bB,NCP30/NCP31/NCP34/NCP35,00/02～05/12,全グレード,参考DENSO品番:DCC1004,,88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258940,30080309001-qq-116,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,bB,QNC20/QNC21/QNC25,05/12～,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ,1344,,258816,30080209003-qq-248,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,bB,QNC20/QNC21/QNC25,05/12～,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ PM2.5cut ver.,1530,,258962,30080309002-qq-117,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,FJクルーザー,GSJ15,10/12～,全グレード,参考DENSO品番:DCC1003,,87139-32010,カーボンタイプ,1304,,259130,30080209001-qq-249,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,RAV4,ACA31/ACA36,05/11～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258963,30080309002-qq-119,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,RAV4,ACA31/ACA36,05/11～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,259147,30080209003-qq-251,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,RAV4,ZCA25/ZCA26/ACA20/ACA21,00/05～05/11,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ,1304,,258790,30080209002-qq-250,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,RAV4,ZCA25/ZCA26/ACA20/ACA21,00/05～05/11,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258941,30080309001-qq-118,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,SAI,AZK10,09/12～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258817,30080209003-qq-252,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,SAI,AZK10,09/12～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258964,30080309002-qq-120,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,WiLL Vi,NCP19,00/01～01/12,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258942,30080309001-qq-122,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,WiLL Vi,NCP19,00/01～01/12,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ,1304,,259135,30080209002-qq-254,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,WiLL VS,NZE127/ZZE127/ZZE128/ZZE129,01/04～04/04,全グレード,参考DENSO品番:DCC1004,,88568-12020,カーボンタイプ,1304,,258792,30080209002-qq-255,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,WiLL VS,NZE127/ZZE127/ZZE128/ZZE129,01/04～04/04,全グレード,参考DENSO品番:DCC1004,,88568-12020,カーボンタイプ PM2.5cut ver.,1384,,259201,30080309001-qq-123,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,WILL サイファ,NCP7#,02/09～05/07,,,,87139-12010,,1246,,258590,30080109003-qq-23,STRIKE,エアコンフィルター
トヨタ,WiLL サイファ,NCP70/NCP75,02/10～05/08,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ,1304,,258791,30080209002-qq-253,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,WiLL サイファ,NCP70/NCP75,02/10～05/08,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,259200,30080309001-qq-121,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,アイシス,ANM10G/ANM10W/ANM15G/ZGM10G/ZGM10W/ZGM11G/ZGM11W/ZGM15G/ZGM15W/ZNM10G/ZNM10W,04/09～,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ,1304,,258793,30080209002-qq-256,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アイシス,ZNM10G/ZNM10W/ANM10G/ANM10W/AMN15G/ANM15G/ZGM10G/ZGM10W/ZGM10G/ZGM11G/GZM11W/ZGM15G/ZGM15W,04/09～,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,259202,30080309001-qq-124,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,アクア,NHP10,11/12～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258818,30080209003-qq-258,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アクア,NHP10,11/12～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,259204,30080309002-qq-125,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,アバロン,MCX10,95/05～99/06,全グレード,参考DENSO品番:DCC1005,,88880-33060,カーボンタイプ,1558,,258857,30080209005-qq-1,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アベンシス/アベンシスワゴン,ZRT272,11/09～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258965,30080309002-qq-126,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,アベンシス/アベンシスワゴン,ZRT272,11/09～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,259148,30080209003-qq-259,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アリオン/プレミオ,NZT260/ZRT260/ZRT261/ZRT265,07/06～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258966,30080309002-qq-127,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,アリオン/プレミオ,NZT260/ZRT260/ZRT261/ZRT265,07/06～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,259149,30080209003-qq-260,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アリスト,JZS160/JZS161,97/08～05/07,,,,87139-48020,,1233,,258583,30080109001-qq-1,STRIKE,エアコンフィルター
トヨタ,アリスト,JZS160/JZS161,97/08～05/08,全グレード,参考DENSO品番:DCC1002,,87139-48030,カーボンタイプ,1357,,258848,30080209004-qq-2,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アルテッツァ,GXE10/SXE10,98/10～01/04,,,,87139-48020,,1233,,258587,30080109001-qq-9,STRIKE,エアコンフィルター
トヨタ,アルテッツァ,GXE10/SXE10,98/10～05/09,全グレード,参考DENSO品番:DCC1002,フィルター未装着車はフレーム又はトレイが必要となる場合あり,87139-48030,カーボンタイプ,1357,,258853,30080209004-qq-3,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アルテッツァジータ,GXE10/GXE15/JCE10/JCE15,01/07～05/09,全グレード,参考DENSO品番:DCC1002,,87139-48030,カーボンタイプ,1357,,258855,30080209004-qq-4,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アルファード,ANH10W/ANH15W/MNH10W/MNH15W,02/05～08/05,全グレード,参考DENSO品番:DCC1003,,87139-33010/87139-28010,カーボンタイプ,1304,,258780,30080209001-qq-261,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アルファード,MHN10/MHN15,,,,,87139-28010/87139-47010,,1283,,259049,30080109006-qq-172,STRIKE,エアコンフィルター
トヨタ,アルファード/ヴェルファイア,ANH20/ANH25/GGH20/GGH25,08/05～,,,,87139-30020/87139-30040,,1271,,258601,30080109004-qq-40,STRIKE,エアコンフィルター
トヨタ,アルファード/ヴェルファイア,ANH20W/ANH25W/GGH20W/GGH25W,08/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258819,30080209003-qq-263,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アルファード/ヴェルファイア,ANH20W/ANH25W/GGH20W/GGH25W,08/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258967,30080309002-qq-128,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,アルファードハイブリッド,ATH10W,03/07～08/05,全グレード,参考DENSO品番:DCC1003,,87139-33010,カーボンタイプ,1304,,259131,30080209001-qq-264,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アルファードハイブリッド/ヴェルファイアハイブリッド,ATH20W,11/11～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258820,30080209003-qq-266,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,アルファードハイブリッド/ヴェルファイアハイブリッド,ATH20W,11/11～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258968,30080309002-qq-129,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,アレックス/カローラランクス,NZE121/NZE124/ZZE122/ZZE123/ZZE124,01/01～06/10,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258943,30080309001-qq-130,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,イスト,NCP110/NCP115/ZSP110,07/07～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258821,30080209003-qq-271,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,イスト,NCP110/NCP115/ZSP110,07/07～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258969,30080309002-qq-132,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,イスト,NCP6#,04/07～,F/S,,,87139-12010,,1246,,258589,30080109003-qq-22,STRIKE,エアコンフィルター
トヨタ,イスト,NCP60/NCP61/NCP65,02/05～07/07,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ,1304,,258794,30080209002-qq-269,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,イスト,NCP60/NCP61/NCP65,02/05～07/07,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258944,30080309001-qq-131,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,イプサム,ACM21/ACM26,01/05～09/12,全グレード,参考DENSO品番:DCC1003,,87139-28010,カーボンタイプ,1304,,258781,30080209001-qq-272,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,イプサム,SXM10/SXM15/CXM10,96/05～01/05,全グレード,参考DENSO品番:DCC1006,,88508-20060/88508-20070,カーボンタイプ,1558,,258867,30080209006-qq-5,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ヴァンガード,ACA33/ACA38/GSA33,07/08～13/11,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258970,30080309002-qq-133,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,ヴァンガード,ACA33/ACA38/GSA33,07/08～13/11,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,259150,30080209003-qq-273,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ウィッシュ,ZGE20G/ZGE20W/ZGE22W/ZGE25G/ZGE25W,09/04～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258822,30080209003-qq-276,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ウィッシュ,ZGE20G/ZGE20W/ZGE22W/ZGE25G/ZGE25W,09/04～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258971,30080309002-qq-135,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,ウィッシュ,ZNE10G/ZNE10W/ZNE14G/ANE10G/ANE11W,03/01～09/04,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258945,30080309001-qq-134,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,ウィッシュ,ZNE10G/ZNE10W/ZNE14G/ANE10G/ANE11W,03/01～09/04,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ,1304,,259136,30080209002-qq-274,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ヴィッツ,KSP130/NSP130/NSP131,10/12～,,,,87139-30020/87139-30040,,1271,,258598,30080109004-qq-35,STRIKE,エアコンフィルター
トヨタ,ヴィッツ,KSP90/SCP90/NCP91/NCP95/KSP130/NSP130/NSP135/NCP131,90系:05/02～10/12<br>130系:10/12～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52020/87139-52040,カーボンタイプ,1344,,258823,30080209003-qq-279,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ヴィッツ,KSP90/SCP90/NCP91/NCP95/KSP130/NSP130/NSP135/NCP131,90系:05/02～10/12<br>130系:10/12～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52020/87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258972,30080309002-qq-138,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,ヴィッツ,NCP10/NCP13/NCP15/SCP10,99/01～,,,,87139-12010,,1246,,258588,30080109003-qq-20,STRIKE,エアコンフィルター
トヨタ,ヴィッツ,SCP10/SCP13/NCP10/NCP13/NCP15,99/01～05/01,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ,1304,,258795,30080209002-qq-277,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ヴィッツ,SCP10/SCP13/NCP10/NCP13/NCP15,99/01～05/01,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258946,30080309001-qq-136,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
