自動車メーカー,車種,型式,年式,適合詳細,備考,注意事項,対応純正品番,タイプ,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,取付位置
スズキ,キャリイ,DA52T/DA62T/DA63T/DA65T/DB52T,99/01～,,,,95860-81A00,,1246,,258572,30080108002-qq-182,STRIKE,エアコンフィルター
スズキ,シボレーMW,ME34S/ME64S,01/01～10/08,,,,95860-78F00/95860-78F10,,1308,,259042,30080108003-qq-131,STRIKE,エアコンフィルター
スズキ,シボレークルーズ,HR5#S/HR8#S,01/11～08/06,,,,95860-78F00/95860-78F10,,1308,,258578,30080108003-qq-132,STRIKE,エアコンフィルター
スズキ,ジムニー,JB23W,98/10～,全グレード,参考DENSO品番:DCC7001,,95860-81A10/99000-990N2-A10,カーボンタイプ,1290,,258729,30080208002-qq-233,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ジムニー,JB23W,98/10～,,,,95860-81A00,,1246,,258573,30080108002-qq-184,STRIKE,エアコンフィルター
スズキ,ジムニーシエラ,JB43W,02/01～,全グレード,参考DENSO品番:DCC7001,,95860-81A10/99000-990N2-A10,カーボンタイプ,1290,,258730,30080208002-qq-235,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ジムニーシエラ,JB43W,02/01～,,,,95860-81A00,,1246,,258574,30080108002-qq-185,STRIKE,エアコンフィルター
スズキ,ジムニーワイド,JB33W/JB43W,98/01～02/01,全グレード,,,95860-81A10,カーボンタイプ,1290,,259102,30080208002-qq-237,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ジムニーワイド,JB33W/JB43W,98/01～02/01,,,,95860-81A00,,1246,,258575,30080108002-qq-186,STRIKE,エアコンフィルター
スズキ,スイフト,HT51S/HT81S,00/02～05/03,,,,95860-78F00/95860-78F10,,1308,,258579,30080108003-qq-133,STRIKE,エアコンフィルター
スズキ,スイフト,ZC11S/ZC21S/ZC71S/ZD11S/ZD21S,04/11～10/09,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ,1510,,259114,30080208003-qq-238,STRIKE,エアコンフィルター カーボンタイプ
スズキ,スイフト,ZC11S/ZC21S/ZC71S/ZD11S/ZD21S,04/11～10/09,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ PM2.5cut ver.,1679,,259191,30080308001-qq-110,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スズキ,スイフト,ZC72/ZD72,10/09～,全グレード,参考DENSO品番:DCC7008,,95861-71L00/99000-990C5-A03,カーボンタイプ,1384,,259129,30080208006-qq-177,STRIKE,エアコンフィルター カーボンタイプ
スズキ,スイフト/スイフトスポーツ,ZC11S/ZC21S/ZC31S/ZC71S/ZD11S/ZD21S,04/11～10/09,,,,95860-58J00,,1258,,258567,30080108001-qq-78,STRIKE,エアコンフィルター
スズキ,スイフトスポーツ,ZC31S,05/09～11/12,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ PM2.5cut ver.,1679,,258918,30080308001-qq-111,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スズキ,スイフトスポーツ,ZC31S,05/09～11/12,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ,1510,,259115,30080208003-qq-239,STRIKE,エアコンフィルター カーボンタイプ
スズキ,スイフトスポーツ,ZC32,11/12～,全グレード,参考DENSO品番:DCC7008,,95861-71L00,カーボンタイプ,1384,,258773,30080208006-qq-178,STRIKE,エアコンフィルター カーボンタイプ
スズキ,セルボ,HG21,06/11～09/12,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ,1510,,258754,30080208003-qq-240,STRIKE,エアコンフィルター カーボンタイプ
