自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
AUDI,A4 セダン クアトロ,B8/8K,2008/03～,フロント軸重1100Kgまでの車両,107200,,290799,1140-0614-qq-e-920k,出さない,1140-0614,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A4 セダン クアトロ,B8/8K,2008/03～,フロント軸重1101Kgからの車両,107200,,290797,1140-0612-qq-e-921k,出さない,1140-0612,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A4 セダン/アバント クアトロ,B6/B7/8E,2000/11～2007,フロント軸重が1140kgまでの車両,105600,,291046,1140-3681-qq-e-913k,出さない,1140-3681,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,132000,出さない,出さない
AUDI,A4 セダン/アバント クアトロ,B6/B7/8E,2000/11～2007,フロント軸重が1141kgからの車両,105600,,291291,1140-3682-qq-e-914k,出さない,1140-3682,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,132000,出さない,出さない
AUDI,A5,8F,2009/03～,2WD&クアトロ<br>フロント軸重1100Kgまでの車両,107200,,291274,1140-0614-qq-e-942k,出さない,1140-0614,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A5,8F,2009/03～,2WD&クアトロ<br>フロント軸重1101Kgからの車両,107200,,291030,1140-0612-qq-e-943k,出さない,1140-0612,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A5,8T,2007～,2WD&クアトロ<br>フロント軸重1100Kgまでの車両,107200,,290420,1140-0613-qq-e-930k,1140-0613-qq-e-d-930k,1140-0613,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,133800,147200
AUDI,A5,8T,2007～,2WD&クアトロ<br>フロント軸重1101Kgからの車両,107200,,290418,1140-0611-qq-e-931k,1140-0611-qq-e-d-931k,1140-0611,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,133800,147200
AUDI,A5,8T,2009～,2WD&クアトロ<br>フロント軸重1100Kgまでの車両,107200,,290421,1140-0614-qq-e-936k,1140-0614-qq-e-d-936k,1140-0614,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,133800,147200
AUDI,A5,8T,2009～,2WD&クアトロ<br>フロント軸重1101Kgからの車両,107200,,290419,1140-0612-qq-e-937k,1140-0612-qq-e-d-937k,1140-0612,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,133800,147200
AUDI,A6 アバント,4B/C5,1997～2000,フロント軸重が1115kgまでの車両<br>セルフレベリング装着車を除く,107200,,291074,1140-7981-qq-e-958k,出さない,1140-7981,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A6 アバント,4B/C5,1997～2000,フロント軸重が1116kgからの車両<br>セルフレベリング装着車を除く,107200,,291075,1140-7982-qq-e-959k,出さない,1140-7982,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A6 アバント,4B/C5,1997～2004,フロント軸重が1116kgからの車両<br>セルフレベリング装着車を除く,119200,,291315,1140-7984-qq-e-964k,出さない,1140-7984,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,149000,出さない,出さない
AUDI,A6 アバント,4B/C5,1998/03～2004,クワトロ&セルフレベリング車除く<br>スポーツサスペンション含む<br>フロント軸重が1115kgまでの車両,104000,,291070,1140-7961-qq-e-952k,出さない,1140-7961,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,130000,出さない,出さない
AUDI,A6 アバント,C6/4F,2005/01～2011,クワトロを含む<br>エアーサスペンション車を除く<br>フロント軸重が1215kgまでの車両,111200,,291283,1140-2003-qq-e-970k,出さない,1140-2003,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,139000,出さない,出さない
AUDI,A6 アバント,C6/4F,2005/01～2011,クワトロを含む<br>エアーサスペンション車を除く<br>フロント軸重が1216kg以上の車両,116760,,291042,1140-2004-qq-e-972k,出さない,1140-2004,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,145950,出さない,出さない
AUDI,A6 アバント,C7/4G,2011～,2WD&クアトロ<br>フロント軸重が1185kgまでの車両<br>セルフレベリング装着車を除く,108800,,291087,1140-9175-qq-e-983k,出さない,1140-9175,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,136000,出さない,出さない
AUDI,A6 アバント,C7/4G,2011～,2WD&クアトロ<br>フロント軸重が1186kgからの車両<br>セルフレベリング装着車を除く,108800,,290860,1140-9176-qq-e-984k,出さない,1140-9176,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,136000,出さない,出さない
