自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
BMW,3シリーズ,E46,98～05,316i/318i/320i/323i/325i/328i/330i/318d/320d/330d,117600,,290479,1140-4851-qq-e-179k,1140-4851-qq-e-d-179k,1140-4851,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E46,98～05,316i/318i/320i/323i/325i/328i/330i/318d/320d/330d,117600,,290481,1140-4852-qq-e-182k,1140-4852-qq-e-d-182k,1140-4852,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E46,98～05,316i/318i/320i/325i/328i/330i/318d/320d,117600,,290468,1140-4191-qq-e-185k,1140-4191-qq-e-d-185k,1140-4191,KONI,SPORT KIT,1台分,外部/-,35/30,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E46,98～05,318Ci/320Ci/323Ci/325Ci/330Ci/320Cd/330Cd,117600,,290480,1140-4851-qq-e-189k,1140-4851-qq-e-d-189k,1140-4851,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E46,98～05,330d,117600,,290469,1140-4192-qq-e-186k,1140-4192-qq-e-d-186k,1140-4192,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E46,99/05～05,316Ci/318Ci/320Ci/323Ci/325Ci/328Ci/330Ci/320Cd(330Cd除く),117600,,290477,1140-4841-qq-e-192k,1140-4841-qq-e-d-192k,1140-4841,KONI,SPORT KIT,1台分,外部/-,40/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E90,05～12,335d,117600,,290438,1140-1875-qq-e-200k,1140-1875-qq-e-d-200k,1140-1875,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E90 セダン,05～12,Mスポーツ車を含む<br>Xモデルを除く,117600,,290434,1140-1871-qq-e-199k,1140-1871-qq-e-d-199k,1140-1871,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E91,06～12,316i/318i/320(s)i/325i/330i/335i/316d/318d/320d/325d/330d,119200,,290436,1140-1872-qq-e-203k,1140-1872-qq-e-d-203k,1140-1872,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,149000,139300,154200
BMW,3シリーズ,E91,06～12,335d,119200,,290440,1140-1876-qq-e-204k,1140-1876-qq-e-d-204k,1140-1876,KONI,SPORT KIT,1台分,外部/-,35/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,149000,139300,154200
BMW,3シリーズ,E92,06～12,320i/325i/330i/335i/320d/325d/330d,117600,,290435,1140-1871-qq-e-207k,1140-1871-qq-e-d-207k,1140-1871,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E92,06～12,335d,117600,,290439,1140-1875-qq-e-208k,1140-1875-qq-e-d-208k,1140-1875,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,137900,152600
BMW,3シリーズ,E93,07～12,320i/325i/330i/335i/320d/325d/330d,119200,,290437,1140-1872-qq-e-211k,1140-1872-qq-e-d-211k,1140-1872,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,149000,144300,159200
BMW,3シリーズ,E93,07～12,335d,119200,,290441,1140-1876-qq-e-212k,1140-1876-qq-e-d-212k,1140-1876,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,149000,144300,159200
BMW,3シリーズ,F30 セダン,2011～,フロント荷重～965Kgまで<br>セルフレベリング装着車を除く,132000,,290528,1140-8878-1-qq-e-150k,1140-8878-1-qq-e-d-150k,1140-8878-1,KONI,SPORT KIT,1台分,外部/-,30/30,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,165000,150500,167000
BMW,3シリーズ,F30 セダン,2011～,フロント荷重966Kg～<br>セルフレベリング装着車を除く,132000,,290529,1140-8878-2-qq-e-151k,1140-8878-2-qq-e-d-151k,1140-8878-2,KONI,SPORT KIT,1台分,外部/-,30/30,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,165000,150500,167000
BMW,4シリーズ,F32/F36,12/10～,フロント荷重～965Kgまで<br>セルフレベリング装着車を除く,132000,,290850,1140-8878-1-qq-e-217k,出さない,1140-8878-1,KONI,SPORT KIT,1台分,外部/-,15/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,165000,出さない,出さない
BMW,4シリーズ,F32/F36,12/10～,フロント荷重966Kgから<br>セルフレベリング装着車を除く,132000,,291317,1140-8878-2-qq-e-218k,出さない,1140-8878-2,KONI,SPORT KIT,1台分,外部/-,15/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,165000,出さない,出さない
BMW,4シリーズ,F33,13/04～,フロント荷重～965Kgまで<br>セルフレベリング装着車を除く,132000,,290530,1140-8878-3-qq-e-222k,1140-8878-3-qq-e-d-222k,1140-8878-3,KONI,SPORT KIT,1台分,外部/-,15/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,165000,150500,167000
BMW,4シリーズ,F33,13/04～,フロント荷重966Kgから<br>セルフレベリング装着車を除く,132000,,290531,1140-8878-4-qq-e-223k,1140-8878-4-qq-e-d-223k,1140-8878-4,KONI,SPORT KIT,1台分,外部/-,15/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,165000,150500,167000
BMW,5シリーズ,E39 セダン,95/12～03,4/6気筒 Mスポーツ含む<br>EDC除く<br>セルフレベリングシステム装着車を除く,146400,,290493,1140-7423-qq-e-258k,1140-7423-qq-e-d-258k,1140-7423,KONI,SPORT KIT,1台分,外部/-,30/15,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,183000,163100,181400
BMW,5シリーズ,E39 セダン,95/12～03,4/6気筒<br>Mスポーツ/EDC除く<br>セルフレベリングシステム装着車を除く,137600,,290492,1140-7421-qq-e-255k,1140-7421-qq-e-d-255k,1140-7421,KONI,SPORT KIT,1台分,外部/-,40/15,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,172000,155400,172600
BMW,5シリーズ,E39 セダン,96/04～03,8気筒<br>Mスポーツを含む<br>EDC/セルフレベリングシステム装着車を除く,157600,,290494,1140-7641-qq-e-260k,1140-7641-qq-e-d-260k,1140-7641,KONI,SPORT KIT,1台分,外部/-,30/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,197000,172900,192600
BMW,5シリーズ,E39 ツーリング,97/03～04,4/6気筒(Mスポーツを含む)<br>EDC除く<br>セルフレベリングシステム装着車を除く,140800,,290498,1140-7911-qq-e-263k,1140-7911-qq-e-d-263k,1140-7911,KONI,SPORT KIT,1台分,外部/-,40/15,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,176000,158200,175800
BMW,5シリーズ,E39 ツーリング,97/03～04,8気筒(Mスポーツ含む)<br>EDC除く<br>セルフレベリングシステム装着車を除く,132800,,290496,1140-7643-qq-e-267k,1140-7643-qq-e-d-267k,1140-7643,KONI,SPORT KIT,1台分,外部/-,40/-,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,166000,151200,167800
BMW,5シリーズ,E39 ツーリング,97/03～04,8気筒<br>Mスポーツ/EDC除く<br>セルフレベリングシステム装着車を除く,132800,,290495,1140-7642-qq-e-265k,1140-7642-qq-e-d-265k,1140-7642,KONI,SPORT KIT,1台分,外部/-,30/-,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,166000,151200,167800
BMW,5シリーズ,E60,03/06～09/11,エアーサスペンション装着車<br>セルフレベリング装着車を除く,111200,,290445,1140-2553-qq-e-271k,1140-2553-qq-e-d-271k,1140-2553,KONI,SPORT KIT,1台分,外部/-,35/-,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,139000,132300,146200
BMW,5シリーズ,E60,03/06～09/11,エアーサスペンション装着車<br>セルフレベリング装着車を除く,111200,,290446,1140-2554-qq-e-275k,1140-2554-qq-e-d-275k,1140-2554,KONI,SPORT KIT,1台分,外部/-,35/-,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,139000,132300,146200
BMW,5シリーズ,E60 セダン,03/06～09/11,520i/523i/525i/530i/520d<br>Xiモデル及びEDC除く<br>セルフレベリング装着車を除く,127200,,290443,1140-2551-qq-e-270k,1140-2551-qq-e-d-270k,1140-2551,KONI,SPORT KIT,1台分,外部/-,35/35,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,159000,146300,162200
BMW,5シリーズ,E60 セダン,03/06～09/11,540i/545i/550i/525d/530d/535d<br>Xiモデル及びEDC除く<br>セルフレベリング装着車を除く,127200,,290444,1140-2552-qq-e-274k,1140-2552-qq-e-d-274k,1140-2552,KONI,SPORT KIT,1台分,外部/-,35/35,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,159000,146300,162200
BMW,5シリーズ,E61 ツーリング,03/06～10,520i/523i/525i/530i/520d(Mスポーツ/エアサス含む)<br>XiモデルおよびEDC除く<br>セルフレベリング装着車を除く,114400,,290816,1140-2555-qq-e-278k,出さない,1140-2555,KONI,SPORT KIT,1台分,外部/-,35/-,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,出さない,出さない
BMW,5シリーズ,E61 ツーリング,03/06～10,540i/545i/550i/525d/530d/535d(Mスポーツ/エアサス含む)<br>XiモデルおよびEDC除く<br>セルフレベリング装着車を除く,114400,,290817,1140-2556-qq-e-281k,出さない,1140-2556,KONI,SPORT KIT,1台分,外部/-,35/-,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,出さない,出さない
BMW,5シリーズ,F10,09～,550i<br>セルフレベリング装着車を除く,160000,,290543,1140-9472-qq-e-285k,1140-9472-qq-e-d-285k,1140-9472,KONI,SPORT KIT,1台分,外部/-,35/35,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,200000,175000,195000
BMW,5シリーズ,F10,09～,550i除く全て<br>セルフレベリング装着車を除く,160000,,290542,1140-9471-qq-e-284k,1140-9471-qq-e-d-284k,1140-9471,KONI,SPORT KIT,1台分,外部/-,35/35,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,200000,175000,195000
BMW,5シリーズ,F11 ツーリング,09～,2WD 523i/528i/535i/550i(Mスポーツ含む)<br>Xドライブ/EDC付車除く<br>セルフレベリング装着車を除く,156000,,290544,1140-9473-qq-e-288k,1140-9473-qq-e-d-288k,1140-9473,KONI,SPORT KIT,1台分,外部/-,35/15,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,195000,171500,191000
BMW,5シリーズ,F11 ツーリング,09～,2WD 523i/528i/535i/550i(Mスポーツ含む)<br>Xドライブ/EDC付車除く<br>セルフレベリング装着車を除く,156000,,290545,1140-9476-qq-e-289k,1140-9476-qq-e-d-289k,1140-9476,KONI,SPORT KIT,1台分,外部/-,35/15,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,195000,171500,191000
BMW,M3,E36,93/03～99,3.0<br>フロント純正ストラットのみ,127200,,291319,1140-9101-qq-e-227k,出さない,1140-9101,KONI,SPORT KIT,1台分,外部/-,40/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。<br>フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,159000,出さない,出さない
BMW,M3,E36,93/03～99,3.2<br>フロント純正ストラットのみ,127200,,290857,1140-9102-qq-e-229k,出さない,1140-9102,KONI,SPORT KIT,1台分,外部/-,40/10,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。<br>フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,159000,出さない,出さない
BMW,M3,E46,00～06,,144000,,290464,1140-3641-qq-e-231k,1140-3641-qq-e-d-231k,1140-3641,KONI,SPORT KIT,1台分,外部/-,35/20,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,180000,161000,179000
BMW,M5,E39,98～03,V8,132800,,291051,1140-4411-qq-e-291k,出さない,1140-4411,KONI,SPORT KIT,1台分,外部/-,25/0,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,166000,出さない,出さない
BMW,Z3 Mクーペ,CN,97～02,フロント純正ストラットのみ適合,129600,,290836,1140-5201-qq-e-242k,出さない,1140-5201,KONI,SPORT KIT,1台分,,35/35,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。<br>フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,162000,出さない,出さない
BMW,Z3 Mロードスター,CN,96～03,フロント純正ストラットのみ適合,129600,,291053,1140-5201-qq-e-238k,出さない,1140-5201,KONI,SPORT KIT,1台分,,35/35,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。<br>フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,162000,出さない,出さない
BMW,Z3 クーペ,CN,97～03,2.8/3.0(Mスポーツ車を含む)<br>Mクーペ除く,116000,,291062,1140-7542-qq-e-240k,出さない,1140-7542,KONI,SPORT KIT,1台分,外部/-,30/30,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,145000,出さない,出さない
BMW,Z3 ロードスター,CN,94～03,1.8i/1.9i(Mスポーツ車を含む)<br>Mロードスター除く,116000,,291310,1140-7541-qq-e-234k,出さない,1140-7541,KONI,SPORT KIT,1台分,外部/-,30/30,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,145000,出さない,出さない
BMW,Z3 ロードスター,CN,96～03,2.0i/2.2i/2.8i/3.0i(Mスポーツ車を含む)<br>Mロードスター除く,116000,,291061,1140-7542-qq-e-236k,出さない,1140-7542,KONI,SPORT KIT,1台分,外部/-,30/30,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,145000,出さない,出さない
BMW,Z4 クーペ,E86,06～09,3.0si<br>Mクーペを除く,126400,,290456,1140-2691-qq-e-246k,1140-2691-qq-e-d-246k,1140-2691,KONI,SPORT KIT,1台分,外部/-,35/35,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,158000,150600,166400
BMW,Z4 クーペ,E89,08～,3.5is除く<br>Mパッケージ/VDCを除く<br>セルフレベリング装着車を除く,126400,,290547,1140-9871-qq-e-249k,1140-9871-qq-e-d-249k,1140-9871,KONI,SPORT KIT,1台分,外部/-,30/30,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,158000,150600,166400
