自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
ALFAROMEO,スパイダー,,1967～1993,1300/1600/1750/2000<br>デュエット/ベローチェを含む,52800,,291012,KONI-SP-qq-e-i-867k,出さない,フロント:80-1551×2<br>リア:80-1781×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,66000,出さない,出さない,,
ALFAROMEO,ブレラ クーペ,939,2005～2011,3.2-V6 Q4(4WD)を含む,94400,,291466,KONI-SP-qq-e-i-849k,出さない,フロント:8241-1238×2<br>リア:8240-1239×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,118000,出さない,出さない,,
AUDI,100 セダン/アバント,44/C4/44Q/C4Q,1983～1994,クワトロ含む<br>リア:トップナットが10mmの車両,76800,,290952,KONI-SP-qq-e-i-1052k,出さない,フロント:86-2149×2<br>リア:80-2762×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUDI,100 セダン/アバント,44/C4/44Q/C4Q,1983～1994,クワトロ含む<br>リア:トップナットが12mmの車両,83160,,291187,KONI-SP-qq-e-i-1053k,出さない,フロント:86-2149×2<br>リア:80-2630×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,103950,出さない,出さない,,
AUDI,200 セダン/アバント,443,1983～1990,クワトロ/ターボ含む20Vを除く<br>リア:トップナットが10mmの車両,76800,,290953,KONI-SP-qq-e-i-1054k,出さない,フロント:86-2149×2<br>リア:80-2762×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
AUDI,200 セダン/アバント,443,1983～1990,リア:トップナットが12mmの車両<br>クワトロ20V/ターボ20V含む,83160,,291188,KONI-SP-qq-e-i-1055k,出さない,フロント:86-2149×2<br>リア:80-2630×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,103950,出さない,出さない,,
AUDI,80 クワトロ,B3/89Q,1987～1991,,88000,,290950,KONI-SP-qq-e-i-1045k,出さない,フロント:86-2066×2<br>リア:86-2086×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,出さない,出さない,,
AUDI,80 コンペティション,8C/B4,1994～1995,アウディスポーツサスペンションを含む,113600,,290951,KONI-SP-qq-e-i-1047k,出さない,フロント:86-2066×2<br>リア:8210-1160×2,KONI,SPORT,1台分,STD/外部,,リアダンパーは減衰力を調整する際、車輌から取り外さなければなりません。<br>フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,142000,出さない,出さない,,
AUDI,80 セダン,B3/89,1987～1991,2.0E-16V<br>アウディスポーツサスペンション用,75200,,291400,KONI-SP-qq-e-i-1044k,出さない,フロント:86-2066×2<br>リア:80-2625×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない,,
AUDI,80 セダン/アバント クワトロ,8C/B4,1992～1995,,117600,,291185,KONI-SP-qq-e-i-1046k,出さない,フロント:8610-1262×2<br>リア:8210-1160×2,KONI,SPORT,1台分,外部/外部,,リアダンパーは減衰力を調整する際、車輌から取り外さなければなりません。<br>フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,147000,出さない,出さない,,
