自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
AUDI,A7,4G,2010～,2WD/クワトロ<br>Sラインサス含む<br>エアーサス/S7/RS7除く,68800,,291121,KONI-AC-qq-e-i-994k,出さない,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,Q2,GAB,2016/06～,1.0TFSI/1.4TSI/2.0TFSI/1.6TDI/2.0TDI(2WD)<br>フロント純正ストラット径がφ55m/リアサスペンションがトーションビームの車両に適合,75200,,290900,KONI-AC-qq-e-i-995k,出さない,フロント:8745-1388×2<br>リア:8245-1402×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない
AUDI,Q3,,2011～,電子制御サスペンション車除く,75200,,290901,KONI-AC-qq-e-i-996k,出さない,フロント:8745-1263×2<br>リア:8045-1228×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない
AUDI,S3 クワトロ,8L,1999～2003/06,,78400,,291092,KONI-AC-qq-e-i-1007k,出さない,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
AUDI,S4 セダン/アバント,B8/8K,2008/10～2013,3.0TFSi クワトロ,68800,,291093,KONI-AC-qq-e-i-1019k,出さない,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,S5,8T,2007/03～,クワトロ V8 4.2 354HP,68800,,291094,KONI-AC-qq-e-i-1022k,出さない,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,TT クーペ&ロードスター,8S,2014～,クアトロ/スポーツサスペンション車含む<br>Audi マグネティックライド車/TT-S&TT-RSを除く,76800,,291324,KONI-AC-qq-e-i-1043k,出さない,フロント:8745-1385×2<br>リア:8245-1384×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない
BMW,1シリーズ,E81/E82/E87/E88,2004/09～2011/09,Mスポーツを含む<br>Mクーペ除く,81600,,290865,KONI-AC-qq-e-i-115k,出さない,フロント:8745-1014L/8745-1014R<br>リア:8245-1015×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,出さない,出さない
BMW,1シリーズ,F20/F21,2011/10～,M135iを除く全車<br>Mスポーツ/xドライブ/EDCを除く,89600,,291325,KONI-AC-qq-e-i-118k,出さない,フロント:8745-1318×2<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,1シリーズ,F20/F21,2011/10～,Mスポーツ専用<br>M135i/xドライブ/EDCを除く,89600,,290866,KONI-AC-qq-e-i-121k,出さない,フロント:8745-1356×2<br>リア:8245-1357×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
