自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
BMW,5シリーズ,E39 セダン,95/12～03,4/6気筒 Mスポーツ含む<br>EDC除く<br>セルフレベリングシステム装着車を除く,96000,,290574,KONI-AC-qq-e-i-257k,KONI-AC-qq-e-d-i-257k,フロント:8745-1053×2<br>リア:8245-1054×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,120000,119000,131000
BMW,5シリーズ,E39 セダン,95/12～03,4/6気筒<br>Mスポーツ/EDC除く<br>セルフレベリングシステム装着車を除く,96000,,290573,KONI-AC-qq-e-i-254k,KONI-AC-qq-e-d-i-254k,フロント:8745-1053×2<br>リア:8245-1054×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,120000,119000,131000
BMW,5シリーズ,E39 ツーリング,97/03～04,4/6気筒(Mスポーツを含む)<br>EDC除く<br>セルフレベリングシステム装着車を除く,100800,,290575,KONI-AC-qq-e-i-262k,KONI-AC-qq-e-d-i-262k,フロント:8745-1053×2<br>リア:8245-1056×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,123200,135800
BMW,5シリーズ,E60 セダン,03/06～09/11,520i/523i/525i/530i/520d<br>Xiモデル及びEDC除く,84800,,290576,KONI-AC-qq-e-i-269k,KONI-AC-qq-e-d-i-269k,フロント:8745-1003×2<br>リア:8245-1004×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,109200,119800
BMW,5シリーズ,E60 セダン,03/06～09/11,540i/545i/550i/525d/530d/535d<br>Xiモデル及びEDC除く,84800,,290577,KONI-AC-qq-e-i-273k,KONI-AC-qq-e-d-i-273k,フロント:8745-1003×2<br>リア:8245-1004×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,109200,119800
BMW,5シリーズ,E61 ツーリング,03/06～10,520i/523i/525i/530i/520d(Mスポーツ/エアサス含む)<br>XiモデルおよびEDC除く,86400,,290870,KONI-AC-qq-e-i-277k,出さない,フロント:8745-1003×2<br>リア:8245-1041×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,108000,出さない,出さない
BMW,5シリーズ,E61 ツーリング,03/06～10,540i/545i/550i/525d/530d/535d(Mスポーツ/エアサス含む)<br>XiモデルおよびEDC除く,86400,,291331,KONI-AC-qq-e-i-280k,出さない,フロント:8745-1003×2<br>リア:8245-1041×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,108000,出さない,出さない
BMW,5シリーズ,F10 セダン,09～,2WD 523i/528i/535i/550i(Mスポーツ含む)<br>Xドライブ/EDC付車除く,118400,,290578,KONI-AC-qq-e-i-283k,KONI-AC-qq-e-d-i-283k,フロント:8245-1302L/8245-1302R<br>リア:8245-1303×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,148000,138600,153400
BMW,5シリーズ,F11 ツーリング,09～,2WD 523i/528i/535i/550i(Mスポーツ含む)<br>Xドライブ/EDC付車除く,108800,,290579,KONI-AC-qq-e-i-287k,KONI-AC-qq-e-d-i-287k,フロント:8245-1302L/8245-1302R<br>リア:8245-1320×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,136000,130200,143800
BMW,X1,F48,14/11～,Mスポーツ/Xドライブ含む<br>EDCを除く,78400,,290871,KONI-AC-qq-e-i-295k,出さない,フロント:8745-1380L/8745-1380R<br>リア:8245-1380×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
BMW,X2,F39,16/10～,Mスポーツ/xドライブ含む<br>EDCを除く,78400,,290872,KONI-AC-qq-e-i-297k,出さない,フロント:8745-1380L/8745-1380R<br>リア:8245-1380×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
BMW,X3,E83,03～10,,102400,,291332,KONI-AC-qq-e-i-298k,出さない,フロント:8745-1309L/8745-1309R<br>リア:8245-1310×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,128000,出さない,出さない
BMW,X3,F25,10～17,Mスポーツ含む<br>EDC除く,115200,,290580,KONI-AC-qq-e-i-299k,KONI-AC-qq-e-d-i-299k,フロント:8745-1381L/8745-1381R<br>リア:8245-1381×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,144000,140800,155200
BMW,X4,F26,14～18,Mスポーツ含む<br>EDC除く,115200,,291333,KONI-AC-qq-e-i-300k,出さない,フロント:8745-1381L/8745-1381R<br>リア:8245-1381×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,144000,出さない,出さない
BMW,X5,E70,07～13,Mスポーツ含む<br>X5M/M50dx/VDC/エアサス車除く<br>セルフレベリング装着車を除く,121600,,291096,KONI-AC-qq-e-i-301k,出さない,フロント:8745-1342×2<br>リア:8245-1343L/8245-1343R,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,152000,出さない,出さない
BMW,X6,E71,08～14,Mスポーツ含む<br>X6M/M50dX及びハイブリッド車除く<br>セルフレベリング/エアサス/VDC車除く,121600,,291334,KONI-AC-qq-e-i-302k,出さない,フロント:8745-1342×2<br>リア:8245-1343L/8245-1343R,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,152000,出さない,出さない
BMW,Z4 クーペ,E89,08～,3.5is除く<br>Mパッケージ/VDCを除く,83200,,290572,KONI-AC-qq-e-i-248k,KONI-AC-qq-e-d-i-248k,フロント:8745-1370L/8745-1370R<br>リア:8245-1371×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,112800,123200
FIAT,500,312,07～,0.9/1.2/1.4/1.3マルチジェット&1.4アバルトカブリオレ/アバルト500&595含む<br>トリビュート除く,76800,,291097,KONI-AC-qq-e-i-325k,出さない,フロント:8745-1247L/8745-1247R<br>リア:8045-1248×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない
FIAT,グランデプント,199,05/09～17,グランデプント エボ含む<br>スポーツサスペンション車用<br>1.4アバルト含む,78400,,291098,KONI-AC-qq-e-i-327k,出さない,フロント:8745-1205L/8745-1205R<br>リア:8045-1249×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
JEEP,グランドチェロキー,ZMX,05～11,シリーズWH4.7 V8/5.7 V8/3.0 CRD,80000,,290873,KONI-AC-qq-e-i-339k,出さない,フロント:8245-1223×2<br>リア:8245-1224×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,出さない,出さない
JEEP,コマンダー,XH/XK,05～10,4WDシリーズ,80000,,291335,KONI-AC-qq-e-i-336k,出さない,フロント:8245-1223×2<br>リア:8245-1224×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,出さない,出さない
MERCEDESBENZ,Cクラス,W204 セダン&ワゴン,07～13,アジリティコントロール/エアーサス/HDサス/4Matic車を除く<br>ワゴンはセルフレベリング車を除く,83200,,290581,KONI-AC-qq-e-i-393k,KONI-AC-qq-e-d-i-393k,フロント:8745-1295×2<br>リア:8045-1296×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,112800,123200
MERCEDESBENZ,Cクラス,W205 セダン&ワゴン,13/12～,AMG/エアサス/4Matic車を除く,83200,,290582,KONI-AC-qq-e-i-399k,KONI-AC-qq-e-d-i-399k,フロント:8045-1379×2<br>リア:8045-1380×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,117800,128200
MINI,New Mini,F56/F55,13/04～,One(D)クーパー(S/D/SD)JCW<br>VDC除く,75200,,291099,KONI-AC-qq-e-i-471k,出さない,フロント:8745-1377L/8745-1377R<br>リア:8245-1376×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない
MINI,New Mini,R50/R52/R53,02/03～06,One/クーパー/クーパーS(カブリオレを含む)<br>スタビライザーブラケットがショック本体の車両,88000,,290583,KONI-AC-qq-e-i-456k,KONI-AC-qq-e-d-i-456k,フロント:8745-1012L/8745-1012R<br>リア:8045-1232×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,117000,128000
MINI,New Mini,R55,06/10～14/06,クラブマンOne/クーパー/クーパーS/ジョン・クーパー・ワークス,83200,,290585,KONI-AC-qq-e-i-462k,KONI-AC-qq-e-d-i-462k,フロント:8745-1189L/8745-1189R<br>リア:8245-1190L/8245-1190R,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,112800,123200
MINI,New Mini,R56/R57,05/11～13/11,One/クーパー/クーパーS/ジョン・クーパー・ワークス(カブリオレ含む),83200,,290584,KONI-AC-qq-e-i-459k,KONI-AC-qq-e-d-i-459k,フロント:8745-1189L/8745-1189R<br>リア:8245-1190L/8245-1190R,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,112800,123200
MINI,New Mini,R58,10/12～15/05,クーペ クーパー/クーパーS/クーパーSD/ジョン・クーパー・ワークス,83200,,291336,KONI-AC-qq-e-i-465k,出さない,フロント:8745-1189L/8745-1189R<br>リア:8245-1190L/8245-1190R,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない
MINI,New Mini,R59,11/01～15/04,ロードスター クーパー/クーパーS/クーパーSD/ジョン・クーパー・ワークス,83200,,291337,KONI-AC-qq-e-i-468k,出さない,フロント:8745-1189L/8745-1189R<br>リア:8245-1190L/8245-1190R,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない
PORSCHE,911,964,91/01～93/09,911(964)カレラ2+4/タルガ/クーペ(コンバーチブル含む)<br>ターボ(S)含む<br>カレラRS除く,131200,,291338,KONI-AC-qq-e-i-502k,出さない,フロント:8745-1250L/8745-1250R<br>リア:8245-1251×2,KONI,ACTIVE,1台分,,,フロント/リア:車高調整式ストラット(シェル),欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,164000,出さない,出さない
PORSCHE,911,993,93/10～97/09,911(993)カレラ2(S)/カレラ4(S)/ターボ含む<br>OEMビルシュタインサスペンション車を除く<br>タルガ/コンバーチブル含む,131200,,290586,KONI-AC-qq-e-i-506k,KONI-AC-qq-e-d-i-506k,フロント:8745-1252L/8745-1252R<br>リア:8245-1253L/8245-1253R,KONI,ACTIVE,1台分,,,フロント:車高調整式ストラット(シェル),欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,164000,174800,191200
PORSCHE,911,996,97/09～05/08,911(996)カレラ2(S)/クーペ/カブリオレ/タルガ<br>GT2/GT3/カレラ4(S)/ターボ(S)を除く<br>PASM装着車は除く,131200,,290587,KONI-AC-qq-e-i-510k,KONI-AC-qq-e-d-i-510k,フロント:8745-1254×2<br>リア:8245-1255×2,KONI,ACTIVE,1台分,,,フロント:ストラットASSYタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,164000,174800,191200
PORSCHE,ボクスター,986,96～04,ボクスターS含む<br>電子制御サスペンション車除く,108800,,290588,KONI-AC-qq-e-i-523k,KONI-AC-qq-e-d-i-523k,フロント:8745-1328×2<br>リア:8745-1329×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,136000,155200,168800
SAAB,9-3,FB,02/10～07,スポーツセダン/スポーツエステート/カブリオレ<br>Aeroを含む,80000,,291100,KONI-AC-qq-e-i-538k,出さない,フロント:8745-1010L/8745-1010R<br>リア:8245-1011×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,出さない,出さない
VOLKSWAGEN,コマーシャル,,03～15,"トランスポーターT-5<br>4-Motion含む車両重量3,000Kgまでの車両<br>フロントがクランプタイプのストラットのみ",100800,,290877,KONI-AC-qq-e-i-573k,出さない,フロント:8705-1392×2<br>リア:8205-1009×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,出さない,出さない
VOLKSWAGEN,コマーシャル,,15～,"トランスポーターT-6DDC除く<br>4-Motion含む車両重量3,000Kgまでの車両<br>フロントがクランプタイプのストラットのみ",100800,,291341,KONI-AC-qq-e-i-575k,出さない,フロント:8705-1392×2<br>リア:8205-1009×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,出さない,出さない
VOLKSWAGEN,ゴルフ4,1J,00～03,4-Motion 1.8T/1.9TDi/2.3-V5<br>フロントスタビライザーブラケットがスプリングシート付車,78400,,290592,KONI-AC-qq-e-i-605k,KONI-AC-qq-e-d-i-605k,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ4,1J,97/10～03,4-Motion/バリアントを除く,73600,,290589,KONI-AC-qq-e-i-592k,KONI-AC-qq-e-d-i-592k,フロント:8745-1029×2<br>リア:8045-1083×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ4,1J,97/10～03,GTI(1.8T/2.3V5/1.9TDI)<br>4-Motionを除く,73600,,290590,KONI-AC-qq-e-i-596k,KONI-AC-qq-e-d-i-596k,フロント:8745-1029×2<br>リア:8045-1083×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ4,1J,99/04～99,4-Motion 1.8T/1.9TDi/2.3-V5,78400,,290591,KONI-AC-qq-e-i-602k,KONI-AC-qq-e-d-i-602k,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ4,1J,99～03,4-Motion 2.8-V6<br>フロントスタビライザーブラケットがスプリングシート付車,78400,,290593,KONI-AC-qq-e-i-608k,KONI-AC-qq-e-d-i-608k,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ4 バリアント,1J,99～04,4-Motion 1.9TDI,78400,,290594,KONI-AC-qq-e-i-611k,KONI-AC-qq-e-d-i-611k,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ5,1K,03/10～08,GTI/4-Motion/クロスゴルフを除く<br>純正ストラット径がφ55mmの車両に適合,73600,,290595,KONI-AC-qq-e-i-613k,KONI-AC-qq-e-d-i-613k,フロント:8745-1006×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ5,1K,04/10～08,4-Motion(R32除く)<br>純正ストラット径がφ55mmの車両に適合,73600,,290597,KONI-AC-qq-e-i-620k,KONI-AC-qq-e-d-i-620k,フロント:8745-1038×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ5,1K,04～08,GTI/GTスポーツ<br>純正ストラット径がφ55mmの車両に適合,73600,,290596,KONI-AC-qq-e-i-617k,KONI-AC-qq-e-d-i-617k,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ5,1K,05～08,R324-Motion 250Hp,73600,,290598,KONI-AC-qq-e-i-622k,KONI-AC-qq-e-d-i-622k,フロント:8745-1038×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ5 ヴァリアント,1K,07～09,純正ストラット径がφ55mmの車両に適合,73600,,290600,KONI-AC-qq-e-i-629k,KONI-AC-qq-e-d-i-629k,フロント:8745-1038×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ5 プラス,1K,05～09,クロスゴルフを除く<br>純正ストラット径がφ55mmの車両に適合,73600,,290599,KONI-AC-qq-e-i-625k,KONI-AC-qq-e-d-i-625k,フロント:8745-1038×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,99400,108600
VOLKSWAGEN,ゴルフ6,,08～12,GTI/4-Motion&DDCを除く<br>純正ストラット径がφ55mmの車両に適合,73600,,291103,KONI-AC-qq-e-i-633k,出さない,フロント:8745-1006×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ゴルフ6,,09/09～12,R 4-Motion<br>DCC(ダイナミックシャーシコントロール)除く,73600,,290878,KONI-AC-qq-e-i-641k,出さない,フロント:8745-1038×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ゴルフ6,,09～12,GTI&GTD<br>DCC(ダイナミックシャーシコントロール)除く,73600,,291342,KONI-AC-qq-e-i-638k,出さない,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ゴルフ6 ヴァリアント,,09～13,純正ストラット径がφ55mmの車両に適合,73600,,291343,KONI-AC-qq-e-i-649k,出さない,フロント:8745-1038×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ゴルフ6 カブリオ,,11～13,純正ストラット径がφ55mm/純正スタンダードサスペンションの車両に適合,73600,,290879,KONI-AC-qq-e-i-653k,出さない,フロント:8745-1006×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ゴルフ6 カブリオ,,11～13,純正ストラット径がφ55mm/純正スポーツサスペンションの車両に適合,73600,,291105,KONI-AC-qq-e-i-654k,出さない,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ゴルフ6 プラス,,09～13,純正ストラット径がφ55mmの車両に適合<br>クロスゴルフを除く,73600,,291104,KONI-AC-qq-e-i-644k,出さない,フロント:8745-1038×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ゴルフ7,,12/11～,GTI/クラブスポーツ/GTD用<br>4-Motion/DCC及びGTE/Rを除く<br>純正ストラット径がφ55mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合,78400,,290606,KONI-AC-qq-e-i-676k,KONI-AC-qq-e-d-i-676k,フロント:8745-1325×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7,,12/11～,バリアント除く<br>4-Motion/DCC及びGTI/GTD/GTE/Rを除く<br>純正ストラット径がφ50mmの車両に適合<br>リヤサスペンションがトーションビーム車に適合,78400,,290602,KONI-AC-qq-e-i-656k,KONI-AC-qq-e-d-i-656k,フロント:8745-1324×2<br>リア:8245-1326×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7,,12/11～,バリアント除く<br>4-Motion/DCC及びGTI/GTD/GTE/Rを除く<br>純正ストラット径がφ50mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合,78400,,290603,KONI-AC-qq-e-i-661k,KONI-AC-qq-e-d-i-661k,フロント:8745-1324×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7,,12/11～,バリアント除く<br>4-Motion/DCC及びGTI/GTD/GTE/Rを除く<br>純正ストラット径がφ55mmの車両に適合<br>リヤサスペンションがトーションビーム車に適合,78400,,290604,KONI-AC-qq-e-i-666k,KONI-AC-qq-e-d-i-666k,フロント:8745-1325×2<br>リア:8245-1326×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7,,12/11～,バリアント除く<br>4-Motion/DCC及びGTI/GTD/GTE/Rを除く<br>純正ストラット径がφ55mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合,78400,,290605,KONI-AC-qq-e-i-671k,KONI-AC-qq-e-d-i-671k,フロント:8745-1325×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7,,13/01～,2.0TSI R 4Motion用<br>バリアント/DCC除く<br>純正ストラット径がφ55mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合,78400,,290607,KONI-AC-qq-e-i-680k,KONI-AC-qq-e-d-i-680k,フロント:8745-1325×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7,,14～,1.4TSI GTEプラグインハイブリッド<br>DDC除く<br>純正ストラット径がφ55mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合,78400,,290614,KONI-AC-qq-e-i-705k,KONI-AC-qq-e-d-i-705k,フロント:8745-1388×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7 スポーツバン,,13/01～,純正ストラット径がφ50mmの車両に適合<br>リヤサスペンションがトーションビーム車に適合<br>DCC除く,78400,,290612,KONI-AC-qq-e-i-701k,KONI-AC-qq-e-d-i-701k,フロント:8745-1324×2<br>リア:8245-1326×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7 スポーツバン,,13/01～,純正ストラット径がφ50mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合<br>DCC除く,78400,,290613,KONI-AC-qq-e-i-703k,KONI-AC-qq-e-d-i-703k,フロント:8745-1324×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7 バリアント,,13/05～,4-Motion/DCC/GTD/R/オールトラックを除く<br>純正ストラット径がφ50mmの車両に適合<br>リヤサスペンションがトーションビーム車に適合,78400,,290608,KONI-AC-qq-e-i-683k,KONI-AC-qq-e-d-i-683k,フロント:8745-1324×2<br>リア:8245-1326×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7 バリアント,,13/05～,4-Motion/DCC/GTD/R/オールトラックを除く<br>純正ストラット径がφ50mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合,78400,,290609,KONI-AC-qq-e-i-687k,KONI-AC-qq-e-d-i-687k,フロント:8745-1324×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
