自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,15000,,92056,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,15000,,98631,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,15000,,92057,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,15000,,90807,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,イグニス,FF21S,16/02～,FF&4WD,フロント,15000,,97056,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.800001→810000,フロント,19000,,104601,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.810001→830000,フロント,19000,,78629,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.830001→,フロント,19000,,110943,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01V,88/5～97/10,,フロント,19000,,104602,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.800001→830000,フロント,19000,,117492,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.830001→900000,フロント,19000,,104603,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.900001→,フロント,19000,,97662,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA11W,88/5～97/10,車台No.→102052,フロント,19000,,78632,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA11W,88/5～97/10,車台No.102053→,フロント,19000,,104604,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA31W,88/5～97/10,車台No.→100601,フロント,19000,,84816,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA31W,88/5～97/10,車台No.100602→,フロント,19000,,84817,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA51W/TD51W/TD61W,88/5～97/10,,フロント,19000,,98038,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA74W/TD54W/TD94W,05/05～08/05,,フロント,19000,,123496,371088,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TD01W,88/5～97/10,車台No.→250000,フロント,19000,,78630,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TD01W,88/5～97/10,車台No.250001→,フロント,19000,,117493,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TD11W,88/5～97/10,車台No.→107046,フロント,19000,,117495,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TD11W,88/5～97/10,車台No.107047→,フロント,19000,,117496,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TD31W,88/5～97/10,車台No.→102135,フロント,19000,,111310,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TD31W,88/5～97/10,車台No.102136→,フロント,19000,,78633,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TD32W/TD62W,97/11～00/10,,フロント,19000,,84818,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TDA4W/TDB4W,08/06～,,フロント,19000,,117214,371088,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TDA4W/TDB4W,08/06～,,リア,17400,,99723,325488,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,エスクード,TL52W,97/11～00/10,車台No.150001→,フロント,19000,,78634,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エブリイ+,DA32W,99/6～01/05,,フロント,15000,,77941,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,エブリイランディ,DA32W,01/05～05/07,,フロント,15000,,103928,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,エリオ,RA21S/RB21S/RC51S/RD51S,01/01～,,フロント,19000,,84565,371070,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,キザシ,RE91S/RF91S,09/10～,,フロント,19000,,93216,321552,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,キザシ,RE91S/RF91S,09/10～,,リア,17400,,81407,335112,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,グランドエスクード,TX92W,00/12～,,フロント,19000,,124150,371048,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,クロスビー,MN71S,17/12～,,フロント,15000,,123495,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,シボレークルーズ,HR51S/HR52S/HR81S/HR82S,01/12～,,フロント,15000,,84214,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ジムニー,JA11C/JA11V/JA12C/JA12V/JA12W/JA22W,90/2～98/8,,フロント,15000,,123497,371900,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ジムニー,JB23W,98/9～,,フロント,15000,,117215,371900,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ジムニーワイド/ジムニーシエラ,JB31W/JB32W,93/5～97/12,,フロント,15000,,97373,371900,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ジムニーワイド/ジムニーシエラ,JB33W/JB43W,97/12～,,フロント,15000,,103931,371900,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,スイフト,HT51S,00/01～05/04,,フロント,15000,,110304,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,スイフト,HT81S,00/01～05/04,,フロント,15000,,116890,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,スイフト,ZC31S,05/09～11/12,,リア,17400,,120390,335112,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,ソリオ,MA26S/MA36S/MA46S,15/08～,,フロント,15000,,110303,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ツイン,EC22S,03/01～,,フロント,15000,,85383,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ラパン,HE21S,02/01～03/08,NA・FF車 車台No.→420000,フロント,15000,,118072,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ラパン,HE21S,02/01～05/01,NA・4WD車 車台No.→161593,フロント,15000,,124768,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ラパン,HE21S,02/09～03/08,ターボ 車台No.→920000,フロント,15000,,104876,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ラパン,HE21S,03/08～05/01,NA・FF車 車台No.420001→519297,フロント,15000,,111521,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ラパン,HE21S,03/08～05/11,ターボ 車台No.920001→950000,フロント,15000,,85382,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ランディ,SC25/SNC25,07/01～10/12,,フロント,19000,,106346,321534,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,ランディ,SC25/SNC25,07/01～10/12,,リア,17400,,93219,325488,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,ランディ,SC26/SNC26/SHC26,10/12～,,フロント,19000,,125902,321534,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,ランディ,SC26/SNC26/SHC26,10/12～,,リア,17400,,93220,325488,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,ワゴンR,MC11S/MC12S/MC21S/MC22S,98/10～03/08,,フロント,15000,,92059,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ワゴンR,MH21S,03/09～04/11,NA・4WD 車台No.→460000,フロント,15000,,79218,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ワゴンR,MH21S,03/09～04/11,NA・FF車 車台No.→300000,フロント,15000,,104878,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ワゴンR,MH21S,03/09～05/08,RR-DI(直噴ターボ)車台No.→840000,フロント,15000,,98223,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ワゴンR,MH21S,03/09～05/08,ターボ 車台No.→600000,フロント,15000,,85384,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,ワゴンR,MH55S,17/02～,ターボ(スティングレー ハイブリッド T),フロント,15000,,103929,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スバル,BRZ,ZC6,12/03～,RAレーシング(GAZOO ONE MAKE RACE 車両),リア,17400,,77651,365085,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スバル,BRZ,ZC6,12/03～,S,フロント,19000,,85885,361055,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スバル,BRZ,ZC6,12/03～,S,リア,17400,,96654,365085,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スバル,BRZ,ZC6,12/03～13/08,R,リア,17400,,116525,365085,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,SとR・17インチパフォーマンスパッケージのフロントには標準でサーキット対応のスポーツパッドが採用されています,18000,14400,3000
