自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スズキ,アルト,HA23S/HA23V,00/12～03/08,,フロント,23000,,89044,371054,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルト,HA23S/HA23V,03/08～04/08,,フロント,23000,,121693,371054,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.→135030,フロント,23000,,95537,371054,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,23000,,108449,371054,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,23000,,121694,371054,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,23000,,108450,371054,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,23000,,123120,371058,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),フロント,23000,,79631,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),リア,21400,,96565,375044,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,23000,18400,3000
スズキ,アルトワークス,CN21S,90/2～91/8,WORKS RS-X(DOHC ターボ),フロント,23000,,125162,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CP21S,90/2～91/8,WORKS RS-R(DOHC ターボ),フロント,23000,,118868,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)ナビ仕様,フロント,23000,,112289,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.250001→,フロント,23000,,79632,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),フロント,23000,,118869,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),リア,21400,,122760,375044,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,23000,18400,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.250001→,フロント,23000,,112288,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),フロント,23000,,99020,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),リア,21400,,116465,375044,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,23000,18400,3000
