自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スズキ,アルト,CL21V,90/2～91/8,,フロント,12600,,123348,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CL22V,91/9～94/10,,フロント,12600,,116732,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CM21V,90/2～94/10,,フロント,12600,,90644,371028,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CM22V,90/2～94/10,ワークス以外(NA車)車台No.→250000,フロント,12600,,103784,371028,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CM22V,90/2～94/10,ワークス以外(NA車)車台No.250001→,フロント,12600,,110165,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CN21S,90/2～91/8,NA ABS付,フロント,12600,,77808,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CN21S,90/2～91/8,NA ABS無,フロント,12600,,110163,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CP21S,90/2～91/8,NA,フロント,12600,,123351,371028,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CR22S,91/9～94/10,ワークス以外(NA車),フロント,12600,,116733,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 3ドア車 車台No.→250000,フロント,12600,,96919,371028,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 3ドア車 車台No.250001→,フロント,12600,,84068,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 5ドア車 車台No.→800000,フロント,12600,,103785,371028,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 5ドア車 車台No.800001→,フロント,12600,,110166,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,NA,フロント,12600,,112899,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,フロント,12600,,106659,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,リア,15800,,97175,335036,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,アルト,HA12V,98/10～04/08,,フロント,12600,,112898,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA23S/HA23V,00/12～03/08,,フロント,12600,,93533,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA23S/HA23V,03/08～04/08,,フロント,12600,,126188,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.→135030,フロント,12600,,80644,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.135031→,フロント,12600,,80655,371082,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,12600,,119539,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.135031→,フロント,12600,,93543,371082,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,12600,,80645,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.509893→,フロント,12600,,113264,371082,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,12600,,86840,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA24V,04/08～09/12,車台No.104001→,フロント,12600,,126197,371082,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA35S,09/12～,車台No.→140000,フロント,12600,,113265,371082,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA35S,09/12～,車台No.140001→,フロント,12600,,113266,371082,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA36S,14/12～,NA,フロント,12600,,116742,371148,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,12600,,80651,371058,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルト,HA36V,14/12～,,フロント,12600,,116741,371148,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),フロント,12600,,116736,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),リア,12600,,97215,375044,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CN21S,90/2～91/8,WORKS ie(SOHC ターボ),フロント,12600,,110164,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CN21S,90/2～91/8,WORKS RS-X(DOHC ターボ),フロント,12600,,110170,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CP21S,90/2～91/8,WORKS ie(SOHC ターボ),フロント,12600,,84070,371028,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CP21S,90/2～91/8,WORKS RS-R(DOHC ターボ),フロント,12600,,123352,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)ナビ仕様,フロント,12600,,116737,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.→250000,フロント,12600,,77805,371026,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.250001→,フロント,12600,,90645,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),フロント,12600,,77810,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),リア,12600,,77815,375044,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.→250000,フロント,12600,,103786,371028,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.250001→,フロント,12600,,77809,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),フロント,12600,,110171,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),リア,12600,,77814,375044,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,アルトワークス,HA11S/HB11S,94/11～98/9,WORKS(ターボ),フロント,12600,,116738,371032,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,イグニス,FF21S,16/02～,FF&4WD,フロント,12600,,106665,371058,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.800001→810000,フロント,15800,,114051,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.810001→830000,フロント,15800,,101124,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.830001→,フロント,15800,,114052,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA01V,88/5～97/10,,フロント,15800,,107742,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.800001→830000,フロント,15800,,114053,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.830001→900000,フロント,15800,,101125,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.900001→,フロント,15800,,101126,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA02W/TD02W/TA52W/TD52W,97/11～00/10,,フロント,15800,,104450,371038,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA11W,88/5～97/10,車台No.→102052,フロント,15800,,103505,371048,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA11W,88/5～97/10,車台No.102053→,フロント,15800,,96922,371048,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA31W,88/5～97/10,車台No.→100601,フロント,15800,,110173,371048,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA31W,88/5～97/10,車台No.100602→,フロント,15800,,116740,371048,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA51W/TD51W/TD61W,88/5～97/10,,フロント,15800,,84075,371048,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TA74W/TD54W/TD94W,05/05～08/05,,フロント,15800,,97213,371088,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TD01W,88/5～97/10,車台No.→250000,フロント,15800,,120715,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TD01W,88/5～97/10,車台No.250001→,フロント,15800,,94584,371020,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,エスクード,TD11W,88/5～97/10,車台No.→107046,フロント,15800,,77540,371048,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
