自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,アルト,HA11S/HB11S,94/11～98/9,WORKS(ターボ),フロント,20000,,183805,SD3714003-qq-e-972k,4547726527047,3714003,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,20000,600,16000,4000
スズキ,アルト,HA11S/HB11S,94/11～98/9,ワークス以外(NA),フロント,18400,,183796,SD3714001-qq-e-957k,4547726527030,3714001,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,アルト,HA12S,98/10～00/12,NA,フロント,15200,,183843,SD3714013-qq-e-35k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA12S,98/10～00/12,ターボ,フロント,16800,,183819,SD3714011-qq-e-11k,4547726527085,3714011,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,アルト,HA12S,98/10～00/12,ターボ,リア,18400,,184013,SD3754008-qq-e-251k,4547726527160,3754008,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,アルト,HA12V,98/10～00/12,,フロント,15200,,183844,SD3714013-qq-e-36k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA21S/HB21S,94/11～98/9,,フロント,20000,,183806,SD3714003-qq-e-973k,4547726527047,3714003,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,20000,600,16000,4000
スズキ,アルト,HA21S/HB21S,94/11～98/9,,リア,22400,,184011,SD3754006-qq-e-249k,4547726527191,3754006,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,23000,600,18400,4000
スズキ,アルト,HA22S,98/10～04/08,NA,フロント,15200,,183845,SD3714013-qq-e-37k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA22S,98/10～04/08,ターボ,フロント,16800,,183820,SD3714011-qq-e-12k,4547726527085,3714011,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,アルト,HA22S,98/10～04/08,ターボ,リア,18400,,184014,SD3754008-qq-e-252k,4547726527160,3754008,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,アルト,HA23S/HA23V,00/12～04/08,,フロント,15200,,183846,SD3714013-qq-e-38k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.→135030,フロント,15200,,183847,SD3714013-qq-e-39k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.135031→,フロント,16800,,183880,SD3714027-qq-e-108k,4547726521991,3714027,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,15200,,183849,SD3714013-qq-e-41k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.135031→,フロント,16800,,183882,SD3714027-qq-e-110k,4547726521991,3714027,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,15200,,183848,SD3714013-qq-e-40k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.509893→,フロント,16800,,183881,SD3714027-qq-e-109k,4547726521991,3714027,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,15200,,183850,SD3714013-qq-e-42k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA24V,04/08～09/12,車台No.104001→,フロント,16800,,183883,SD3714027-qq-e-111k,4547726521991,3714027,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,アルト,HA25S/HA25V/HA35S,09/12～14/12,,フロント,16800,,183884,SD3714027-qq-e-112k,4547726521991,3714027,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,アルト,HA36S,14/12～,NA,フロント,15200,,183999,SD3714083-qq-e-237k,4547726529355,3714083,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,17600,,183974,SD3714049-qq-e-194k,4547726527269,3714049,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,アルト,HA36V,14/12～,,フロント,15200,,183998,SD3714083-qq-e-236k,4547726529355,3714083,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,アルト,HC11V/HD11V,94/11～98/9,,フロント,18400,,183797,SD3714001-qq-e-958k,4547726527030,3714001,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
