自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
トヨタ,アルファード/ヴェルファイア/アルファードハイブリッド,ANH10W/ANH15/MNH10W/MNH15W/ATH10W,2002/5～2008/5,2WD/4WD,Fr：調整式ピロボール<br>Rr：純正流用,266342,,211462,3AAA-PS-A1-000-qq-e-44,3AAA-PS-A1-000-qq-e-d-44,3AAA.PS.A1.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,250/10|(7-9),700|710,+30/-20|+24/-26,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,ハイブリッドリアは社外スプリング使用<br>ダウン量は地上～フェンダーアーチ中央が目安<br>withアラゴスタカップ2CUPはリモコン付KIT,340000,270000,受注生産　2～3週間程度
トヨタ,アルファード/ヴェルファイア/アルファードハイブリッド,ANH10W/ANH15/MNH10W/MNH15W/ATH10W,2002/5～2008/5,2WD/4WD,Fr：純正流用<br>Rr：純正流用,250831,,211463,3AAA-PS-A1-R00-qq-e-42,3AAA-PS-A1-R00-qq-e-d-42,3AAA.PS.A1.R00,Aragosta,全長調整式車高調,W,純正流用|純正流用,250/10|(7-9),700|710,+30/-20|+24/-26,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,ハイブリッドリアは社外スプリング使用<br>ダウン量は地上～フェンダーアーチ中央が目安,320000,255000,受注生産　2～3週間程度
トヨタ,アルファード/ヴェルファイア/アルファードハイブリッド/ヴェルファイアハイブリッド,AGH35W/GGH35W/AYH30W,2015.1～,4WD/ハイブリッド,Fr：調整式ピロボール<br>Rr：上下ラバーブッシュ,496174,,212251,3AAA-TJ-B1-000-2CUP-qq-e-393,出さない,3AAA.TJ.B1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|上下ラバーブッシュ,225/12|(10),40|35,+30/-17|+20/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,withアラゴスタカップ2CUPはリモコン付KIT,610000,出さない,受注生産　1ヶ月程度
トヨタ,アルファード/ヴェルファイア/アルファードハイブリッド/ヴェルファイアハイブリッド,AGH35W/GGH35W/AYH30W,2015/1～,4WD/ハイブリッド,Fr：調整式ピロボール<br>Rr：上下ラバーブッシュ,266342,,211913,3AAA-TJ-B1-000-qq-e-40,3AAA-TJ-B1-000-qq-e-d-40,3AAA.TJ.B1.000,Aragosta,全長調整式車高調,W,調整式ピロボール|上下ラバーブッシュ,225/12|(10),40|35,+30/-17|+20/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,withアラゴスタカップ2CUPはリモコン付KIT,340000,270000,受注生産　2～3週間程度
トヨタ,アルファード/ヴェルファイア/アルファードハイブリッド/ヴェルファイアハイブリッド,AGH35W/GGH35W/AYH30W,2015/1～,4WD/ハイブリッド,Fr：純正流用<br>Rr：上下ラバーブッシュ,250831,,211914,3AAA-TJ-B1-R00-qq-e-41,3AAA-TJ-B1-R00-qq-e-d-41,3AAA.TJ.B1.R00,Aragosta,全長調整式車高調,W,純正流用|上下ラバーブッシュ,225/12|(10),40|35,+30/-17|+20/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,320000,255000,受注生産　2～3週間程度
トヨタ,アルファード/ヴェルファイア/アルファードハイブリッド/ヴェルファイアハイブリッド,ANH10W/ANH15/MNH10W/MNH15W/ATH10W,2002.5～2008.5,2WD/4WD,Fr：調整式ピロボール<br>Rr：純正流用,496174,,212180,3AAA-PS-A1-000-2CUP-qq-e-391,出さない,3AAA.PS.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,250/10|(7.9),700|710,+30/-20|+24/-26,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,リアは社外スプリング使用<br>ダウン量は地上～フェンダーアーチ中央が目安<br>withアラゴスタカップ2CUPはリモコン付KIT,610000,出さない,受注生産　1ヶ月程度
トヨタ,アルファード/ヴェルファイア/アルファードハイブリッド/ヴェルファイアハイブリッド,ANH20W/ANH25W/GGH20W/GGH25W/ATH20W,2008.5～2015.1,2WD/4WD,Fr：調整式ピロボール<br>Rr：純正流用,496174,,211561,3AAA-TP23-000-2CUP-qq-e-280,出さない,3AAA.TP23.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,225/10|(6),40|40,+30/-20|+20/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,リアは社外スプリング使用<br>ダウン量は地上～フェンダーアーチ中央が目安<br>withアラゴスタカップ2CUPはリモコン付KIT,610000,出さない,受注生産　1ヶ月程度
トヨタ,イプサム,ACM21W/ACM26W,2001.5～2009.12,,Fr：調整式ピロボール<br>Rr：純正流用,439236,,212583,3AAA-TP17-000-2CUP-qq-e-395,出さない,3AAA.TP17.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,200/8+3|(8.5),45|35,+30/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,540000,出さない,受注生産　1ヶ月程度
トヨタ,イプサム,ACM21W/ACM26W,2001/5～2009/12,,Fr：調整式ピロボール<br>Rr：純正流用,250831,,211926,3AAA-TP17-000-qq-e-50,3AAA-TP17-000-qq-e-d-50,3AAA.TP17.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,200/8+3|(8-5),45|35,+30/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,320000,255000,受注生産　2～3週間程度
トヨタ,イプサム,SXM10,1996.5～2001.5,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,439236,,211556,3AAA-TP12-000-2CUP-qq-e-394,出さない,3AAA.TP12.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|固定式ピロボール,200/16|(6),45|35,+30/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,540000,出さない,受注生産　1ヶ月程度
