自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
日産,GT-R,R35,2007.12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,674436,,211430,3AAA-NH-T1-000-2CUP-qq-e-189,出さない,3AAA.NH.T1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SA-PnP,固定式ピロボール|固定式ピロボール,200/16|250/10,15|20,+20/-20|+30/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ2CUP/4CUPはリモコン付KIT,740000,出さない,受注生産　1ヶ月程度
日産,GT-R,R35,2007.12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,856716,,212161,3AAA-NH-T1-000-4CUP-qq-e-623,出さない,3AAA.NH.T1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SA-PnP,固定式ピロボール|固定式ピロボール,200/16|250/10,15|20,+20/-20|+30/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ2CUP/4CUPはリモコン付KIT,940000,出さない,受注生産　1ヶ月程度
日産,GT-R,R35,2007/12～,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,414810,,212162,3AAA-NH-T1-R00-qq-e-49,3AAA-NH-T1-R00-qq-e-d-49,3AAA.NH.T1.R00,Aragosta,全長調整式車高調,SA-PnP,固定式強化ラバー|固定式強化ラバー,200/16|250/10,15|20,+20/-20|+30/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,465000,430300,受注生産　2～3週間程度
日産,GT-R,R35,2007/12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,428106,,212492,3AAA-NH-T1-000-qq-e-46,3AAA-NH-T1-000-qq-e-d-46,3AAA.NH.T1.000,Aragosta,全長調整式車高調,SA-PnP,固定式ピロボール|固定式ピロボール,200/16|250/10,15|20,+20/-20|+30/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ2CUP/4CUPはリモコン付KIT,480000,443000,受注生産　2～3週間程度
