自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
日産,GT-R,R35,2007/12～,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,456359,,211830,3AAA-NH-S1-R00-qq-e-51,3AAA-NH-S1-R00-qq-e-d-51,3AAA.NH.S1.R00,Aragosta,全長調整式車高調,SS,固定式強化ラバー|固定式強化ラバー,14～24|10～20,15|20,+16/-19|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,585000,473800,受注生産　2～3週間程度
日産,シルビア,S15,1999/1～2002/8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,436970,,212810,3AAA-NB-S1-000-qq-e-70,3AAA-NB-S1-000-qq-e-d-70,3AAA.NB.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～18|10～18,25|25,+30/-20|+25/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,560000,435000,受注生産　2～3週間程度
日産,シルビア/180SX,S15,1999.1～2002.8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,634452,,212808,3AAA-NB-S1-000-2CUP-qq-e-409,出さない,3AAA.NB.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～18|10～18,25|25,+30/-20|+25/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,780000,出さない,受注生産　1ヶ月程度
日産,シルビア/180SX,S15,1999.1～2002.8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,780864,,212809,3AAA-NB-S1-000-4CUP-qq-e-540,出さない,3AAA.NB.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,調整式ピロボール|固定式ピロボール,10～18|10～18,25|25,+30/-20|+25/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,960000,出さない,受注生産　1ヶ月程度
日産,スカイラインGT-R,BCNR33,1995.1～1998.12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,593782,,211407,3AAA-N2-S1-000-2CUP-qq-e-298,出さない,3AAA.N2.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,25|25,+10/-10|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,730000,出さない,受注生産　1ヶ月程度
日産,スカイラインGT-R,BCNR33,1995.1～1998.12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,740194,,211408,3AAA-N2-S1-000-4CUP-qq-e-621,出さない,3AAA.N2.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,25|25,+10/-10|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,910000,出さない,受注生産　1ヶ月程度
日産,スカイラインGT-R,BCNR33,1995/1～1998/12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,405946,,213010,3AAA-N2-S1-000-qq-e-80,3AAA-N2-S1-000-qq-e-d-80,3AAA.N2.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,25|25,+10/-10|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,520000,405000,受注生産　2～3週間程度
日産,スカイラインGT-R,BNR32,1989.8～1994.12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,585648,,212791,3AAA-N1-S1-000-2CUP-qq-e-295,出さない,3AAA.N1.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,25|30,+10/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,720000,出さない,受注生産　1ヶ月程度
日産,スカイラインGT-R,BNR32,1989/8～1994/12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,398190,,211404,3AAA-N1-S1-000-qq-e-87,3AAA-N1-S1-000-qq-e-d-87,3AAA.N1.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,25|30,+10/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,510000,397500,受注生産　2～3週間程度
日産,スカイラインGT-R,BNR34,1999.1～2002.8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,593782,,212144,3AAA-NA-S1-000-2CUP-qq-e-414,出さない,3AAA.NA.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,10～16|10～16,40|34,+15/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,730000,出さない,受注生産　1ヶ月程度
日産,スカイラインGT-R,BNR34,1999.1～2002.8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,740194,,212145,3AAA-NA-S1-000-4CUP-qq-e-638,出さない,3AAA.NA.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,10～16|10～16,40|34,+15/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,910000,出さない,受注生産　1ヶ月程度
日産,スカイラインGT-R,BNR34,1999/1～2002/8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,405946,,211422,3AAA-NA-S1-000-qq-e-97,3AAA-NA-S1-000-qq-e-d-97,3AAA.NA.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,10～16|10～16,40|34,+15/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,520000,405000,受注生産　2～3週間程度
日産,スカイラインGT-R,BNR34,1999/1～2002/8,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,394312,,212484,3AAA-NA-S1-R00-qq-e-95,3AAA-NA-S1-R00-qq-e-d-95,3AAA.NA.S1.R00,Aragosta,全長調整式車高調,SS,固定式強化ラバー|固定式強化ラバー,10～16|10～16,40|34,+10/-15|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,505000,393800,受注生産　2～3週間程度
日産,スカイラインGTS-t,ER34,1998.5～2001.6,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,211419,3AAA-N9-S1-000-2CUP-qq-e-413,出さない,3AAA.N9.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,40|30,+8/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,リアショック下部形状要確認:ブッシュタイプ/フォークタイプ,710000,出さない,受注生産　1ヶ月程度
日産,スカイラインGTS-t,ER34,1998.5～2001.6,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,723926,,212142,3AAA-N9-S1-000-4CUP-qq-e-542,出さない,3AAA.N9.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,40|30,+8/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,リアショック下部形状要確認:ブッシュタイプ/フォークタイプ,890000,出さない,受注生産　1ヶ月程度
日産,スカイラインGTS-t,ER34,1998/5～2001/6,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,378801,,211815,3AAA-N9-S1-R00-qq-e-7,3AAA-N9-S1-R00-qq-e-d-7,3AAA.N9.S1.R00,Aragosta,全長調整式車高調,SS,固定式強化ラバー|固定式強化ラバー,8～16|8～16,40|30,+8/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,リアショック下部形状要確認:ブッシュタイプ/フォークタイプ,485000,378800,受注生産　2～3週間程度
日産,スカイラインGTS-t,ER34,1998/5～2001/6,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,390434,,212802,3AAA-N9-S1-000-qq-e-5,3AAA-N9-S1-000-qq-e-d-5,3AAA.N9.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,8～16|8～16,40|30,+8/-15|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,リアショック下部形状要確認:ブッシュタイプ/フォークタイプ,500000,390000,受注生産　2～3週間程度
日産,スカイラインセダン/スカイラインクーペ,V36/CKV36,2007.10～2014.4,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,593782,,211437,3AAA-NI-S1-000-2CUP-qq-e-186,出さない,3AAA.NI.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,12～20|(8/10/12),15|15,+20/-21|+25/-16,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,730000,出さない,受注生産　1ヶ月程度
日産,スカイラインセダン/スカイラインクーペ,V36/CKV36,2007/10～2014/4,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,394312,,211833,3AAA-NI-S1-R00-qq-e-27,3AAA-NI-S1-R00-qq-e-d-27,3AAA.NI.S1.R00,Aragosta,全長調整式車高調,SS,固定式強化ラバー|固定式強化ラバー,12～20|(8/10/12),15|15,+20/-21|+25/-16,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,505000,393800,受注生産　2～3週間程度
日産,スカイラインセダン/スカイラインクーペ,V36/CKV36,2007/10～2014/4,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,405946,,212165,3AAA-NI-S1-000-qq-e-26,3AAA-NI-S1-000-qq-e-d-26,3AAA.NI.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,12～20|(8/10/12),15|15,+20/-21|+25/-16,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,520000,405000,受注生産　2～3週間程度
日産,フェアレディZ,Z33/HZ33,2002.7～2008.11,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,593782,,212814,3AAA-ND-S1-000-2CUP-qq-e-192,出さない,3AAA.ND.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,12～20|(8/10/12),15|15,+20/-21|+25/-16,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,730000,出さない,受注生産　1ヶ月程度
日産,フェアレディZ,Z33/HZ33,2002/7～2008/11,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,394312,,212151,3AAA-ND-S1-R00-qq-e-70,3AAA-ND-S1-R00-qq-e-d-70,3AAA.ND.S1.R00,Aragosta,全長調整式車高調,SS,固定式強化ラバー|固定式強化ラバー,12～20|(8/10/12),15|15,+20/-21|+25/-16,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,505000,393800,受注生産　2～3週間程度
日産,フェアレディZ,Z33/HZ33,2002/7～2008/11,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,405946,,212487,3AAA-ND-S1-000-qq-e-68,3AAA-ND-S1-000-qq-e-d-68,3AAA.ND.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,12～20|(8/10/12),15|15,+20/-21|+25/-16,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,520000,405000,受注生産　2～3週間程度
日産,フェアレディZ,Z34,2008.12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,593782,,212168,3AAA-NJ-S1-000-2CUP-qq-e-306,出さない,3AAA.NJ.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,12～20|(8/10/12),35|40,+14/-31|+26/-19,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,730000,出さない,受注生産　1ヶ月程度
日産,フェアレディZ,Z34,2008/12～,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,394312,,211441,3AAA-NJ-S1-R00-qq-e-73,3AAA-NJ-S1-R00-qq-e-d-73,3AAA.NJ.S1.R00,Aragosta,全長調整式車高調,SS,固定式強化ラバー|固定式強化ラバー,12～20|(8/10/12),35|40,+26/-27|+25/-28,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,505000,393800,受注生産　2～3週間程度
日産,フェアレディZ,Z34,2008/12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,405946,,212494,3AAA-NJ-S1-000-qq-e-76,3AAA-NJ-S1-000-qq-e-d-76,3AAA.NJ.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,12～20|(8/10/12),35|40,+14/-31|+26/-19,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,520000,405000,受注生産　2～3週間程度
ホンダ,NSX,NA1/NA2,1990.9～2006.1,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,650720,,211347,3AAA-H3-S1-000-2CUP-qq-e-363,出さない,3AAA.H3.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,12～18|12～18,20|35,+35/-20|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ 2CUP/4CUPはリモコン付KIT,800000,出さない,受注生産　1ヶ月程度
ホンダ,NSX,NA1/NA2,1990.9～2006.1,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,813400,,212428,3AAA-H3-S1-000-4CUP-qq-e-592,出さない,3AAA.H3.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,12～18|12～18,20|35,+35/-20|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ 2CUP/4CUPはリモコン付KIT,1000000,出さない,受注生産　1ヶ月程度
ホンダ,NSX,NA1/NA2,1990/9～2006/1,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,421457,,211348,3AAA-H3-S1-000-qq-e-42,3AAA-H3-S1-000-qq-e-d-42,3AAA.H3.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,12～18|12～18,20|35,+35/-20|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ 2CUP/4CUPはリモコン付KIT,540000,425000,受注生産　2～3週間程度
ホンダ,S2000,AP1/AP2,1999.4～2009.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,496174,,211748,3AAA-H5-S1-000-2CUP-qq-e-362,出さない,3AAA.H5.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,12～18|12～18,20|35,+35/-20|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,リアのみサブタンク仕様,610000,出さない,受注生産　1ヶ月程度
ホンダ,S2000,AP1/AP2,1999.4～2009.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,642586,,211749,3AAA-H5-S1-000-4CUP-qq-e-632,出さない,3AAA.H5.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,12～18|12～18,20|35,+35/-20|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,リアのみサブタンク仕様,790000,出さない,受注生産　1ヶ月程度
ホンダ,S2000,AP1/AP2,1999/4～2009/9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,312876,,211354,3AAA-H5-S1-000-qq-e-17,3AAA-H5-S1-000-qq-e-d-17,3AAA.H5.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,12～18|12～18,20|35,+35/-20|+10/-10,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,リアのみサブタンク仕様,400000,315000,受注生産　2～3週間程度
ホンダ,シビック/CR-X,EF8/EF9,1987.9～1991.8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,707658,,211740,3AAA-H1-D1-S00-4CUP-qq-e-562,出さない,3AAA.H1.D1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,20|20,+30/-15|+35/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,特注対応車種,870000,出さない,受注生産　1ヶ月程度
ホンダ,シビック/CR-X,EF8/EF9,1987.9～1991.8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,561246,,212087,3AAA-H1-D1-S00-2CUP-qq-e-368,出さない,3AAA.H1.D1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,20|20,+30/-15|+35/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,特注対応車種,690000,出さない,受注生産　1ヶ月程度
ホンダ,シビック/CR-X,EF8/EF9,1987/9～1991/8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,374923,,212735,3AAA-H1-D1-S00-qq-e-57,3AAA-H1-D1-S00-qq-e-d-57,3AAA.H1.D1.S00,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,20|20,+30/-15|+35/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,特注対応車種,480000,375000,受注生産　2～3週間程度
ホンダ,シビック/CR-X,EG6,1991.9～1995.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,707658,,211341,3AAA-H1-C1-S00-4CUP-qq-e-652,出さない,3AAA.H1.C1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,20|20,+30/-15|+35/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,特注対応車種,870000,出さない,受注生産　1ヶ月程度
ホンダ,シビック/CR-X,EG6,1991.9～1995.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,561246,,212420,3AAA-H1-C1-S00-2CUP-qq-e-517,出さない,3AAA.H1.C1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,20|20,+30/-15|+35/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,特注対応車種,690000,出さない,受注生産　1ヶ月程度
ホンダ,シビック/CR-X,EG6,1991/9～1995/9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,374923,,212421,3AAA-H1-C1-S00-qq-e-64,3AAA-H1-C1-S00-qq-e-d-64,3AAA.H1.C1.S00,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,20|20,+30/-15|+35/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,特注対応車種,480000,375000,受注生産　2～3週間程度
ホンダ,シビックタイプR/シビックSiR,EK4/EK9,1995.9～2000.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,561246,,211743,3AAA-H2-S1-000-2CUP-qq-e-357,出さない,3AAA.H2.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,30|30,+10/-15|+25/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,690000,出さない,受注生産　1ヶ月程度
ホンダ,シビックタイプR/シビックSiR,EK4/EK9,1995.9～2000.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,707658,,212425,3AAA-H2-S1-000-4CUP-qq-e-645,出さない,3AAA.H2.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,30|30,+10/-15|+25/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,870000,出さない,受注生産　1ヶ月程度
ホンダ,シビックタイプR/シビックSiR,EK4/EK9,1995/9～2000/9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,374923,,212739,3AAA-H2-S1-000-qq-e-71,3AAA-H2-S1-000-qq-e-d-71,3AAA.H2.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,10～18|8～16,30|30,+10/-15|+25/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,480000,375000,受注生産　2～3週間程度
ホンダ,シビックタイプR/シビックSiR,FD2,2007.3～2010.8,,Fr：調整式ピロボール<br>Rr：純正流用,610050,,212436,3AAA-HE-S1-000-2CUP-qq-e-462,出さない,3AAA.HE.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|純正流用,10～16|12～26,20|30,+20/-10|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,750000,出さない,受注生産　1ヶ月程度
ホンダ,シビックタイプR/シビックSiR,FD2,2007/3～2010/8,,Fr：調整式ピロボール<br>Rr：純正流用,413702,,211366,3AAA-HE-S1-000-qq-e-74,3AAA-HE-S1-000-qq-e-d-74,3AAA.HE.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|純正流用,10～16|12～26,20|30,+20/-10|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,530000,412500,受注生産　2～3週間程度
ホンダ,シビックタイプR/シビックSiR,FN2,2007～2012.6,,Fr：調整式ピロボール<br>Rr：純正流用,610050,,212757,3AAA-HH-S1-000-2CUP-qq-e-360,出さない,3AAA.HH.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|純正流用,10～16|4～16,20|30,+20/-10|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,750000,出さない,受注生産　1ヶ月程度
ホンダ,シビックタイプR/シビックSiR,FN2,2007～2012/6,,Fr：調整式ピロボール<br>Rr：純正流用,413702,,211757,3AAA-HH-S1-000-qq-e-80,3AAA-HH-S1-000-qq-e-d-80,3AAA.HH.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|純正流用,10～16|4～16,20|30,+20/-10|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,530000,412500,受注生産　2～3週間程度
マツダ,RX-7,FD3S,1991.12～2003.4,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212110,3AAA-M1-S1-000-2CUP-qq-e-253,出さない,3AAA.M1.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,12～20|12～20,30|30,+30/-20|+35/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
マツダ,RX-7,FD3S,1991.12～2003.4,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,723926,,213000,3AAA-M1-S1-000-4CUP-qq-e-555,出さない,3AAA.M1.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,12～20|12～20,30|30,+30/-20|+35/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,890000,出さない,受注生産　1ヶ月程度
マツダ,RX-7,FD3S,1991/12～2003/4,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,390434,,211387,3AAA-M1-S1-000-qq-e-43,3AAA-M1-S1-000-qq-e-d-43,3AAA.M1.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,12～20|12～20,30|30,+30/-20|+35/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,500000,390000,受注生産　2～3週間程度
三菱,ランサーエボリューションIX/IX MR,CT9A,2005.3～2007.1,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,610050,,212064,3AAA-D6-S1-000-2CUP-qq-e-232,出さない,3AAA.D6.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+25/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,750000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションIX/IX MR,CT9A,2005.3～2007.1,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,756462,,212400,3AAA-D6-S1-000-4CUP-qq-e-626,出さない,3AAA.D6.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+25/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,930000,出さない,受注生産　1ヶ月程度
