自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
トヨタ,クラウン/クラウンアスリート,GRS180/GRS182/GRS184,2003.12～2008.2,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212554,3AAA-TE-A1-000-4CUP-qq-e-566,出さない,3AAA.TE.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート,GRS180/GRS182/GRS184,2003/12～2008/2,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,211904,3AAA-TE-A1-R00-qq-e-69,3AAA-TE-A1-R00-qq-e-d-69,3AAA.TE.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,250/10|250/8,30|30,+40/-25|+40/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート,GRS180/GRS182/GRS184,2003/12～2008/2,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,212247,3AAA-TE-A1-000-qq-e-66,3AAA-TE-A1-000-qq-e-d-66,3AAA.TE.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート,GRS200/GRS202/GRS204,2008.2～2012.12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,431102,,211542,3AAA-TE-A1-000-2CUP-qq-e-158,出さない,3AAA.TE.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート,GRS200/GRS202/GRS204,2008.2～2012.12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212246,3AAA-TE-A1-000-4CUP-qq-e-609,出さない,3AAA.TE.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート,GRS200/GRS202/GRS204,2008/2～2012/12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,211903,3AAA-TE-A1-000-qq-e-70,3AAA-TE-A1-000-qq-e-d-70,3AAA.TE.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート,GRS200/GRS202/GRS204,2008/2～2012/12,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,211905,3AAA-TE-A1-R00-qq-e-71,3AAA-TE-A1-R00-qq-e-d-71,3AAA.TE.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,250/10|250/8,30|30,+40/-25|+40/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート,JZS171/JZS175,1999.9～2003.12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,211456,3AAA-PM-A1-000-4CUP-qq-e-606,出さない,3AAA.PM.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/10,30|20,+40/-30|+50/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート,JZS171/JZS175,1999.9～2003.12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,431102,,212179,3AAA-PM-A1-000-2CUP-qq-e-382,出さない,3AAA.PM.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/10,30|20,+40/-30|+50/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート,JZS171/JZS175,1999/9～2003/12,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,211850,3AAA-PM-A1-R00-qq-e-75,3AAA-PM-A1-R00-qq-e-d-75,3AAA.PM.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,200/12|250/10,30|20,+20/-35|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
