自動車メーカー,車種,型式,エンジン,適合詳細,仕様,プレート,種類,販売価格,Camp価格,商品ID,物販コード,メーカー品番,メーカー名,商品名,商品,商品種別,付属品/必要部品,備考,注意事項,定価,入り送料,,規格1,パターン数,管理用コード
スバル,BRZ,ZC6,FA20,,車種専用タイプ・ダンパー付きクラッチディスク<br>プッシュ式,シングル,,69705,,291535,ORC-040-TT1213-qq-e-560k,ORC-040-TT1213,ORC,N1 Clutch(シングル),N1 Clutch,N1 Clutch,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:純正品をご使用ください。<br>純正のフライホイールを使用してください。,,,83500,0,,,,
トヨタ,86,ZN6,FA20,,車種専用タイプ・ダンパー付きクラッチディスク<br>プッシュ式,シングル,,69705,,291534,ORC-040-TT1213-qq-e-205k,ORC-040-TT1213,ORC,N1 Clutch(シングル),N1 Clutch,N1 Clutch,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:純正品をご使用ください。<br>純正のフライホイールを使用してください。,,,83500,0,,,,
