自動車メーカー,車種,型式,グレード,年式,ダウン量 mm(F/R),販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,エンジン,駆動方式,適合詳細,スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
スバル,レガシィB4,BEE,RS30,2002/02～2003/05,-40/-20,20616,,262930,SKS02-S1B00-qq-e-102,SKS02-S1B00-qq-e-d-102,4571104660699,SKS02-S1B00,TEIN,S.TECH,3000,4WD,,3.9/6.2,263/290,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,メーカー保証対象外：車高の前後バランスが悪いため。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,レガシィB4,BL5,2.0GT/2.0GT スペックB,2003/05～2009/04,-25/-25,18345,,262940,SKS52-S1B00-qq-e-104,SKS52-S1B00-qq-e-d-104,4571104663829,SKS52-S1B00,TEIN,S.TECH,2000,4WD,ビルシュタイン装着車専用,5.3/7.2,228/282,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,32500,39200
スバル,レガシィツーリングワゴン,BH5,GT-B/E-TUNE,1998/06～2003/05,-39/-41,20616,,262933,SKS02-S1B00-qq-e-106,SKS02-S1B00-qq-e-d-106,4571104660699,SKS02-S1B00,TEIN,S.TECH,2000,4WD,ビルシュタイン装着車専用,3.9/6.2,263/290,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,レガシィツーリングワゴン,BHE,GT30,2002/02～2003/05,-45/-40,20616,,262932,SKS02-S1B00-qq-e-105,SKS02-S1B00-qq-e-d-105,4571104660699,SKS02-S1B00,TEIN,S.TECH,3000,4WD,,3.9/6.2,263/290,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,レガシィツーリングワゴン,BP5,2.0GT/2.0GT スペックB,2003/05～2009/04,-25/-30,18345,,262941,SKS52-S1B00-qq-e-107,SKS52-S1B00-qq-e-d-107,4571104663829,SKS52-S1B00,TEIN,S.TECH,2000,4WD,ビルシュタイン装着車専用,5.3/7.2,228/282,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,32500,39200
トヨタ,bB,QNC20,S Qバージョン,2005/12～2016/07,-45/-35,17813,,262893,SKL96-S1B00-qq-e-4,SKL96-S1B00-qq-e-d-4,4571104664628,SKL96-S1B00,TEIN,S.TECH,1300,FF,,4.1/2.8,300/293,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,31500,35500
トヨタ,bB,QNC21,Z/Z Xバージョン/Z Qバージョン,2005/12～2016/07,-45/-35,17813,,262894,SKL96-S1B00-qq-e-5,SKL96-S1B00-qq-e-d-5,4571104664628,SKL96-S1B00,TEIN,S.TECH,1500,FF,,4.1/2.8,300/293,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,31500,35500
トヨタ,アルファード,ANH10W,AS/AX,2002/05～2008/05,-45/-55,22860,,262880,SKL12-S1B00-qq-e-6,SKL12-S1B00-qq-e-d-6,4571104663645,SKL12-S1B00,TEIN,S.TECH,2400,FF,,3.8/6.7,298/324,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
トヨタ,アルファード,ANH15W,AS/AX,2002/05～2008/05,-40/-65,22860,,262881,SKL12-S1B00-qq-e-7,SKL12-S1B00-qq-e-d-7,4571104663645,SKL12-S1B00,TEIN,S.TECH,2400,4WD,,3.8/6.7,298/324,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
トヨタ,アルファード,ANH20W,240S/240X/240G,2008/05～2014/12,-40/-40,23359,,262757,SKC84-S1B00-qq-e-8,SKC84-S1B00-qq-e-d-8,4571104665977,SKC84-S1B00,TEIN,S.TECH,2400,FF,,3.4/8.5,301/300,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,42500,42700
