自動車メーカー,車種,型式,グレード,年式,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,エンジン,駆動方式,適合詳細,スプリング付属,EDFC対応,減衰力調整(F/R),全長調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),車高調整範囲純正比 mm(F/R)最大:下限～上限,車高調整範囲純正比 mm(F/R)推奨:下限～上限,スプリングレート Kgf/mm(F/R),自由長 mm(F/R),内径 mm(F/R),備考,注意事項,定価,SET価格,取付特記事項
トヨタ,マークII/チェイサー/クレスタ,JZX100,ツアラーV/ツアラーS/グランデ/グランデG/アバンテ/アバンテG/スーパールーセント/エクシードG/エクシード/ルラーンG/ルラーンS,1996/09～2000/09,109287,,261575,GST80-D1SS1-qq-e-0597,GST80-D1SS1-qq-e-d-0597,4562100937809,GST80-D1SS1,TEIN,SUPER DRIFT,2500,FR,クルーズコントロール装着車は適合未確認,有,可,○/○,○/○,ピロボールアッパーマウント付属/ピロボールアッパーマウント付属,-50/-50,-90～+0/-80～+14,-60～-40/-60～-40,14/8,200/225,φ65/φ65,ターボ車にて実車確認。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,175000,125300,
トヨタ,マークII/チェイサー/クレスタ,JZX90,ツアラーV/ツアラーS/グランデ/グランデG/アバンテ/アバンテG/スーパールーセント/スーパールーセントG,1992/10～1996/08,109287,,261576,GST80-D1SS1-qq-e-0598,GST80-D1SS1-qq-e-d-0598,4562100937809,GST80-D1SS1,TEIN,SUPER DRIFT,2500,FR,クルーズコントロール装着車は適合未確認,有,可,○/○,○/○,ピロボールアッパーマウント付属/ピロボールアッパーマウント付属,-50/-50,-110～+30/-80～+14,-60～-40/-60～-40,14/8,200/225,φ65/φ65,ターボ車にて実車確認。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,175000,125300,
日産,180SX,RPS13,タイプI/タイプII/タイプIII/タイプG/タイプR/タイプX/タイプS,1991/01～1999/02,113553,,261382,GSN20-D1SS1-qq-e-0599,GSN20-D1SS1-qq-e-d-0599,4562100937779,GSN20-D1SS1,TEIN,SUPER DRIFT,2000,FR,,有,可,○/○,○/○,キャンバー調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-20,-91～+17/-111～+30,-50～-30/-30～-10,10/8,175/225,φ65/φ65,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,182000,129700,
日産,シルビア,PS13,J'S/Q'S/K'S,1991/01～1993/10,113553,,261383,GSN20-D1SS1-qq-e-0600,GSN20-D1SS1-qq-e-d-0600,4562100937779,GSN20-D1SS1,TEIN,SUPER DRIFT,2000,FR,,有,可,○/○,○/○,キャンバー調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-20,-91～+17/-111～+30,-50～-30/-30～-10,10/8,175/225,φ65/φ65,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,182000,129700,
日産,シルビア,S14,J'S/Q'S/K'S,1993/10～1998/12,113553,,261392,GSN66-D1SS1-qq-e-0601,GSN66-D1SS1-qq-e-d-0601,4562100937786,GSN66-D1SS1,TEIN,SUPER DRIFT,2000,FR,,有,可,○/○,○/○,キャンバー調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-60/-25,-130～+34/-162～-1,-70～-50/-35～-15,10/8,175/200,φ65/φ65,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,182000,129700,
日産,シルビア,S15,スペックR/スペックS,1999/01～2002/08,113553,,261389,GSN52-D1SS1-qq-e-0602,GSN52-D1SS1-qq-e-d-0602,4562100937793,GSN52-D1SS1,TEIN,SUPER DRIFT,2000,FR,,有,可,○/○,○/○,キャンバー調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-25/-20,-102～+42/-176～-10,-35～-15/-30～-10,10/8,175/200,φ65/φ65,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,182000,129700,
