自動車メーカー,車種,型式,グレード,年式,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,エンジン,駆動方式,適合詳細,スプリング付属,EDFC対応,減衰力調整(F/R),全長調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),車高調整範囲純正比 mm(F/R)最大:下限～上限,車高調整範囲純正比 mm(F/R)推奨:下限～上限,スプリングレート Kgf/mm(F/R),自由長 mm(F/R),内径 mm(F/R),備考,注意事項,定価,SET価格,取付特記事項
トヨタ,ランドクルーザー,URJ202W,GX/AX,2009/04～,111350,,262692,VSC90-F1SS2-qq-e-55k,出さない,4589533461244,VSC90-F1SS2,TEIN,4X4 DAMPER SPORT,4600,4WD,AHC装着車は取付不可<br>5人乗り車両は適合未確認,有,エクステンションキットで対応,○/○,-/-,純正マウント/純正マウント,+40/+40,-35～+50/-,+30～+50/-,9/3.8,370/444,, KDSS装着車は油圧システムの再調整が必要。<br>リアは車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,131000,出さない,
トヨタ,ランドクルーザープラド,GRJ120W,TX,2005/07～2009/08,107100,,262690,VSTF4-F1SS2-qq-e-54k,VSTF4-F1SS2-qq-e-d-54k,4589533461428,VSTF4-F1SS2,TEIN,4X4 DAMPER SPORT,4000,4WD,,有,不可,○/○,-/-,純正マウント/純正マウント,+40/+40,-10～+67/-,+30～+50/-,10.5/4.5,365/420,,リアは車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,126000,123300,KDSS装着車は作業対応不可
トヨタ,ランドクルーザープラド,GRJ150W,TX/TZ,2009/09～2015/05,107100,,262691,VSTG0-F1SS2-qq-e-56k,VSTG0-F1SS2-qq-e-d-56k,4589533461251,VSTG0-F1SS2,TEIN,4X4 DAMPER SPORT,4000,4WD,,有,不可,○/○,-/-,純正マウント/純正マウント,+40/+40,-31～+50/-,+30～+50/-,10.5/4.5,365/388,,リアは車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,126000,123300,KDSS装着車は作業対応不可
