自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
MINI,MINI,F55,2014/10～,2WD,5ドア(電子制御式ダンパー付き車除く) クーパー/クーパーS/クーパーD/クーパーSD/ONE,Fr：615mm～660mm<br>Rr：608mm～647mm,89800,,296106,01011234004-qq-25k,01011234004-qq-d-25k,Largus,Spec S I,マウントレス|マウントレス,6k|5k,615mm～660mm|608mm～647mm,-43mm～+2mm|-45mm～-6mm,32段階調整,専用5mmホイールスペーサー(フロント用)付属<br>車高調整範囲とダウン量はF56のデータ,,89800,114800,,,20200701追加
MINI,MINI,F56,2014/04～,2WD,3ドア(電子制御式ダンパー付き車除く) クーパー/クーパーS/クーパーD/クーパーSD/ONE/JCW,Fr：615mm～660mm<br>Rr：608mm～647mm,89800,,248538,01011234004-qq-29,01011234004-qq-d-65,Largus,Spec S I,マウントレス|マウントレス,6k|5k,615mm～660mm|608mm～647mm,-43mm～+2mm|-45mm～-6mm,32段階調整,専用5mmホイールスペーサー(フロント用)付属,,89800,114800,,,20191023初期
MINI,MINI,F57,2016/03～,2WD,コンバーチブル(電子制御式ダンパー付き車除く) クーパー/クーパーS/JCW,Fr：615mm～660mm<br>Rr：608mm～647mm,89800,,296107,01011234004-qq-26k,01011234004-qq-d-26k,Largus,Spec S I,マウントレス|マウントレス,6k|5k,615mm～660mm|608mm～647mm,-43mm～+2mm|-45mm～-6mm,32段階調整,専用5mmホイールスペーサー(フロント用)付属<br>車高調整範囲とダウン量はF56のデータ,,89800,114800,,,20200701追加
MINI,MINI,R50/R52/R53,2001/10～2008/10,2WD,クーパー/ONE,Fr：600mm～695mm<br>Rr：600mm～660mm,94800,,248747,01011234001-qq-30,01011234001-qq-d-66,Largus,Spec S I,調整式ピロ|マウントレス,6k|5k,600mm～695mm|600mm～660mm,,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm×2本付属,,94800,119800,,,20191023初期
MINI,MINI,R55/R56/R57,2007/02～,2WD,,Fr：610mm～680mm<br>Rr：610mm～670mm,94800,,248748,01011234002-qq-31,01011234002-qq-d-67,Largus,Spec S I,調整式ピロ|マウントレス,6k|5k,610mm～680mm|610mm～670mm,,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm×2本付属,,94800,119800,,,20191023初期
MINI,MINI,R60,2011/01～,2WD,,Fr：629mm～710mm<br>Rr：650mm～754mm,89800,,248300,01011234003-qq-32,01011234003-qq-d-68,Largus,Spec S I,固定式強化ゴム|マウントレス,7k|8k,629mm～710mm|650mm～754mm,,32段階調整,,,89800,114800,,,20191023初期
PEUGEOT,207,A7,2007/03～,2WD,,Fr：598mm～666mm<br>Rr：627mm～660mm,95800,,248749,01011236001-qq-940,01011236001-qq-d-69,Largus,Spec S I,マウントレス|マウントレス,6k|3k,598mm～666mm|627mm～660mm,-68mm～0mm|-64mm～-31mm,32段階調整,,,95800,120800,,,20191023初期
PEUGEOT,208,A9,2012/11～,2WD,フロントストラット径:47mm専用(要車輌確認),Fr：568mm～624mm<br>Rr：604mm～635mm,89800,,248750,01011236003-qq-941,01011236003-qq-d-70,Largus,Spec S I,マウントレス|マウントレス,7k|4k,568mm～624mm|604mm～635mm,-73mm～-17mm|-56mm～-25mm,32段階調整,,,89800,114800,,,20191023初期
PEUGEOT,308,T7,2008/08～,2WD,,Fr：620mm～697mm<br>Rr：625mm～664mm,89800,,248301,01011236002-qq-944,01011236002-qq-d-71,Largus,Spec S I,マウントレス|マウントレス,6k|4k,620mm～697mm|625mm～664mm,-69mm～+8mm|-59mm～-20mm,32段階調整,,,89800,114800,,,20191023初期
PEUGEOT,RCZ,T7R,2010/07～,2WD,,Fr：648mm～726mm<br>Rr：665mm～707mm,89800,,248751,01011236004-qq-61,01011236004-qq-d-72,Largus,Spec S I,マウントレス|マウントレス,6k|6k,648mm～726mm|665mm～707mm,-32mm～+46mm|-49mm～-7mm,32段階調整,,,89800,114800,,,20191023初期
PORSCHE,911カレラ,997MA102,2008/07～2012/05,2WD,PASM車除く,Fr：622mm～687mm<br>Rr：642mm～730mm,104800,,248302,01011237001-qq-959,01011237001-qq-d-73,Largus,Spec S I,マウントレス|固定式強化ゴム,4.5k|8k,622mm～687mm|642mm～730mm,-68mm～-3mm|-68mm～+20mm,32段階調整,,,104800,154800,,,20191023初期
PORSCHE,カイエン,92A,2011/01～,4WD,,Fr：707mm～818mm<br>Rr：742mm～825mm,110800,,248303,01011237002-qq-288,01011237002-qq-d-74,Largus,Spec S I,固定式ピロ|マウントレス,18k|12k,707mm～818mm|742mm～825mm,-93mm～+18mm|-84mm～-1mm,32段階調整,減衰調整時、車高調取り外しが必要,,110800,160800,,,20191023初期
PORSCHE,ケイマン,987,2006/01～2012/12,2WD,PASM車取り付け可能(但し機能は使用不可),Fr：632mm～688mm<br>Rr：653mm～722mm,95800,,248752,01011237003-qq-1,01011237003-qq-d-1,Largus,Spec S I,マウントレス|マウントレス,4k|6k,632mm～688mm|653mm～722mm,-45mm～+11mm|-60mm～+9mm,32段階調整,車輌により警告灯が付く場合あり,,95800,145800,,,20191023初期
RENAULT,メガーヌ,DZF4R,,2WD,,Fr：624mm～690mm<br>Rr：635mm～673mm,99800,,248753,01011238001-qq-1,01011238001-qq-d-1,Largus,Spec S I,調整式ピロ|マウントレス,10k|7k,624mm～690mm|635mm～673mm,-62mm～+4mm|-53mm～-15mm,32段階調整,,,99800,129800,,,20191023初期
VOLKSWAGEN,アップ!,AA,2012/10～,2WD,,Fr：584mm～627mm<br>Rr：608mm～647mm,95800,,248758,01011242009-qq-19,01011242009-qq-d-19,Largus,Spec S I,マウントレス|マウントレス,5k|3k,584mm～627mm|608mm～647mm,-37mm～+6mm|-54mm～-15mm,32段階調整,,,95800,120800,,,20191023初期
VOLKSWAGEN,ゴルフ4,1J,1998/08～2004/06,2WD,4-Motion装着不可,Fr：604mm～672mm<br>Rr：640mm～675mm,87800,,248807,01011242002-qq-22,01011242002-qq-d-22,Largus,Spec S I,マウントレス|マウントレス,6k|5k,604mm～672mm|640mm～675mm,,32段階調整,,,87800,112800,,,20191023初期
VOLKSWAGEN,ゴルフ5,1K,2006/06～2009/10,2WD,フロントストラット径:55mm専用<br>4-Motion装着不可,Fr：603mm～667mm<br>Rr：601mm～652mm,94800,,248541,01011242001-qq-24,01011242001-qq-d-24,Largus,Spec S I,調整式ピロ|マウントレス,7k|6k,603mm～667mm|601mm～652mm,,32段階調整,,,94800,119800,,,20191023初期
VOLKSWAGEN,ゴルフ5/6 ヴァリアント,1K,ゴルフ5:2007/11～2009/10<br>ゴルフ6:2009/10～2014/01,2WD,フロントストラット径:55mm専用,Fr：610mm～692mm<br>Rr：596mm～654mm,99800,,248757,01011242007-qq-23,01011242007-qq-d-23,Largus,Spec S I,調整式ピロ|マウントレス,10k|6k,610mm～692mm|596mm～654mm,-53mm～+29mm|-81mm～-23mm,32段階調整,,,99800,124800,,,20191023初期
VOLKSWAGEN,ゴルフ6,1K,2009/04～2013/05,2WD,フロントストラット径:55mm専用<br>4-Motion装着不可<br>DCC付車輌装着不可,Fr：609mm～688mm<br>Rr：610mm～669mm,94800,,248307,01011242001-qq-14,01011242001-qq-d-14,Largus,Spec S I,調整式ピロ|マウントレス,7k|6k,609mm～688mm|610mm～669mm,,32段階調整,,,94800,119800,,,20191023初期
VOLKSWAGEN,ゴルフ7,AU,2013/06～,2WD,フロントストラット径:50mm専用<br>リアトーションビーム/リアマルチリンク共通<br>GTI/GTD/R取り付け不可<br>4-Motion・DCC付車輌装着不可,Fr：602mm～662mm<br>Rr：612mm～667mm,99800,,248756,01011242006-qq-88,01011242006-qq-d-866,Largus,Spec S I,調整式ピロ|マウントレス,7k|6k,602mm～662mm|612mm～667mm,-70mm～-10mm|-81mm～-26mm,32段階調整,,,99800,124800,,,20191023初期
VOLKSWAGEN,ゴルフ7,AU,2013/06～,2WD,フロントストラット径:55mm専用<br>リアトーションビーム/リアマルチリンク共通<br>GTI/GTD/R取り付け不可<br>4-Motion・DCC付車輌装着不可,Fr：602mm～662mm<br>Rr：612mm～667mm,99800,,248308,01011242011-qq-85,01011242011-qq-d-867,Largus,Spec S I,調整式ピロ|マウントレス,7k|6k,602mm～662mm|612mm～667mm,-70mm～-10mm|-81mm～-26mm,32段階調整,,,99800,124800,,,20191023初期
VOLKSWAGEN,ゴルフGTI,AUCHH,2013/09～,2WD,フロントストラット径:55mm<br>リアマルチリンク車専用<br>4-Motion(4WD)車装着不可<br>DCC付車装着不可,Fr：595mm～665mm<br>Rr：626mm～661mm,99800,,248545,01011242011-qq-1k,01011242011-qq-d-1k,Largus,Spec S I,調整式ピロ|マウントレス,7k|6k,595mm～665mm|626mm～661mm,-70mm～0mm|-50mm～-15mm,32段階調整,,,99800,124800,,,20191023初期
VOLKSWAGEN,ゴルフトゥーラン,1TCTH,2004/04～2016/01,2WD,,Fr：613mm～695mm<br>Rr：632mm～687mm,94800,,248760,01011242012-qq-1,01011242012-qq-d-1,Largus,Spec S I,固定式強化ゴム|マウントレス,9k|6k,613mm～695mm|632mm～687mm,-74mm～+8mm|-78mm～-5mm,32段階調整,,,94800,129800,,,20191023初期
VOLKSWAGEN,ザ・ビートル,16C,2012/04～,2WD,フロントストラット径:50mm専用<br>カブリオレ装着不可,Fr：648mm～690mm<br>Rr：677mm～714mm,99800,,248544,01011242008-qq-18,01011242008-qq-d-18,Largus,Spec S I,調整式ピロ|マウントレス,10k|6k,648mm～690mm|677mm～714mm,-39mm～+3mm|-45mm～-8mm,32段階調整,,,99800,124800,,,20191023初期
VOLKSWAGEN,ニュービートル,9C,1999/09～2010/11,2WD,4-Motion装着不可,Fr：601mm～666mm<br>Rr：641mm～676mm,87800,,248542,01011242002-qq-20,01011242002-qq-d-20,Largus,Spec S I,マウントレス|マウントレス,6k|5k,601mm～666mm|641mm～676mm,,32段階調整,,,87800,112800,,,20191023初期
VOLKSWAGEN,パサートヴァリアント,3B,1998/04～2006/04,4WD,4-Motion車輌専用,Fr：611mm～674mm<br>Rr：617mm～707mm,90800,,248759,01011242010-qq-89,01011242010-qq-d-868,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,14k|14K,611mm～674mm|617mm～707mm,-61mm～+2mm|-76mm～+14mm,F:30段階/R:32段階,,,90800,115800,,,20191023初期
VOLKSWAGEN,ポロ4,9N,2002/05～2009/10,2WD,,Fr：573mm～630mm<br>Rr：595mm～627mm,92800,,248808,01011242004-qq-15,01011242004-qq-d-15,Largus,Spec S I,固定式強化ゴム|マウントレス,6k|4k,573mm～630mm|595mm～627mm,-40mm～+17mm|-49mm～-17mm,32段階調整,,,92800,117800,,,20191023初期
VOLKSWAGEN,ポロ5,6R,2009/10～,2WD,,Fr：585mm～654mm<br>Rr：604mm～657mm,90800,,248543,01011242003-qq-21,01011242003-qq-d-21,Largus,Spec S I,マウントレス|マウントレス,5k|3k,585mm～654mm|604mm～657mm,,32段階調整,,,90800,115800,,,20191023初期
VOLKSWAGEN,ルポ,6X/6E,2001/07～2006/04,2WD,,Fr：528mm～622mm<br>Rr：573mm～607mm,92800,,248755,01011242005-qq-16,01011242005-qq-d-16,Largus,Spec S I,マウントレス|マウントレス,5k|3k,528mm～622mm|573mm～607mm,,32段階調整,,,92800,117800,,,20191023初期
VOLVO,S40,MB5254/MB5244/MB4204S,2004/05～,2WD,,,99800,,248304,01011241002-qq-67,01011241002-qq-d-869,Largus,Spec S I,調整式ピロ|固定式強化ゴム,7k|5k,,,32段階調整,,,99800,134800,,,20191023初期
VOLVO,S60,RB5244/RB5244T/RB5234/RB5254,2001/01～2009/05,2WD,,Fr：620mm～700mm<br>Rr：640mm～675mm,94800,,248754,01011241001-qq-68,01011241001-qq-d-870,Largus,Spec S I,調整式ピロ|マウントレス,5k|10k,620mm～700mm|640mm～675mm,,32段階調整,,,94800,129800,,,20191023初期
VOLVO,V40,4B,1997/10～2004/04,2WD,,Fr：594mm～658mm<br>Rr：570mm～653mm,102800,,248540,01011241005-qq-80,01011241005-qq-d-871,Largus,Spec S I,調整式ピロ|固定式ピロ,8k|6k,594mm～658mm|570mm～653mm,-57mm～-7mm|-82mm～+1mm,32段階調整,,,102800,137800,,,20191023初期
VOLVO,V40,MB4,2013/02～,2WD,,Fr：645mm～690mm<br>Rr：603mm～665mm,92800,,248539,01011241004-qq-81,01011241004-qq-d-872,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,8k|4k,645mm～690mm|603mm～665mm,-25mm～+20mm|-92mm～-30mm,32段階調整,,,92800,127800,,,20191023初期
VOLVO,V50,MB5254/MB5244/MB4204S,2004/05～,2WD,,Fr：620mm～671mm<br>Rr：622mm～671mm,99800,,248305,01011241002-qq-82,01011241002-qq-d-873,Largus,Spec S I,調整式ピロ|固定式強化ゴム,7k|5k,620mm～671mm|622mm～671mm,,32段階調整,,,99800,134800,,,20191023初期
VOLVO,V70,BB型,2007/11～,2WD,,Fr：636mm～693mm<br>Rr：642mm～692mm,94800,,248306,01011241006-qq-83,01011241006-qq-d-874,Largus,Spec S I,マウントレス|固定式強化ゴム,7k|8k,636mm～693mm|642mm～692mm,-50mm～+7mm|-71mm～-21mm,32段階調整,,,94800,129800,,,20191023初期
VOLVO,V70,SB5244W/SB5244T/SB5234/SB5254W,2000/04～2008/03,2WD,,Fr：600mm～687mm<br>Rr：630mm～663mm,94800,,248806,01011241001-qq-84,01011241001-qq-d-875,Largus,Spec S I,調整式ピロ|マウントレス,5k|10k,600mm～687mm|630mm～663mm,,32段階調整,,,94800,129800,,,20191023初期
