自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
スバル,XV,GP7,,4WD,,Fr：657mm～747mm<br>Rr：675mm～741mm,83000,,248321,01011202014-qq-103,01011202014-qq-d-227,Largus,Spec S,調整式ピロ|固定式強化ゴム,10k|6k,657mm～747mm|675mm～741mm,-93mm～-3mm|-89mm～-23mm,32段階調整,,,83000,98000,,,20191023初期
スバル,XVハイブリッド,GPE,,4WD,,Fr：655mm～744mm<br>Rr：670mm～737mm,83000,,248553,01011202014-qq-104,01011202014-qq-d-228,Largus,Spec S,調整式ピロ|固定式強化ゴム,10k|6k,655mm～744mm|670mm～737mm,-90mm～-1mm|-85mm～-18mm,32段階調整,,,83000,98000,,,20191023初期
スバル,インプレッサ,GC8,,4WD,,Fr：605mm～650mm<br>Rr：614mm～662mm,80000,,248552,01011202010-qq-195,01011202010-qq-d-315,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|5k,605mm～650mm|614mm～662mm,,32段階調整,,,80000,95000,,,20191023初期
スバル,インプレッサ,GDA/GDB,,4WD,GDB:A～D型,Fr：610mm～700mm<br>Rr：605mm～680mm,84000,,248547,01011202002-qq-197,01011202002-qq-d-317,Largus,Spec S,調整式ピロ|固定式ピロ,6k|4k,610mm～700mm|605mm～680mm,,32段階調整,,,84000,99000,,,20191023初期
スバル,インプレッサ,GDB,,4WD,E型～,Fr：665mm～750mm<br>Rr：655mm～680mm,84000,,248762,01011202001-qq-198,01011202001-qq-d-318,Largus,Spec S,調整式ピロ|固定式ピロ,6k|4k,665mm～750mm|655mm～680mm,,32段階調整,,,84000,99000,,,20191023初期
スバル,インプレッサ,GH2/GH6,,2WD,,Fr：631mm～714mm<br>Rr：642mm～703mm,84000,,248089,01011202005-qq-199,01011202005-qq-d-319,Largus,Spec S,調整式ピロ|固定式ピロ,6k|8k,631mm～714mm|642mm～703mm,,32段階調整,,,84000,99000,,,20191023初期
スバル,インプレッサ,GH8,,4WD,,Fr：630mm～715mm<br>Rr：630mm～700mm,84000,,248548,01011202005-qq-200,01011202005-qq-d-320,Largus,Spec S,調整式ピロ|固定式ピロ,6k|8k,630mm～715mm|630mm～700mm,,32段階調整,,,84000,99000,,,20191023初期
スバル,インプレッサ,GJ2/GJ3/GJ6/GJ7,,4WD,,Fr：613mm～723mm<br>Rr：618mm～685mm,80000,,248318,01011202012-qq-201,01011202012-qq-d-321,Largus,Spec S,調整式ピロ|固定式強化ゴム,6k|6k,613mm～723mm|618mm～685mm,-69mm～+41mm|-55mm～+12mm,32段階調整,,,80000,95000,,,20191023初期
スバル,インプレッサ,GRB/GVB/GVF,,4WD,,Fr：635mm～715mm<br>Rr：635mm～705mm,84000,,248311,01011202004-qq-202,01011202004-qq-d-322,Largus,Spec S,調整式ピロ|固定式ピロ,8k|8k,635mm～715mm|635mm～705mm,,32段階調整,,,84000,99000,,,20191023初期
スバル,インプレッサスポーツ,GT7,,4WD,,Fr：630mm～691mm<br>Rr：631mm～713mm,73000,,248322,01011202016-qq-10,01011202016-qq-d-10,Largus,Spec S,固定式強化ゴム|固定式強化ゴム,7k|6k,630mm～691mm|631mm～713mm,-57mm～+4mm|-66mm～+16mm,32段階調整,,,73000,88000,,,20191023初期
スバル,インプレッサスポーツハイブリッド,GPE,2015/07～2016/10,4WD,,Fr：625mm～702mm<br>Rr：627mm～706mm,73000,,248092,01011202017-qq-1k,01011202017-qq-d-1k,Largus,Spec S,固定式強化ゴム|固定式強化ゴム,9k|6k,625mm～702mm|627mm～706mm,-82mm～-5mm|-75mm～+4mm,32段階調整,車高調整を行う場合はショック下のボルト、ナットを緩めてから調整する必要あり<br>減衰ダイヤルとサービスホールパネルが干渉する為、減衰ダイヤルを取り外すまたは一部カット加工が必要,,73000,88000,,,20191023初期
スバル,エクシーガ,YA4,,2WD,,Fr：605mm～720mm<br>Rr：635mm～690mm,84000,,248549,01011202005-qq-233,01011202005-qq-d-353,Largus,Spec S,調整式ピロ|固定式ピロ,6k|8k,605mm～720mm|635mm～690mm,-90mm～+25mm|-65mm～-10mm,32段階調整,ピロアッパー仕様,,84000,99000,,,20191023初期
スバル,エクシーガ,YA5/YA9,,4WD,,Fr：625mm～710mm<br>Rr：640mm～700mm,84000,,248312,01011202005-qq-234,01011202005-qq-d-354,Largus,Spec S,調整式ピロ|固定式ピロ,6k|8k,625mm～710mm|640mm～700mm,-65mm～+20mm|-75mm～-15mm,32段階調整,ピロアッパー仕様,,84000,99000,,,20191023初期
スバル,ジャスティ,M900F,2016/11～,2WD,,Fr：558mm～643mm<br>Rr：574mm～641mm,77000,,248697,01011209105-qq-8k,01011209105-qq-d-8k,Largus,Spec S,固定式強化ゴム|マウントレス,4k|4k,558mm～643mm|574mm～641mm,-81mm～+4mm|-76mm～-9mm,32段階調整,車高調整範囲とダウン量はTOYOTAタンクのデータ,,77000,92000,,,20191023初期
スバル,トレジア,NCP120X/NSP120X,,2WD,,Fr：608mm～670mm<br>Rr：612mm～653mm,75000,,248667,01011209053-qq-505,01011209053-qq-d-617,Largus,Spec S,マウントレス|マウントレス,5k|2.5k,608mm～670mm|612mm～653mm,-57mm～+5mm|-58mm～-17mm,32段階調整,,,75000,90000,,,20191023初期
スバル,フォレスター,SF5,,4WD,,Fr：642mm～750mm<br>Rr：605mm～805mm,83000,,248090,01011202007-qq-558,01011202007-qq-d-670,Largus,Spec S,調整式ピロ|固定式強化ゴム,8k|6k,642mm～750mm|605mm～805mm,,32段階調整,,,83000,98000,,,20191023初期
スバル,フォレスター,SG5/SG9,,4WD,,Fr：632mm～715mm<br>Rr：610mm～692mm,84000,,248309,01011202002-qq-560,01011202002-qq-d-672,Largus,Spec S,調整式ピロ|固定式ピロ,6k|4k,632mm～715mm|610mm～692mm,,32段階調整,,,84000,99000,,,20191023初期
スバル,フォレスター,SH5,,4WD,,Fr：670mm～765mm<br>Rr：675mm～740mm,83000,,248551,01011202008-qq-561,01011202008-qq-d-673,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|7k,670mm～765mm|675mm～740mm,,32段階調整,,,83000,98000,,,20191023初期
スバル,フォレスター,SJ5/SJG,,4WD,,Fr：675mm～760mm<br>Rr：690mm～750mm,83000,,248314,01011202008-qq-562,01011202008-qq-d-674,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|7k,675mm～760mm|690mm～750mm,,32段階調整,,,83000,98000,,,20191023初期
スバル,フォレスター,SK9/SKE,SK9:2018/07～<br>SKE:2018/09～,4WD,,Fr：701mm～768mm<br>Rr：735mm～792mm,73000,,248323,01011202018-qq-1k,01011202018-qq-d-1k,Largus,Spec S,固定式強化ゴム|固定式強化ゴム,5k|6k,701mm～768mm|735mm～792mm,-61mm～+6mm|-57mm～0mm,32段階調整,リヤショック上部(減衰ダイヤル)がサービスホールパネルと干渉する為、パネルを取り付ける場合は穴あけ加工か減衰ダイヤルを外して装着する必要あり,,73000,88000,,,20191023初期
スバル,レヴォーグ,VM4,,4WD,,Fr：598mm～702mm<br>Rr：626mm～690mm,80000,,248320,01011202013-qq-718,01011202013-qq-d-827,Largus,Spec S,調整式ピロ|固定式強化ゴム,8k|6k,598mm～702mm|626mm～690mm,-67mm～+37mm|-55mm～+9mm,32段階調整,,,80000,95000,,,20191023初期
スバル,レヴォーグ,VMG,,4WD,,Fr：611mm～717mm<br>Rr：633mm～697mm,80000,,248764,01011202013-qq-719,01011202013-qq-d-828,Largus,Spec S,調整式ピロ|固定式強化ゴム,8k|6k,611mm～717mm|633mm～697mm,-74mm～+32mm|-61mm～+3mm,32段階調整,,,80000,95000,,,20191023初期
スバル,レガシィ,BD5,,4WD,,,83000,,248313,01011202006-qq-720,01011202006-qq-d-829,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|5k,,,32段階調整,,,83000,98000,,,20191023初期
スバル,レガシィB4,BE5/BE9/BEE,,4WD,,Fr：606mm～694mm<br>Rr：613mm～666mm,80000,,248316,01011202011-qq-721,01011202011-qq-d-830,Largus,Spec S,調整式ピロ|固定式強化ゴム,8k|8k,606mm～694mm|613mm～666mm,,32段階調整,,,80000,95000,,,20191023初期
スバル,レガシィB4,BL5/BL9/BLE,,4WD,,Fr：617mm～733mm<br>Rr：620mm～687mm,84000,,248310,01011202003-qq-724,01011202003-qq-d-833,Largus,Spec S,調整式ピロ|固定式ピロ,6k|8k,617mm～733mm|620mm～687mm,,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm×2本付属,,84000,99000,,,20191023初期
