自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
トヨタ,86,ZN6,2012/04～,,,80500,,306000,HS-T60S-qq-e-1,HS-T60S-qq-e-d-1,HS-T60S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):150/150,6(8・10)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア:内装カットが必要,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,アリスト,JZS147,1991/10～1997/08,,,80500,,305995,HS-T18DT-qq-e-2,HS-T18DT-qq-e-d-2,HS-T18DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,14(12・16・18)/10(8・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,アリスト,JZS161,1997/08～2004/12,,,80500,,305992,HS-T03S-qq-e-65k,HS-T03S-qq-e-d-65k,HS-T03S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,14(12・16・18)/10(8・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,アルテッツァ,SXE10,1998/10～2005/07,,,80500,,305991,HS-T02DT-qq-e-4,HS-T02DT-qq-e-d-4,HS-T02DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,12(10・14・16)/10(8・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,ヴェロッサ,JZX110,2001/07～2004/04,,,80500,,305997,HS-T28DT-qq-e-5,HS-T28DT-qq-e-d-5,HS-T28DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,12(10・14・16)/10(8・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,クラウン,GRS18#,2003/12～2008/03,4WD適合不可,,80500,,305998,HS-T40S-qq-e-11,HS-T40S-qq-e-d-11,HS-T40S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,16(14・18・20)/14(12・16・18)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,AVS機能はカットされます。,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,クラウン,GRS20#,2008/04～2012/04,4WD適合不可,,80500,,305999,HS-T40S-qq-e-12,HS-T40S-qq-e-d-12,HS-T40S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,16(14・18・20)/14(12・16・18)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア減衰力調整用の穴加工(トランク内装)が必要となります。<br>AVS機能はカットされます。,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,マークII,JZX110,2000/10～2004/11,,,80500,,305996,HS-T28DT-qq-e-10,HS-T28DT-qq-e-d-10,HS-T28DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,12(10・14・16)/10(8・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,マークII/クレスタ/チェイサー,JZX100,1996/09～2001/10,,,80500,,305994,HS-T10S-qq-e-9,HS-T10S-qq-e-d-9,HS-T10S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,12(10・14・16)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
トヨタ,マークII/クレスタ/チェイサー,JZX90,1992/10～1996/09,,,80500,,305993,HS-T10S-qq-e-8,HS-T10S-qq-e-d-8,HS-T10S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,12(10・14・16)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,180SX,RS13/RPS13,1989/03～1999/01,,,80500,,305972,HS-N01S-qq-e-13,HS-N01S-qq-e-d-13,HS-N01S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
