自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
ホンダ,シビックタイプR,FD2,2007/03～2010/08,,,80500,,305958,HS-H19S-qq-e-37,HS-H19S-qq-e-d-37,HS-H19S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/-<br>内径 mm(F/R):65/109-65<br>自由長 mm(F/R):175/160,12(10・14・16)/8<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リアスプリング専用品の為変更不可,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,トルネオユーロR,CL1,2000/06～2002/10,,,80500,,305956,HS-H17S-qq-e-75k,HS-H17S-qq-e-d-75k,HS-H17S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,ビート,PP1,1991/05～1995/10,,,80500,,305962,HS-H33S-qq-e-39,HS-H33S-qq-e-d-39,HS-H33S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ピロボール<br>内径 mm(F/R):60/60<br>自由長 mm(F/R):150/180,4/6<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,フィット,GE6/GE8,2007/10～2013/09,,,80500,,305961,HS-H28S-qq-e-76k,HS-H28S-qq-e-d-76k,HS-H28S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):純正アッパー使用/純正アッパー使用<br>内径 mm(F/R):65/65-88<br>自由長 mm(F/R):175/200,6(8・10)/3.5<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア:内装のカット、もしくは取り外しが必要<br>リアスプリング専用品の為変更不可<br>受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
マツダ,RX-7,FC3S,1989/04～1992/10,,,80500,,305964,HS-MA01DT-qq-e-48,HS-MA01DT-qq-e-d-48,HS-MA01DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,10(8・12・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
マツダ,RX-7,FD3S,1991/12～2003/04,,,80500,,305965,HS-MA02DT-qq-e-49,HS-MA02DT-qq-e-d-49,HS-MA02DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/150,12(10・14・16)/12(10・14・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
マツダ,RX-8,SE3P,2003/04～2013/04,,,80500,,305966,HS-MA03DT-qq-e-50,HS-MA03DT-qq-e-d-50,HS-MA03DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/175,10(8・12・14)/10(8・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
マツダ,ロードスター,NA6CE/NA8C/NB6C/NB8C,1989/09～2005/08,,,80500,,305968,HS-MA05S-qq-e-51,HS-MA05S-qq-e-d-51,HS-MA05S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):175/125,10(8・12・14)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
マツダ,ロードスター,NCEC,2005/08～2015/05,,,80500,,305967,HS-MA04DT-qq-e-52,HS-MA04DT-qq-e-d-52,HS-MA04DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/175,10(8・12・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
マツダ,ロードスター,ND5RC,2015/05～,,,80500,,305969,HS-MA06DT-qq-e-53,HS-MA06DT-qq-e-d-53,HS-MA06DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,6(8・10)/4(6・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
三菱,ランサーエボリューションV/VI,CP9A,1998/01～2001/02,,,63000,,305971,HS-MI02S-qq-e-54,HS-MI02S-qq-e-d-54,HS-MI02S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,10(8・12・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,90000,76200
三菱,ランサーエボリューションVII/VIII/IX,CT9A,2001/02～2007/10,,,80500,,305970,HS-MI01S-qq-e-55,HS-MI01S-qq-e-d-55,HS-MI01S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,10(8・12・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
