自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
日産,スカイラインGT-R,BNR34,99/01～02/08,,,106400,,306048,PN017P-qq-e-13k,PN017P-qq-e-d-13k,PN017P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/10(8・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-40,-60～-40/-50～-30,,,152000,118400
ホンダ,S2000,AP1/AP2,99/04～09/09,,スプリングレス,98000,,306013,PH012P-SP-qq-e-46k,PH012P-SP-qq-e-d-46k,PH012P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(8・12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-30/-30,-40～-20/-40～-20,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
ホンダ,S2000,AP1/AP2,99/04～09/09,,,106400,,306012,PH012P-qq-e-14k,PH012P-qq-e-d-14k,PH012P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(8・12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-30/-30,-40～-20/-40～-20,,,152000,118400
ホンダ,アコード,CL7,02/10～08/12,,スプリングレス,98000,,306015,PH018P-SP-qq-e-47k,PH018P-SP-qq-e-d-47k,PH018P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-35,-55～-35/-45～-25,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
ホンダ,アコード,CL7,02/10～08/12,,,106400,,306014,PH018P-qq-e-15k,PH018P-qq-e-d-15k,PH018P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-35,-55～-35/-45～-25,,,152000,118400
ホンダ,インテグラ,DC2/DB8,93/05～01/07,,スプリングレス,95200,,306011,PH004P-SP-qq-e-48k,PH004P-SP-qq-e-d-48k,PH004P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-35/-35,-45～-25/-45～-25,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,136000,107500
ホンダ,インテグラ,DC2/DB8,93/05～01/07,,,103600,,306010,PH004P-qq-e-16k,PH004P-qq-e-d-16k,PH004P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-35/-35,-45～-25/-45～-25,,,148000,115700
ホンダ,シビック,EG6/EG9,91/09～95/09,,スプリングレス,95200,,306007,PH001P-SP-qq-e-49k,PH001P-SP-qq-e-d-49k,PH001P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(12・14)/6(8・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-35,-50～-30/-45～-25,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,136000,107500
ホンダ,シビック,EG6/EG9,91/09～95/09,,,103600,,306006,PH001P-qq-e-17k,PH001P-qq-e-d-17k,PH001P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(12・14)/6(8・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-35,-50～-30/-45～-25,,,148000,115700
ホンダ,シビック,EK4/EK9,95/09～00/09,,スプリングレス,95200,,306009,PH002P-SP-qq-e-50k,PH002P-SP-qq-e-d-50k,PH002P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(12・14)/6(8・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-30/-30,-40～-20/-40～-20,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,136000,107500
ホンダ,シビック,EK4/EK9,95/09～00/09,,,103600,,306008,PH002P-qq-e-18k,PH002P-qq-e-d-18k,PH002P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(12・14)/6(8・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-30/-30,-40～-20/-40～-20,,,148000,115700
ホンダ,シビック,FC1/FK7,17/09～,フロントナックルアーム差込口φ52車専用,スプリングレス,100800,,306021,PH025FP-SP-qq-e-53k,PH025FP-SP-qq-e-d-53k,PH025FP-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):65/65-56<br>自由長 mm(F/R):175/210,6(8・10)/3.7<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-6/-20,-66～-1/-39～5,リアスプリング荒巻専用品<br>リア純正スプリングラバーシート加工要,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,144000,113000
ホンダ,シビック,FC1/FK7,17/09～,フロントナックルアーム差込口φ52車専用,,109200,,306020,PH025FP-qq-e-21k,PH025FP-qq-e-d-21k,PH025FP,RACING GEAR,ZX DAMPER,内径 mm(F/R):65/65-56<br>自由長 mm(F/R):175/210,6(8・10)/3.7<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-6/-20,-66～-1/-39～5,リアスプリング荒巻専用品<br>リア純正スプリングラバーシート加工要,,156000,121100
ホンダ,シビックタイプR,FD2,07/03～,,スプリングレス,100800,,306017,PH021FP-SP-qq-e-51k,PH021FP-SP-qq-e-d-51k,PH021FP-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/65<br>自由長 mm(F/R):180/150,10(8・12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-15/-20,-25～-5/-30～-10,フロントのみピロアッパーマウント付<br>ストリート仕様,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,144000,113000
ホンダ,シビックタイプR,FD2,07/03～,,スプリングレス,100800,,306019,PH022FP-SP-qq-e-52k,PH022FP-SP-qq-e-d-52k,PH022FP-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/65<br>自由長 mm(F/R):180/125,16(14・18)/18(12・14・16・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-25/-30,-35～-15/-40～-20,フロントのみピロアッパーマウント付<br>サーキット仕様,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,144000,113000
ホンダ,シビックタイプR,FD2,07/03～,,,109200,,306016,PH021FP-qq-e-19k,PH021FP-qq-e-d-19k,PH021FP,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/65<br>自由長 mm(F/R):180/150,10(8・12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-15/-20,-25～-5/-30～-10,フロントのみピロアッパーマウント付<br>ストリート仕様,,156000,121100
ホンダ,シビックタイプR,FD2,07/03～,,,109200,,306018,PH022FP-qq-e-20k,PH022FP-qq-e-d-20k,PH022FP,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/65<br>自由長 mm(F/R):180/125,16(14・18)/18(12・14・16・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-25/-30,-35～-15/-40～-20,フロントのみピロアッパーマウント付<br>サーキット仕様,,156000,121100
マツダ,RX-7,FD3S,91/12～03/04,,スプリングレス,109200,,306065,PZ001P-SP-qq-e-57k,PZ001P-SP-qq-e-d-57k,PZ001P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(8・12・14・16)/8(10・12・14・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-30/-25,-40～-20/-35～-15,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,156000,121100
マツダ,RX-7,FD3S,91/12～03/04,,,117600,,306064,PZ001P-qq-e-25k,PZ001P-qq-e-d-25k,PZ001P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,10(8・12・14・16)/8(10・12・14・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-30/-25,-40～-20/-35～-15,,,168000,129300
