自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
トヨタ,クラウン,JZS171/JZS175,99/09～03/12,,スプリングレス,98000,,306059,PT018P-SP-qq-e-35k,PT018P-SP-qq-e-d-35k,PT018P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,16(14)/10(8・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-30,-50～-30/-40～-20,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
トヨタ,クラウン,JZS171/JZS175,99/09～03/12,,,106400,,306058,PT018P-qq-e-3k,PT018P-qq-e-d-3k,PT018P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,16(14)/10(8・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-30,-50～-30/-40～-20,,,152000,118400
トヨタ,マークII/ヴェロッサ,JZX110,00/10～04/11,,スプリングレス,98000,,306057,PT016P-SP-qq-e-37k,PT016P-SP-qq-e-d-37k,PT016P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,16(14)/10(12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-50,-60～-40/-60～-40,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
トヨタ,マークII/ヴェロッサ,JZX110,00/10～04/11,,,106400,,306056,PT016P-qq-e-5k,PT016P-qq-e-d-5k,PT016P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,16(14)/10(12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-50,-60～-40/-60～-40,,,152000,118400
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,92/10～00/10,,<div>タイプD</div><div>スプリングレス</div>,100800,,306051,PT006P-D-SP-qq-e-58k,PT006P-D-SP-qq-e-d-58k,PT006P-D-SP,RACING GEAR,ZX DAMPER タイプD スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,16(14)/12(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-50,-60～-40/-60～-40,リアピロフランジタイプ,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,144000,113000
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,92/10～00/10,,スプリングレス,98000,,306053,PT006P-SP-qq-e-36k,PT006P-SP-qq-e-d-36k,PT006P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,14(12・16)/8(10・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-40,-50～-30/-50～-30,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,92/10～00/10,,タイプD,114800,,306050,PT006P-D-qq-e-26k,PT006P-D-qq-e-d-26k,PT006P-D,RACING GEAR,ZX DAMPER タイプD,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,16(14)/12(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-50,-60～-40/-60～-40,リアピロフランジタイプ,,164000,126600
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,92/10～00/10,,,106400,,306052,PT006P-qq-e-4k,PT006P-qq-e-d-4k,PT006P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,14(12・16)/8(10・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-40,-50～-30/-50～-30,,,152000,118400
日産,シルビア,S14,93/10～99/01,,<div>タイプD</div><div>スプリングレス</div>,103600,,306027,PN002P-D-SP-qq-e-60k,PN002P-D-SP-qq-e-d-60k,PN002P-D-SP,RACING GEAR,ZX DAMPER タイプD スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(8)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-60/-55,-70～-50/-65～-45,フロントフランジキャンバー調整式,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,148000,115700
日産,シルビア,S14,93/10～99/01,,スプリングレス,103600,,306029,PN002P-SP-qq-e-39k,PN002P-SP-qq-e-d-39k,PN002P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,8(10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-40,-60～-40/-50～-30,フロントフランジキャンバー調整式,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,148000,115700
