自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,ハスラー,MR41S,2015/05～,4WD,660,ターボ,,Fr：+20～+30mm<br>Rr：+20～+30mm,17349,,266023,MR31S4WDUK-qq-e-f1-27,MR31S4WDUK-qq-e-d-27,4511478256173,MR31S4WDUK,TANABE,DEVIDE UP210,1台分,2.7/2.1,純正バンプカット不要,Jスタイル II,,,29000,32700,,
スズキ,ハスラー,MR41S,2015/05～,FF,660,NA,,Fr：+30～+40mm<br>Rr：+20～+30mm,17349,,266021,MR31SUK-qq-e-f1-1094,MR31SUK-qq-e-d-1094,4511478255909,MR31SUK,TANABE,DEVIDE UP210,1台分,2.7/2.3,純正バンプカット不要,GS-エネチャージ,純正消音チューブ再使用必要,,29000,32700
スバル,ディアスワゴン,S321N,2009/09～2017/10,FR,660,ターボ,,データなし,17349,,266257,S321GUK-qq-e-f1-29,S321GUK-qq-e-d-29,4511478256159,S321GUK,TANABE,DEVIDE UP210,1台分,3.7/4.1,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,29000,32700
ダイハツ,アトレーワゴン,S321G,2007/09～2017/10,FF,660,ターボ,,Fr：+20～+30mm<br>Rr：+15～+25mm,17349,,266105,S321GUK-qq-e-f1-1079,S321GUK-qq-e-d-1079,4511478256159,S321GUK,TANABE,DEVIDE UP210,1台分,3.7/4.1,純正バンプカット不要,カスタムターボRS,,,29000,32700
ダイハツ,キャストアクティバ,LA250S,2015/09～,FF,660,NA,アクティバ専用,Fr：+15～+25mm<br>Rr：+20～+30mm,17349,,266116,LA250SUK-qq-e-f1-1081,LA250SUK-qq-e-d-1081,4511478256166,LA250SUK,TANABE,DEVIDE UP210,1台分,2.1/2.5,純正バンプカット不要,アクティバGSA II,,,29000,32700
ダイハツ,キャストアクティバ,LA260S,2015/09～,4WD専用,660,NA,アクティバ専用,Fr：+15～+25mm<br>Rr：+20～+30mm,17349,,266119,LA260SUK-qq-e-f1-1080,LA260SUK-qq-e-d-1080,4511478256098,LA260SUK,TANABE,DEVIDE UP210,1台分,2.2/2.2,純正バンプカット不要,アクティバX,,,29000,32700
ダイハツ,ハイゼットカーゴ,S331V,2017/11～,4WD,660,NA,,Fr：+20～+30mm<br>Rr：+10～+20mm,17349,,266157,S331VUK-qq-e-f1-28,S331VUK-qq-e-d-28,4511478256685,S331VUK,TANABE,DEVIDE UP210,1台分,3.4/3.6,純正バンプカット不要,デラックスSA III ハイルーフ,,,29000,32700
ダイハツ,ロッキー,A200S,2019/11～,FF,1000,ターボ,,Fr：+25～+35mm<br>Rr：+25～+35mm,20319,,266225,A200SUK-qq-e-f1-211k,A200SUK-qq-e-d-211k,4511478257545,A200SUK,TANABE,DEVIDE UP210,1台分,2.4/2.3,純正バンプカット不要,プレミアム,,,34000,35800
ダイハツ,ロッキー,A210S,2019/11～,4WD,1000,ターボ,,データなし,20319,,266227,A210AUK-qq-e-f1-212k,A210AUK-qq-e-d-212k,4511478257507,A210AUK,TANABE,DEVIDE UP210,1台分,2.3/3.4,,現車未確認,未計測の為、車高データなし,,34000,35800
トヨタ,C-HR,NGX10,2018/05～,FF,1200,ターボ,,Fr：+25～+35mm<br>Rr：+15～+35mm,27100,,265492,NGX10UK-qq-e-f1-194k,NGX10UK-qq-e-d-194k,4511478256951,NGX10UK,TANABE,DEVIDE UP210,1台分,2.5/3.2,純正バンプカット不要,S-T,,,46000,43100
トヨタ,C-HR,NGX50,2016/12～,4WD,1200,ターボ,,Fr：+30～+40mm<br>Rr：+10～+20mm,25970,,265490,NGX50UK-qq-e-f1-6,NGX50UK-qq-e-d-6,4511478256401,NGX50UK,TANABE,DEVIDE UP210,1台分,3.1/3.3,純正バンプカット不要,S-T,,,44000,41900
トヨタ,C-HR,ZYX10,2016/12～2019/10,FF,1800,ハイブリッド,,Fr：+25～+35mm<br>Rr：+25～+35mm,25970,,265488,ZYX10UK-qq-e-f1-5,ZYX10UK-qq-e-d-5,4511478256340,ZYX10UK,TANABE,DEVIDE UP210,1台分,2.5/3.3,純正バンプカット不要,S,,,44000,41900
