自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,車高調整幅,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,推奨車高 mm(F/R),バネレート kg/mm(F/R),仕様,フロントキャンバー調整,マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,エブリイ,DA64V,2008/04～2015/02,FR(4WD共通),660,NA,4型～6型全車,データなし,60346,,264563,CRDA64WMCK-qq-e-f1-84k,CRDA64WMCK-qq-e-d-84k,4511478354114,CRDA64WMCK,TANABE,SUSTEC PRO CR,データなし,3.0/4.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,エブリイワゴン,DA17W,2015/02～2019/06,FR,660,ターボ,,Fr：-20～-50mm<br>Rr：-17～-53mm,60346,,264564,CRDA17WK-qq-e-f1-85k,CRDA17WK-qq-e-d-85k,4511478356439,CRDA17WK,TANABE,SUSTEC PRO CR,-31/-38,3.0/4.0,減衰力固定式<br>ネジ式,不可,PZターボSP(MC前),フロント/リア共に純正アッパーマウント使用,,79800,74900,,
スズキ,エブリイワゴン,DA17W,2019/06～,FR,660,ターボ,,Fr：-13～-45mm<br>Rr：-22～-51mm,60346,,265048,CRDA17WK-qq-e-f1-580k,CRDA17WK-qq-e-d-580k,4511478356439,CRDA17WK,TANABE,SUSTEC PRO CR,-24/-38,3.0/4.0,減衰力固定式<br>ネジ式,不可,PZターボスペシャル(MC後),フロント/リア共に純正アッパーマウント使用,,79800,74900,,
スズキ,エブリイワゴン,DA64W,2005/08～2008/04,4WD,660,ターボ,1～3型専用,Fr：-12～-47mm<br>Rr：-18～-45mm,60346,,264565,CRDA64WK-qq-e-f1-86k,CRDA64WK-qq-e-d-86k,4511478354107,CRDA64WK,TANABE,SUSTEC PRO CR,-30/-30,3.0/4.0,減衰力固定式<br>ネジ式,,PZターボSP,,,79800,74900,,
スズキ,エブリイワゴン,DA64W,2005/08～2008/04,FR,660,ターボ,1～3型専用,Fr：-21～-56mm<br>Rr：-26～-53mm,60346,,264145,CRDA64WK-qq-e-f1-152,CRDA64WK-qq-e-d-152,4511478354107,CRDA64WK,TANABE,SUSTEC PRO CR,-41/-40,3.0/4.0,減衰力固定式<br>ネジ式,,PZターボ,,,79800,74900,,
スズキ,エブリイワゴン,DA64W,2008/04～2015/02,FR(4WD装着可),660,ターボ,4型～専用,Fr：-21～-46mm<br>Rr：-18～-45mm,60346,,264146,CRDA64WMCK-qq-e-f1-153,CRDA64WMCK-qq-e-d-153,4511478354114,CRDA64WMCK,TANABE,SUSTEC PRO CR,-29/-29,3.0/4.0,減衰力固定式<br>ネジ式,,PZターボ,,,79800,74900,,
スズキ,クロスビー,MN71S,2017/12～,4WD,1000,ハイブリッド,,Fr：-20～-55mm<br>Rr：-32～-60mm,60346,,264606,CRMN71S4WDK-qq-e-f1-127k,CRMN71S4WDK-qq-e-d-127k,4511478356460,CRMN71S4WDK,TANABE,SUSTEC PRO CR,-32/-49,4.0/3.0,減衰力固定式<br>ネジ式,,ハイブリッドMZ,リア車高調整スペーサー式,,79800,74900,,
スズキ,スイフト,ZC11S,2004/11～2010/09,FF,1300,NA,,Fr：-9～-55mm<br>Rr：-12～-49mm,60346,,264317,CRZC31SK-qq-e-f1-158,CRZC31SK-qq-e-d-158,4511478354121,CRZC31SK,TANABE,SUSTEC PRO CR,-39/-34,3.0/3.0,減衰力固定式<br>ネジ式,不可,XGリミテッド II,フロント/リア共に純正アッパーマウント使用,,79800,74900,,
スズキ,スイフト,ZC21S,2004/11～2010/09,FF,1500,NA,,データなし,60346,,264616,CRZC31SK-qq-e-f1-137k,CRZC31SK-qq-e-d-137k,4511478354121,CRZC31SK,TANABE,SUSTEC PRO CR,データなし,3.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,スイフト,ZC31S,2005/10～2010/09,FF,1600,NA,,Fr：-17～-61mm<br>Rr：-24～-60mm,60346,,264318,CRZC31SK-qq-e-f1-159,CRZC31SK-qq-e-d-159,4511478354121,CRZC31SK,TANABE,SUSTEC PRO CR,-43/-43,3.0/3.0,減衰力固定式<br>ネジ式,,スポーツ,,,79800,74900,,
スズキ,スイフト,ZC32S,2011/12～2016/12,FF,1600,NA,,Fr：-5～-44mm<br>Rr：-1～-43mm,60346,,264320,CRZC32SK-qq-e-f1-155,CRZC32SK-qq-e-d-155,4511478354138,CRZC32SK,TANABE,SUSTEC PRO CR,-19/-22,4.0/4.0,減衰力固定式<br>ネジ式,,ベースグレード,,,79800,74900,,
