自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,車高調整幅,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,推奨車高 mm(F/R),バネレート kg/mm(F/R),仕様,フロントキャンバー調整,マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
トヨタ,エスクァイアハイブリッド,ZWR80G,2014/10～,FF,1800,ハイブリッド,ZRR80G専用,Fr：-29～-67mm<br>Rr：-32～-68mm,82615,,264828,CR40ZRR80GK-qq-e-f1-356k,CR40ZRR80GK-qq-e-d-356k,4511478355906,CR40ZRR80GK,TANABE,SUSTEC PRO CR40,-42/-62,6.0/5.0,減衰力調整式<br>ネジ式,可,ハイブリッドXi,フロントアッパーマウント付き<br>リア純正ダストブーツ/バンプラバー使用,,109800,97400
トヨタ,エスティマ,ACR50W,2006/01～2016/06,FF,2400,NA,,Fr：-22～-60mm<br>Rr：-24～-63mm,75193,,264829,CR40CR50WK-qq-e-f1-357k,CR40CR50WK-qq-e-d-357k,4511478355784,CR40CR50WK,TANABE,SUSTEC PRO CR40,-40/-43,6.0/8.0,減衰力調整式<br>ネジ式,不可,2.4G(MC前),フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正ダストブーツ使用,,99800,89900
トヨタ,エスティマ,ACR50W,2016/06～2019/10,FF,2400,NA,,Fr：-6～-56mm<br>Rr：-33～-70mm,75193,,265057,CR40CR50WK-qq-e-f1-589k,CR40CR50WK-qq-e-d-589k,4511478355784,CR40CR50WK,TANABE,SUSTEC PRO CR40,-39/-50,6.0/8.0,減衰力調整式<br>ネジ式,不可,アエラスプレミアム(MC後),フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正ダストブーツ使用,,99800,89900
トヨタ,エスティマ,ACR55W,2006/01～2019/10,4WD,2400,NA,,Fr：-31～-64mm<br>Rr：-35～-86mm,75193,,264830,CR40HR20WK-qq-e-f1-358k,CR40HR20WK-qq-e-d-358k,4511478355791,CR40HR20WK,TANABE,SUSTEC PRO CR40,-48/-60,6.0/8.0,減衰力調整式<br>ネジ式,不可,2.4X(MC前),フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正ダストブーツ使用,,99800,89900
トヨタ,エスティマ,GSR50W,2006/01～2019/10,FF,3500,NA,,Fr：-22～-77mm<br>Rr：-33～-73mm,75193,,264831,CR40CR50WK-qq-e-f1-359k,CR40CR50WK-qq-e-d-359k,4511478355784,CR40CR50WK,TANABE,SUSTEC PRO CR40,-53/-59,6.0/8.0,減衰力調整式<br>ネジ式,不可,アエラス(MC前),フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正ダストブーツ使用,,99800,89900
トヨタ,エスティマ,GSR55W,2006/01～2019/10,4WD,3500,NA,,Fr：-27～-72mm<br>Rr：-44～-85mm,75193,,264832,CR40HR20WK-qq-e-f1-360k,CR40HR20WK-qq-e-d-360k,4511478355791,CR40HR20WK,TANABE,SUSTEC PRO CR40,-53/-65,6.0/8.0,減衰力調整式<br>ネジ式,不可,アエラス(MC前),フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正ダストブーツ使用,,99800,89900
トヨタ,エスティマハイブリッド,AHR20W,2006/06～2019/10,4WD,2400,ハイブリッド,,Fr：-42～-80mm<br>Rr：-56～-93mm,75193,,264833,CR40HR20WK-qq-e-f1-361k,CR40HR20WK-qq-e-d-361k,4511478355791,CR40HR20WK,TANABE,SUSTEC PRO CR40,-60/-64,6.0/8.0,減衰力調整式<br>ネジ式,不可,ハイブリッドG(MC前),フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正ダストブーツ使用,,99800,89900
トヨタ,カローラアクシオハイブリッド,NKE165,2013/08～,FF,1500,ハイブリッド,,Fr：-34～-67mm<br>Rr：-17～-66mm,75193,,264834,CR40SP90K-qq-e-f1-362k,CR40SP90K-qq-e-d-362k,4511478355890,CR40SP90K,TANABE,SUSTEC PRO CR40,-44/-41,3.0/3.0,減衰力調整式<br>ネジ式,不可,ハイブリッド(MC前),フロント/リア共に純正アッパーマウント使用<br>リア純正ダストブーツをカット必要,,99800,89900
トヨタ,カローラフィールダー,NZE161G,2012/05～,FF,1500,NA,,Fr：-20～-67mm<br>Rr：-18～-55mm,75193,,264835,CR40SP90K-qq-e-f1-363k,CR40SP90K-qq-e-d-363k,4511478355890,CR40SP90K,TANABE,SUSTEC PRO CR40,-42/-28,3.0/3.0,減衰力調整式<br>ネジ式,不可,1.5X(MC前),フロント/リア共に純正アッパーマウント使用<br>リア純正ダストブーツをカット必要,,99800,89900
トヨタ,カローラフィールダー,ZRE162G,2012/05～,FF,1800,NA,,データなし,75193,,264836,CR40SP90K-qq-e-f1-364k,CR40SP90K-qq-e-d-364k,4511478355890,CR40SP90K,TANABE,SUSTEC PRO CR40,データなし,3.0/3.0,減衰力調整式<br>ネジ式,不可,現車未確認,未計測の為、車高データなし<br>フロント/リア共に純正アッパーマウント使用<br>リア純正ダストブーツをカット必要,,99800,89900
トヨタ,カローラフィールダーハイブリッド,NKE165G,2013/08～,FF,1500,ハイブリッド,,Fr：-29～-63mm<br>Rr：-25～-61mm,75193,,264837,CR40SP90K-qq-e-f1-365k,CR40SP90K-qq-e-d-365k,4511478355890,CR40SP90K,TANABE,SUSTEC PRO CR40,-44/-38,3.0/3.0,減衰力調整式<br>ネジ式,不可,ハイブリッド(MC前),フロント/リア共に純正アッパーマウント使用<br>リア純正ダストブーツをカット必要,,99800,89900
トヨタ,クラウン,ARS210,2015/10～2018/06,FR,2000,ターボ,,データなし,67769,,264841,CR40GRS210MCK-qq-e-f1-369k,CR40GRS210MCK-qq-e-d-369k,4511478355869,CR40GRS210MCK,TANABE,SUSTEC PRO CR40,データなし,7.0/7.0,減衰力調整式<br>ネジ式,不可,現車未確認,未計測の為、車高データなし<br>AVS又はNAVI・AI-AVSの機能は失われます<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,,89800,82400
トヨタ,クラウン,AWS210,2012/12～2013/11,FR,2500,ハイブリッド,2013/12～装着不可,Fr：-5～-62mm<br>Rr：-12～-62mm,67769,,264843,CR40GRS182K-qq-e-f1-371k,CR40GRS182K-qq-e-d-371k,4511478355852,CR40GRS182K,TANABE,SUSTEC PRO CR40,-38/-30,7.0/7.0,減衰力調整式<br>ネジ式,不可,ハイブリッドアスリートS,AVS又はNAVI・AI-AVSの機能は失われます<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,前後年式適合注意,89800,82400
トヨタ,クラウン,AWS210,2013/12～2018/06,FR,2500,ハイブリッド,～2013/11装着不可,Fr：-1～-59mm<br>Rr：-18～-67mm,67769,,264842,CR40AWS210MCK-qq-e-f1-370k,CR40AWS210MCK-qq-e-d-370k,4511478355876,CR40AWS210MCK,TANABE,SUSTEC PRO CR40,-35/-40,7.0/7.0,減衰力調整式<br>ネジ式,不可,ハイブリッドアスリートS,AVS又はNAVI・AI-AVSの機能は失われます<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,前後年式適合注意,89800,82400
トヨタ,クラウン,GRS180,2003/12～2008/02,FR,2500,NA,,データなし,67769,,264844,CR40GRS182K-qq-e-f1-372k,CR40GRS182K-qq-e-d-372k,4511478355852,CR40GRS182K,TANABE,SUSTEC PRO CR40,データなし,7.0/7.0,減衰力調整式<br>ネジ式,不可,現車未確認,未計測の為、車高データなし<br>AVS又はNAVI・AI-AVSの機能は失われます<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,,89800,82400
トヨタ,クラウン,GRS182,2003/12～2008/02,FR,3000,NA,,Fr：-19～-66mm<br>Rr：+1～-58mm,67769,,264845,CR40GRS182K-qq-e-f1-373k,CR40GRS182K-qq-e-d-373k,4511478355852,CR40GRS182K,TANABE,SUSTEC PRO CR40,-45/-34,7.0/7.0,減衰力調整式<br>ネジ式,不可,アスリート,AVS又はNAVI・AI-AVSの機能は失われます<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,,89800,82400
トヨタ,クラウン,GRS184,2005/10～2008/02,FR,3500,NA,,Fr：-9～-69mm<br>Rr：+5～-56mm,67769,,264846,CR40GRS182K-qq-e-f1-374k,CR40GRS182K-qq-e-d-374k,4511478355852,CR40GRS182K,TANABE,SUSTEC PRO CR40,-48/-35,7.0/7.0,減衰力調整式<br>ネジ式,不可,アスリート,AVS又はNAVI・AI-AVSの機能は失われます<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,,89800,82400
