自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,SET価格
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,H18/7～H26/11,1500～2000,,フロント,16672,,274907,SSM-EP401-qq-e-3633k,SSM-EP401-qq-e-d-3633k,4515693024012,EP401,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,H18/7～H26/11,1500～2000,,リア,16672,,274488,SSM-EP312-qq-e-8079k,SSM-EP312-qq-e-d-8079k,4515693023121,EP312,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,SX4,YC11S,H21/5～H26/11,1500,,フロント,16672,,274908,SSM-EP401-qq-e-3634k,SSM-EP401-qq-e-d-3634k,4515693024012,EP401,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,アルト/アルトハッスル,CL11V/CN11S,S63/9～H2/3,550,FF,フロント,16672,,285697,SSM-EP259-qq-e-8074k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,アルト/アルトハッスル,CL21V/CN21S,H2/3～H6/9,660,FF,フロント,16672,,290319,SSM-EP259-qq-e-8075k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,アルト/アルトハッスル,CL22V,H2/3～H6/9,660,FF・NA,フロント,16672,,274051,SSM-EP259-qq-e-3627k,SSM-EP259-qq-e-d-3627k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,アルト/アルトハッスル,CM22S,H2/3～H6/9,660,4WD・NA・4型・No.250001～,フロント,16672,,289407,SSM-EP259-qq-e-8076k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,アルト/アルトハッスル,CR22S,H2/3～H6/9,660,FF・NA・4型・No.250001～,フロント,16672,,274053,SSM-EP259-qq-e-3629k,SSM-EP259-qq-e-d-3629k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,アルト/アルトハッスル,CR22S,H2/3～H6/9,660,FF・SOHCターボ・NA・3型・No.100001～250000,フロント,16672,,274052,SSM-EP259-qq-e-3628k,SSM-EP259-qq-e-d-3628k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,アルト/アルトハッスル,CS22S,H2/3～H6/9,660,4WD・NA・3ドア・4型・No.250001～,フロント,16672,,274054,SSM-EP259-qq-e-3630k,SSM-EP259-qq-e-d-3630k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,アルト/アルトハッスル,CS22S,H2/3～H6/9,660,4WD・NA・5ドア・4型・No.800001～,フロント,16672,,274055,SSM-EP259-qq-e-3631k,SSM-EP259-qq-e-d-3631k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,アルト/アルトハッスル,HA12S/HA12V/HA22S,H10/10～H17/1,660,四輪ディスク,リア,16672,,281903,SSM-EP210-qq-e-9088k,出さない,4515693022100,EP210,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,アルト/アルトハッスル,HA24S,H16/9～H21/12,660,,リア,16672,,282678,SSM-EP210-qq-e-9089k,出さない,4515693022100,EP210,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,アルト/アルトワークス,HA22S,H10/10～H17/1,660,ワークス・RS/Z・4輪ディスク,リア,16672,,273783,SSM-EP210-qq-e-8078k,SSM-EP210-qq-e-d-8078k,4515693022100,EP210,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,アルトハッスル,CL22V/CR22S,H3/11～H10/10,660,2WD,フロント,16672,,274056,SSM-EP259-qq-e-3632k,SSM-EP259-qq-e-d-3632k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,エスクード/エスクードノマド,TDB4W,H20/6～H29/4,3200,,リア,16672,,287125,SSM-EP482-qq-e-9090k,出さない,4515693024821,EP482,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,エスクード/エスクードノマド,YD21S/YE21S,H27/10～,1600,,リア,16672,,275392,SSM-EP488-qq-e-8080k,SSM-EP488-qq-e-d-8080k,4515693024883,EP488,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,カルタス/カルタスエスティーム/カルタスクレセント,AA34S/AF34S,S63/9～H10/7,1300～,DOHC・GT-i・4輪ディスク,フロント,16672,,273672,SSM-EP164-qq-e-3636k,SSM-EP164-qq-e-d-3636k,4515693021646,EP164,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,カルタス/カルタスエスティーム/カルタスクレセント,AK34S,S63/9～H10/7,,,フロント,16672,,273671,SSM-EP164-qq-e-3635k,SSM-EP164-qq-e-d-3635k,4515693021646,EP164,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,キザシ,RE91S/RF91S,H21/10～,2400,,フロント,16672,,275261,SSM-EP468-qq-e-3637k,SSM-EP468-qq-e-d-3637k,4515693024685,EP468,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,キザシ,RE91S/RF91S,H21/10～,2400,,リア,16672,,274489,SSM-EP312-qq-e-8081k,SSM-EP312-qq-e-d-8081k,4515693023121,EP312,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,キャラ,PG6SS,H5/1～H7/12,660,,フロント,16672,,274057,SSM-EP259-qq-e-3638k,SSM-EP259-qq-e-d-3638k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC11S/ZC21S,H16/11～H22/9,1300～1500,,フロント,16672,,275046,SSM-EP430-qq-e-3639k,SSM-EP430-qq-e-d-3639k,4515693024302,EP430,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC13S,H29/7～,1000,,フロント,16672,,275390,SSM-EP487-qq-e-3648k,SSM-EP487-qq-e-d-3648k,4515693024876,EP487,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC13S,H29/7～,1000,,リア,16672,,275397,SSM-EP488-qq-e-8089k,SSM-EP488-qq-e-d-8089k,4515693024883,EP488,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,フロント,16672,,275389,SSM-EP487-qq-e-3647k,SSM-EP487-qq-e-d-3647k,4515693024876,EP487,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,リア,16672,,275396,SSM-EP488-qq-e-8088k,SSM-EP488-qq-e-d-8088k,4515693024883,EP488,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,フロント,16672,,275388,SSM-EP487-qq-e-3646k,SSM-EP487-qq-e-d-3646k,4515693024876,EP487,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,リア,16672,,275395,SSM-EP488-qq-e-8087k,SSM-EP488-qq-e-d-8087k,4515693024883,EP488,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC71S,H19/5～H29/1,1200,リアドラム,フロント,16672,,275049,SSM-EP430-qq-e-3642k,SSM-EP430-qq-e-d-3642k,4515693024302,EP430,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC72S,H22/9～H29/1,1200,リアドラム,フロント,16672,,275050,SSM-EP430-qq-e-3643k,SSM-EP430-qq-e-d-3643k,4515693024302,EP430,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),フロント,16672,,275386,SSM-EP487-qq-e-3644k,SSM-EP487-qq-e-d-3644k,4515693024876,EP487,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),リア,16672,,275393,SSM-EP488-qq-e-8085k,SSM-EP488-qq-e-d-8085k,4515693024883,EP488,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフト,ZD11S/ZD21S,H16/11～H22/9,1300～1500,,フロント,16672,,275047,SSM-EP430-qq-e-3640k,SSM-EP430-qq-e-d-3640k,4515693024302,EP430,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフトスポーツ,HT81S,H15/6～H17/5,1500,,リア,16672,,274886,SSM-EP399-qq-e-8083k,SSM-EP399-qq-e-d-8083k,4515693023992,EP399,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフトスポーツ,ZC31S,H17/11～H22/9,1600,,フロント,16672,,275048,SSM-EP430-qq-e-3641k,SSM-EP430-qq-e-d-3641k,4515693024302,EP430,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフトスポーツ,ZC31S,H17/11～H22/9,1600,,リア,16672,,274490,SSM-EP312-qq-e-8084k,SSM-EP312-qq-e-d-8084k,4515693023121,EP312,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフトスポーツ,ZC32S,H23/12～H28/12,1600,,フロント,16672,,275387,SSM-EP487-qq-e-3645k,SSM-EP487-qq-e-d-3645k,4515693024876,EP487,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフトスポーツ,ZC32S,H23/12～H28/12,1600,,リア,16672,,275394,SSM-EP488-qq-e-8086k,SSM-EP488-qq-e-d-8086k,4515693024883,EP488,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフトスポーツ,ZC33S,H29/9～,1400,,フロント,16672,,275391,SSM-EP487-qq-e-3649k,SSM-EP487-qq-e-d-3649k,4515693024876,EP487,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スイフトスポーツ,ZC33S,H29/9～,1400,,リア,16672,,275398,SSM-EP488-qq-e-8090k,SSM-EP488-qq-e-d-8090k,4515693024883,EP488,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,スプラッシュ,XB32S,H20/8～,1300,,フロント,16672,,275051,SSM-EP430-qq-e-3650k,SSM-EP430-qq-e-d-3650k,4515693024302,EP430,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,セルボ/セルボ・モード,CN21S,H2/7～H3/9,660,,フロント,16672,,286624,SSM-EP259-qq-e-8077k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,セルボ/セルボ・モード,CN22S,H3/9～H7/10,660,ABS無・No.100001～250000,フロント,16672,,289408,SSM-EP259-qq-e-8078k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
