自動車メーカー,車種,型式,適合詳細,H/S,シートタイプ,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,商品名DB,スプリングタイプ,アッパーマウント(F/R),スプリングレート(F/R),仕様,備考,注意事項,定価,SET価格
スズキ,スイフト,ZC32S,,,Bタイプ,250200,,259697,ZS802P10B-qq-e-431k,ZS802P10B-qq-e-d-431k,ZS802P10B,ENDLESS,ZEAL FUNCTION プラス10 Bタイプ,ZEAL FUNCTION プラス10,X COILS,,ID60-203-6K/ID65-152-4KT,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウントブッシュは純正品を再使用<br>オプションにてフロント専用ピロアッパーマウント仕様が可能(ご希望の場合はご購入前にお問い合わせください),,278000,237400
スズキ,スイフト,ZC32S,,,Fタイプ,248400,,259698,ZS802P10F-qq-e-432k,ZS802P10F-qq-e-d-432k,ZS802P10F,ENDLESS,ZEAL FUNCTION プラス10 Fタイプ,ZEAL FUNCTION プラス10,X COILS,,ID60-203-6K/ID65-152-4KT,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウントブッシュは純正品を再使用<br>オプションにてフロント専用ピロアッパーマウント仕様が可能(ご希望の場合はご購入前にお問い合わせください),,276000,235800
スバル,BRZ,ZC6,,,Bタイプ,275400,,259663,ZS741P10B2-qq-e-397k,ZS741P10B2-qq-e-d-397k,ZS741P10B2,ENDLESS,ZEAL FUNCTION プラス10 Bタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/アルミリジット,ID60-178-8K/ID60-152-7K+FELzS70,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,306000,259800
スバル,WRX STI,VAB,,,Bタイプ,267300,,259657,ZS709P10B-qq-e-391k,ZS709P10B-qq-e-d-391k,ZS709P10B,ENDLESS,ZEAL FUNCTION プラス10 Bタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/アルミリジット,ID65-178-8K+1.5K/ID65-178-6K+FELzS70,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,297000,255600
スバル,WRX STI,VAB,,,Cタイプ,269100,,259658,ZS709P10C-qq-e-392k,ZS709P10C-qq-e-d-392k,ZS709P10C,ENDLESS,ZEAL FUNCTION プラス10 Cタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/アルミリジット,ID65-178-8K+1.5K/ID65-178-6K+FELzS70,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,299000,257200
スバル,インプレッサ,GDB,アプライドA/B/C/D,,Bタイプ,284400,,259618,ZS703P10B-qq-e-352k,ZS703P10B-qq-e-d-352k,ZS703P10B,ENDLESS,ZEAL FUNCTION プラス10 Bタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,316000,270800
スバル,インプレッサ,GDB,アプライドA/B/C/D,,Cタイプ,286200,,259619,ZS703P10C-qq-e-353k,ZS703P10C-qq-e-d-353k,ZS703P10C,ENDLESS,ZEAL FUNCTION プラス10 Cタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,318000,272400
スバル,インプレッサ,GDB,アプライドE/F/G,,Bタイプ,284400,,259625,ZS705P10B-qq-e-359k,ZS705P10B-qq-e-d-359k,ZS705P10B,ENDLESS,ZEAL FUNCTION プラス10 Bタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,316000,270800
スバル,インプレッサ,GDB,アプライドE/F/G,,Cタイプ,286200,,259626,ZS705P10C-qq-e-360k,ZS705P10C-qq-e-d-360k,ZS705P10C,ENDLESS,ZEAL FUNCTION プラス10 Cタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,318000,272400
スバル,インプレッサ,GRB,アプライドA/B,,Bタイプ,250200,,259632,ZS706P10B-qq-e-366k,ZS706P10B-qq-e-d-366k,ZS706P10B,ENDLESS,ZEAL FUNCTION プラス10 Bタイプ,ZEAL FUNCTION プラス10,X COILS,調整式ピロ/アルミリジット,ID60-203-10K/ID60-203-8K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>快適性重視のユーザーにオススメ(10ミリ厚ラバー採用),,,278000,240400
