自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALPINA,E38,KD32/LD32,99～01,B12 6.0,リア,29700,,107824,SPa1251143-qq-e-5607k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E38,RD3/PD3,95～98,B12 5.7,リア,29700,,121128,SPa1251143-qq-e-5606k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E46,3E46 ME44/NE44,99/9～04,B3 3.3(328)<br>328 ベース,フロント,36000,,82127,SPa1211106-qq-e-5609k,出さない,4547726471425,1211106,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E46,3E46 ME44/NE44,99/9～04,B3 3.3(328)<br>328 ベース,リア,29700,,88458,SPa1251143-qq-e-5610k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E46,3E46 ME44/NE44,99～99/9,B3 3.3(328)<br>328 ベース,フロント,36000,,88449,SPa1211106-qq-e-5608k,出さない,4547726471425,1211106,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E46,3E46 UE46/VE46/XE46/WE46,99～04,B3 3.3(330)<br>330 ベース,フロント,36000,,108155,SPa1211106-qq-e-5611k,出さない,4547726471425,1211106,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E46,3E46 UE46/VE46/XE46/WE46,99～04,B3 3.3(330)<br>330 ベース,リア,29700,,75588,SPa1251143-qq-e-5612k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E46,3E50,04～05,B3S 3.3,フロント,36000,,82128,SPa1211106-qq-e-5615k,出さない,4547726471425,1211106,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E46,3E50,04～05,B3S 3.3,リア,29700,,107826,SPa1251143-qq-e-5616k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E46,CE48/DE48,01～02,B3 3.3 オールロード,フロント,36000,,94979,SPa1211106-qq-e-5613k,出さない,4547726471425,1211106,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E46,CE48/DE48,01～02,B3 3.3 オールロード,リア,29700,,107825,SPa1251143-qq-e-5614k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E52,GF51,02～05,Z8 ロードスター V8,リア,29700,,81820,SPa1251143-qq-e-5617k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E63/E64,VH12/WH12/6H1S,05～11,B6 4.4 V8 スーパーチャージャー,リア,34200,,95552,SPa1253730-qq-e-5618k,出さない,4547726472248,1253730,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E65,MH10,04～,B7 4.4,リア,34200,,115067,SPa1253730-qq-e-5619k,出さない,4547726472248,1253730,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E85,PE52,04～06,Z4 ロードスター S,フロント,36000,,108156,SPa1211106-qq-e-5620k,出さない,4547726471425,1211106,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E85,PE52,04～06,Z4 ロードスター S,リア,29700,,121129,SPa1251143-qq-e-5621k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
ALPINA,E92,3K20,07～,B3 ビターボ,フロント,34200,,82133,SPa1213312-qq-e-5622k,出さない,4547726472149,1213312,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E92,3K30,12～13,B3 GT3<br>ストップテック 4ポット,リア,46800,,89061,SPa1510957-qq-e-5624k,出さない,4547726471869,1510957,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,52000,出さない
ALPINA,E92,3K30,12～13,B3 GT3<br>ストップテック 6ポット,フロント,61200,,77617,SPa9913894-qq-e-5623k,出さない,4547726377369,9913894,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,68000,出さない
ASTONMARTIN,DB7,AMV7,99～03,5.9 V12 GT/GTA,フロント,43200,,100460,SPa281001-qq-e-5625k,出さない,4547726477335,281001,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ASTONMARTIN,DB7,AMV7,99～03,5.9 V12 GT/GTA,リア,34200,,111292,SPa9910849-qq-e-5626k,出さない,4547726375242,9910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
AUDI,80 クアトロ(B3/B4),8CADU,94～95,RS2 クアトロ,リア,34200,,89066,SPa1550672-qq-e-5629k,出さない,4547726471906,1550672,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
AUDI,80 クアトロ(B3/B4),8CADU,94～95,RS2 クアトロ<br>16インチホイール,フロント,46800,,76206,SPa1510957-qq-e-5627k,出さない,4547726471869,1510957,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,52000,出さない
AUDI,80 クアトロ(B3/B4),8CADU,94～95,RS2 クアトロ<br>17インチホイール,フロント,43200,,89064,SPa1511428-qq-e-5628k,出さない,4547726471890,1511428,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
AUDI,R8,42BYHF/42CNDF/42BUJF/42CTYF,07～16,4.2 FSI/5.2 FSI クアトロ<br>CCブレーキ車不可,フロント,52200,,102152,SPa1313751-qq-e-5630k,出さない,4547726472613,1313751,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,58000,出さない
AUDI,RS4,8EBNSF,06/07～,4.2 クアトロ<br>8気筒,フロント,52200,,102153,SPa1313751-qq-e-5631k,出さない,4547726472613,1313751,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,58000,出さない
AUDI,RS6,4BBCYF,03～05,4.2 クアトロ<br>8気筒,フロント,52200,,76205,SPa1313751-qq-e-5632k,出さない,4547726472613,1313751,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,58000,出さない
BMW,E32,G30/G35/L35/GD30/GD40/GD40L,87/8～94/8,730i/735i/740i/740iL,フロント,36000,,93910,SPa1210602-qq-e-5633k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
BMW,E32,G50/GB50,90/1～94/8,750i/iL,フロント,36000,,113391,SPa1210602-qq-e-5634k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
BMW,E34,HB20/H25/HD25/HE30/H35/HE40,88/1～95,520i/525i/530i/535i/540i,フロント,36000,,107009,SPa1210602-qq-e-5635k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
BMW,E34,M5H,88～92/5,M5 3.5,フロント,36000,,126310,SPa1210602-qq-e-5636k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
BMW,E34,M5H,92～94/6,M5 3.8,フロント,36000,,94977,SPa1210602-qq-e-5637k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
BMW,E36,BF20/BF28/BJ25/BK28/CB20/CB25/CD28,91/4～98/9,320i/323i/325i/328i,フロント,34200,,88448,SPa1210710-qq-e-5642k,出さない,4547726471371,1210710,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
BMW,E36,BF20/BF28/BJ25/BK28/CB20/CB25/CD28,91/4～98/9,320i/323i/325i/328i,リア,34200,,94984,SPa1250907-qq-e-5643k,出さない,4547726471470,1250907,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
BMW,E36,CA18/BE18/BE19,91/4～98/9,318i/iS,フロント,34200,,88447,SPa1210710-qq-e-5638k,出さない,4547726471371,1210710,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
BMW,E36,CA18/BE18/BE19,91/4～98/9,318i/iS,リア,34200,,94660,SPa1250907-qq-e-5639k,出さない,4547726471470,1250907,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
BMW,E36,CG18/CG19,94～01,318ti コンパクト,フロント,34200,,121122,SPa1210710-qq-e-5640k,出さない,4547726471371,1210710,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
BMW,E36,CG18/CG19,94～01,318ti コンパクト,リア,34200,,101188,SPa1250907-qq-e-5641k,出さない,4547726471470,1250907,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
BMW,E36,M3B/M3C,92/3～00,M3 3.0/3.2,フロント,36000,,121120,SPa1210602-qq-e-5644k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
BMW,E38,GF35/GG35,94/8～01/09,728/730/735,リア,29700,,75589,SPa1251143-qq-e-5645k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
BMW,E38,GF40/GF44/GG44,94/8～01/09,740i/iL<br>4.0/4.4,リア,29700,,121130,SPa1251143-qq-e-5646k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
BMW,E38,GK50/GJ50/L7,94/8～98/9,750,リア,29700,,107827,SPa1251143-qq-e-5647k,出さない,4547726471494,1251143,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,33000,出さない
