自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
スズキ,アルト,CN21S,90/2～91/8,NA ABS無,フロント,21600,,96333,SPK371026-qq-e-3032k,SPK371026-qq-e-d-3032k,4547726344521,371026,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,CR22S,91/9～94/10,ワークス以外(NA車),フロント,21600,,75942,SPK371026-qq-e-3044k,SPK371026-qq-e-d-3044k,4547726344521,371026,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 3ドア車 車台No.250001→,フロント,21600,,115817,SPK371026-qq-e-3040k,SPK371026-qq-e-d-3040k,4547726344521,371026,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 5ドア車 車台No.800001→,フロント,21600,,96002,SPK371026-qq-e-3041k,SPK371026-qq-e-d-3041k,4547726344521,371026,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA12S/HA22S,98/10～04/08,NA,フロント,21600,,102171,SPK371054-qq-e-3052k,SPK371054-qq-e-d-3052k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,フロント,21600,,102172,SPK371054-qq-e-3053k,SPK371054-qq-e-d-3053k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA12V,98/10～04/08,,フロント,21600,,121737,SPK371054-qq-e-3051k,SPK371054-qq-e-d-3051k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA21S/HB21S,94/11～98/9,,フロント,21600,,94665,SPK371032-qq-e-3050k,出さない,4547726344545,371032,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,出さない
スズキ,アルト,HA23S/HA23V,00/12～03/08,,フロント,21600,,89087,SPK371054-qq-e-3054k,SPK371054-qq-e-d-3054k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA23S/HA23V,03/08～04/08,,フロント,21600,,121738,SPK371054-qq-e-3055k,SPK371054-qq-e-d-3055k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.→135030,フロント,21600,,95584,SPK371054-qq-e-3056k,SPK371054-qq-e-d-3056k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.135031→,フロント,21600,,122476,SPK371082-qq-e-3057k,SPK371082-qq-e-d-3057k,4547726344651,371082,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,21600,,115106,SPK371054-qq-e-3060k,SPK371054-qq-e-d-3060k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.135031→,フロント,21600,,96007,SPK371082-qq-e-3061k,SPK371082-qq-e-d-3061k,4547726344651,371082,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,21600,,82775,SPK371054-qq-e-3058k,SPK371054-qq-e-d-3058k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.509893→,フロント,21600,,122477,SPK371082-qq-e-3059k,SPK371082-qq-e-d-3059k,4547726344651,371082,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,21600,,102173,SPK371054-qq-e-3062k,SPK371054-qq-e-d-3062k,4547726344576,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,,24000,24600
