メーカー,車種,車輌型式,備考,セット価格,Camp価格,品番
ダイハツ,タント カスタム,L375S,NA<br>2WD<br>90φラウンドOストレート,39230,38730,750-70184
ダイハツ,タント カスタム,L375S,NA<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
ダイハツ,タント カスタム,L375S,ターボ<br>2WD<br>100φストレート,67300,66800,750-70183
ダイハツ,タント カスタム,L375S,ターボ<br>2WD<br>70φラウンドスラッシュ,36360,35860,750-70181
ダイハツ,タント カスタム,L375S,ターボ<br>2WD<br>90φラウンドOストレート,39230,38730,750-70184
ダイハツ,タント カスタム,L375S,ターボ<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
ダイハツ,タント カスタム,L385S,ターボ<br>4WD,38600,38100,750-70185
ダイハツ,タント カスタム,LA600S,NA<br>2WD,65900,65400,740-71231
ダイハツ,タント カスタム,LA600S,ターボ<br>2WD,65900,65400,740-71232
ダイハツ,ミラ カスタム,L275S,NA<br>2WD,43500,43000,750-70182
ダイハツ,ミラ カスタム,L275S,ターボ<br>2WD,43500,43000,750-70182
ダイハツ,ミラ ココア,L675S,NA<br>2WD<br>90φラウンドOストレート,39230,38730,750-70184
ダイハツ,ミラ ココア,L675S,NA<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
ダイハツ,ムーヴ カスタム,L175S,NA<br>2WD<br>70φラウンドスラッシュ,36360,35860,750-70181
ダイハツ,ムーヴ カスタム,L175S,NA<br>2WD<br>90φラウンドOストレート,39230,38730,750-70184
ダイハツ,ムーヴ カスタム,L175S,NA<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
ダイハツ,ムーヴ カスタム,L175S,ターボ<br>2WD<br>100φストレート,67300,66800,750-70183
ダイハツ,ムーヴ カスタム,L175S,ターボ<br>2WD<br>70φラウンドスラッシュ,36360,35860,750-70181
ダイハツ,ムーヴ カスタム,L175S,ターボ<br>2WD<br>90φラウンドOストレート,39230,38730,750-70184
ダイハツ,ムーヴ カスタム,L175S,ターボ<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
ダイハツ,ムーヴ カスタム,LA100S,ターボ<br>2WD,67300,66800,740-70193
ダイハツ,ムーヴ カスタム,LA150S,ターボ<br>2WD<br>CVT車専用,72200,71700,740-70201
ダイハツ,ムーヴ コンテ カスタム,L575S,NA<br>2WD<br>70φラウンドスラッシュ,36360,35860,750-70181
ダイハツ,ムーヴ コンテ カスタム,L575S,NA<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
ダイハツ,ムーヴ コンテ カスタム,L575S,ターボ<br>2WD<br>100φストレート,67300,66800,750-70183
ダイハツ,ムーヴ コンテ カスタム,L575S,ターボ<br>2WD<br>70φラウンドスラッシュ,36360,35860,750-70181
ダイハツ,ムーヴ コンテ カスタム,L575S,ターボ<br>2WD<br>90φラウンドOストレート,39230,38730,750-70184
ダイハツ,ムーヴ コンテ カスタム,L575S,ターボ<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
トヨタ,ピクシス スペース カスタム,L575A,ターボ<br>2WD<br>100φストレート,67300,66800,750-70183
トヨタ,ピクシス スペース カスタム,L575A,ターボ<br>2WD<br>70φラウンドスラッシュ,36360,35860,750-70181
トヨタ,ピクシス スペース カスタム,L575A,ターボ<br>2WD<br>90φラウンドOストレート,39230,38730,750-70184
トヨタ,ピクシス スペース カスタム,L575A,ターボ<br>2WD<br>94φラウンドスラッシュ,43500,43000,750-70182
日産,NV100クリッパー バン,DA64V,ターボ,47000,46500,750-80413
日産,NV100クリッパー バン,DA64V,ターボ<br>2WD/4WD<br>90φラウンドOストレート,50500,50000,750-80415
日産,オッティ,H92W,NA<br>2WD,47000,46500,750-30221
日産,オッティ,H92W,NA<br>2WD,47000,46500,750-30221
日産,オッティ,H92W,NA<br>2WD<br>M/C後,47000,46500,750-30221
日産,オッティ,H92W,NA<br>4WD<br>M/C後,47000,46500,750-30221
日産,オッティ,H92W,ターボ<br>2WD,51200,50700,750-30222
日産,オッティ,H92W,ターボ<br>2WD<br>M/C後,51200,50700,750-30222
日産,クリッパー リオ,U71W,ターボ<br>2WD,47000,46500,750-10311
日産,クリッパー リオ,U72W,ターボ<br>4WD,47000,46500,750-10311
日産,モコ,MG33S,NA<br>2WD,43360,42860,740-80531
日産,モコ,MG33S,ターボ<br>2WD,43360,42860,750-80532
日産,ルークス,ML21S,ターボ<br>2WD,43360,42860,750-10412
日産,ルークス ハイウェイスター,ML21S,NA<br>2WD,43360,42860,750-10413
日産,ルークス ハイウェイスター,ML21S,ターボ<br>2WD,40000,39500,750-82111
ホンダ,N-BOX,JF1,NA<br>2WD,58200,57700,740-50811
ホンダ,N-BOX,JF1,NA<br>2WD<br>’13M/C後,58200,57700,740-50815
ホンダ,N-BOX,JF1,ターボ<br>2WD,58200,57700,740-50814
ホンダ,N-BOX スラッシュ,JF1,ターボ<br>2WD,58200,57700,740-50814
ホンダ,N-BOXカスタム,JF1,NA<br>2WD,58200,57700,740-50813
ホンダ,N-BOXカスタム,JF1,ターボ<br>2WD,58200,57700,740-50812
ホンダ,N-BOXカスタム,JF3,ターボ<br>2WD,59600,59100,740-50831
ホンダ,N-ONE,JG1,NA<br>MC後(H26.5-)<br>Wテールセンター出し,65900,65400,740-50825
ホンダ,N-ONE,JG1,ターボ<br>2WD,65900,65400,740-50821
ホンダ,N-ONE,JG2,ターボ<br>4WD,65900,65400,740-50822
ホンダ,N-WGNカスタム,JH1,ターボ<br>2WD,65900,65400,740-50821
ホンダ,S660,JW5,CVT車/MT車共通,64500,64000,740-50401
ホンダ,ゼスト スパーク,JE1,ターボ<br>2WD,33000,32500,750-50213
ホンダ,ゼスト スポーツ,JE1,ターボ<br>2WD,33000,32500,750-50213
ホンダ,バモス,HM1/HM2,2WD・4WD<br>M/C後,43360,42860,750-50616
ホンダ,ムーヴ,JG1,NA<br>2WD,65900,65400,740-50823
マツダ,AZ-オフロード,JM23W,90φスラッシュ,57500,57000,760-80911
マツダ,AZ-オフロード,JM23W,90φラウンドOストレート,40000,39500,760-80917
マツダ,AZワゴン カスタムスタイル,MJ23S,ターボ<br>2WD,43360,42860,750-80281
マツダ,フレア カスタムスタイル,MJ34S,NA<br>2WD,43360,42860,750-80292
三菱,eKスポーツ,H82W,ターボ<br>2WD,51200,50700,750-30222
三菱,eKスポーツ,H82W,ターボ<br>2WD<br>M/C後,51200,50700,750-30222
三菱,eKワゴン,H82W,2WD,47000,46500,750-30221
三菱,eKワゴン,H82W,2WD<br>M/C後,47000,46500,750-30221
三菱,eKワゴン,H82W,4WD,47000,46500,750-30221
三菱,eKワゴン,H82W,4WD<br>M/C後,47000,46500,750-30221
三菱,タウンボックス,U61W,ターボ<br>2WD,47000,46500,750-10311
三菱,タウンボックス,U62W,ターボ<br>4WD,47000,46500,750-10311
