自動車メーカー,車種,型式,年式,変化量,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリングレート(F/R)N/mm,備考,注意事項,定価,送料,SET価格
スバル,BRZ,ZC6,2016/08～,Fr：-15mm<br>Rr：-15mm,後期<br>MT用,93997,,239608,V0491-10B-70-qq-e-12k,V0491-10B-70-qq-e-d-12k,V0491-10B-70,SHOWA TUNING,COMFORT Evolution柔,18.9/32.0,,前期への取付は可能(ライト類の法規制は通常問題ありませんが、現車確認をしないと正確な判断は出来ません)<br>装着の場合は自己責任となります,108600,1000,108400
トヨタ,86,ZN6,2016/08～,Fr：-15mm<br>Rr：-15mm,後期<br>MT用,93997,,239607,V0491-10B-70-qq-e-11k,V0491-10B-70-qq-e-d-11k,V0491-10B-70,SHOWA TUNING,COMFORT Evolution柔,18.9/32.0,,前期への取付は可能(15mm程度車高が下がる為、ウインカーなどの取り付け高さが法規制を満足しないと予想され、車検対応になりません)<br>装着の場合は自己責任となります,108600,1000,108400
