自動車メーカー,車種,型式,年式,変化量,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリングレート(F/R)N/mm,備考,注意事項,定価,送料,SET価格
スバル,BRZ,ZC6,2012/03～2016/07,Fr：ノーマル同等<br>Rr：ノーマル同等,MT・AT共用,75216,,239628,V0491-10B-30-qq-e-32k,V0491-10B-30-qq-e-d-32k,V0491-10B-30,SHOWA TUNING,COMFORT,21/35.5,,,86000,1000,89100
ダイハツ,コペン,LA400K,2014/06～,Fr：+10～+15mm<br>Rr：+10～+15mm,,82861,,239629,V0521-10B-20-qq-e-33k,V0521-10B-20-qq-e-d-33k,V0521-10B-20,SHOWA TUNING,COMFORT,18/19.5,純正ビルシュタインダンパー装着車には、別途純正部品「フロントスプリングバンパー(ダストカバー+バンプラバー)」が左右1つずつ必要<br>その他の部品は基本的に流用が可能(劣化の状態等によっては新品への交換を推奨),,95200,1000,97000
トヨタ,86,ZN6,2012/04～2016/07,Fr：ノーマル同等<br>Rr：ノーマル同等,MT・AT共用,75216,,239627,V0491-10B-30-qq-e-31k,V0491-10B-30-qq-e-d-31k,V0491-10B-30,SHOWA TUNING,COMFORT,21/35.5,,,86000,1000,89100
