自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,Camp販売,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,Campセット
トヨタ,プリウス,NHW20,1NZ-FXE/1NZ-3CM,03/09～09/04,,132410,126067,127293,80120-AT215-qq-e-260,80120-AT215-qq-e-d-260,80120-AT215,HKS,ハイパーマックスSスタイルX,F=78(8)/R=78(8),200/150,1373/324,559/137,-29(0～72)/-36(-36～87),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,プリウス,ZVW30,2ZR-FXE/2ZR-3JM,09/05～15/11,全グレード取付可,132410,126067,127025,80120-AT216-qq-e-259,80120-AT216-qq-e-d-259,80120-AT216,HKS,ハイパーマックスSスタイルX,F=58(6)/R=38(4),200/Special,765/186,588/127,-42(0～90)/-64(-52～101),リア形状別体,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,プリウスPHV,ZVW35,2ZR-FXE/2ZR-3JM,12/01～17/01,,132410,126067,127026,80120-AT216-qq-e-261,80120-AT216-qq-e-d-261,80120-AT216,HKS,ハイパーマックスSスタイルX,F=58(6)/R=38(4),200/Special,765/186,588/127,-47(-30～69)/-96(-77～130),リア形状別体<br>リア車高下限値はライドハイトアジャスターAssyを取り外した状態のものです<br>出荷時車高では最低地上高9cmを確保できないため、現車合わせにて車高セッティングをおこなってください(出荷時はZVW30用のセッティングになっています),フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,プリウスα,ZVW40W/ZVW41W,2ZR-FXE/2ZR-3JM,11/05～,,132410,126067,127450,80120-AT217-qq-e-262,80120-AT217-qq-e-d-262,80120-AT217,HKS,ハイパーマックスSスタイルX,F=69(7)/R=49(5),170/Special,804/177,549/108,-46(-17～101)/-61(-61～99),リア形状別体<br>車高データはZVW41Wのもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,マークX,GRX120,4GR-FSE,04/11～09/09,,139169,132633,127281,80120-AT206-qq-e-266,80120-AT206-qq-e-d-266,80120-AT206,HKS,ハイパーマックスSスタイルX,F=176(18)/R=157(16),150/170,1846/940,1775/814,-32(0～63)/-49(0～107),車高データはGRX120(4GR-FSE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
トヨタ,マークX,GRX121,3GR-FSE,04/11～09/09,,139169,132633,127449,80120-AT206-qq-e-265,80120-AT206-qq-e-d-265,80120-AT206,HKS,ハイパーマックスSスタイルX,F=176(18)/R=157(16),150/170,1846/940,1775/814,-32(0～63)/-49(0～107),車高データはGRX120(4GR-FSE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
トヨタ,マークX,GRX130,4GR-FSE,09/10～,,139169,132633,127017,80120-AT206-qq-e-264,80120-AT206-qq-e-d-264,80120-AT206,HKS,ハイパーマックスSスタイルX,F=176(18)/R=157(16),150/170,1846/940,1775/814,-47(0～79)/-60(0～118),出荷時のケース長、巻上げ寸法はGRS204に合わせてあります<br>車高データはGRX130(4GR-FSE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
トヨタ,マークX,GRX133,2GR-FSE,09/10～,,139169,132633,127016,80120-AT206-qq-e-263,80120-AT206-qq-e-d-263,80120-AT206,HKS,ハイパーマックスSスタイルX,F=176(18)/R=157(16),150/170,1846/940,1775/814,-47(0～79)/-60(0～118),出荷時のケース長、巻上げ寸法はGRS204に合わせてあります<br>車高データはGRX130(4GR-FSE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
日産,エルグランド,PE52,VQ35DE,10/08～,2WD,145927,139199,127268,80120-AN201-qq-e-273,80120-AN201-qq-e-d-273,80120-AN201,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,1559/412,1363/294,-25(-25～90)/-48(-48～92),リア形状別体<br>ハイウェイスター 7人乗り,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,212000,157100,135900
日産,エルグランド,TE52,QR25DE,10/08～,2WD,145927,139199,127007,80120-AN201-qq-e-274,80120-AN201-qq-e-d-274,80120-AN201,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,1559/412,1363/294,-25(-25～90)/-48(-48～92),リア形状別体<br>車高データはPE52(VQ35DE)のもの<br>ハイウェイスター 7人乗り,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,212000,157100,135900
