自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,Camp販売,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,Campセット
日産,セレナ,C25/CC25,MR20DE,05/05～10/10,2WD,139169,132633,127446,80120-AN202-qq-e-277,80120-AN202-qq-e-d-277,80120-AN202,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,932/304,696/275,-57(0～87)/-55(-55～97),リア形状別体<br>車高データはC25(セレナ)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
日産,セレナ,C26/FC26,MR20DD,10/11～16/07,2WD,139169,132633,127270,80120-AN202-qq-e-276,80120-AN202-qq-e-d-276,80120-AN202,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,932/304,696/275,-56(-56～83)/-50(-50～92),リア形状別体<br>車高データはHFC26(セレナ)のもの<br>フロントキャンバーの調整は出荷時の位置からネガ方向に3目盛り以内としてください,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
日産,セレナ,HC26/HFC26,MR20DD-SM23,12/08～16/07,2WD,139169,132633,127269,80120-AN202-qq-e-275,80120-AN202-qq-e-d-275,80120-AN202,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,932/304,696/275,-56(-56～83)/-50(-50～92),リア形状別体<br>キャンバー調整は出荷時目盛位置からネガ3目盛まで可<br>車高データはHFC26(セレナ)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
ホンダ,インサイト,ZE2,LDA-MF6,09/02～14/03,,132410,126067,127267,80120-AH207-qq-e-279,80120-AH207-qq-e-d-279,80120-AH207,HKS,ハイパーマックスSスタイルX,F=69(7.0)/R=49(5.0),200/Special,961/343,461/235,-51(0～106)/-69(-57～107),車高データはZE2のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
ホンダ,インサイト,ZE3,LEA-MF6,11/11～14/03,エクスクルーシブ,132410,126067,127266,80120-AH207-qq-e-278,80120-AH207-qq-e-d-278,80120-AH207,HKS,ハイパーマックスSスタイルX,F=69(7.0)/R=49(5.0),200/Special,961/343,461/235,-51(0～106)/-69(-57～107),車高データはZE2のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
ホンダ,エリシオン,RR1/RR3,K24A/J30A,04/05～13/10,2WD<br>AFS装着車可,118217,112278,127001,80120-AH204-qq-e-280,80120-AH204-qq-e-d-280,80120-AH204,HKS,ハイパーマックスSスタイルX,F=157(16)/R=130(13),200/Special,1980/679,1445/499,-41(-41～119)/-43(-43～115),リア形状別体<br>車高データはRR1のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,171000,129600,112500
ホンダ,エリシオンプレステージ,RR1,K24A,06/12～,2WD<br>AFS装着車可,118217,112278,127263,80120-AH204-qq-e-282,80120-AH204-qq-e-d-282,80120-AH204,HKS,ハイパーマックスSスタイルX,F=157(16)/R=130(13),200/Special,1980/679,1445/499,-41(-41～119)/-43(-43～115),リア形状別体<br>車高データはRR1(標準車)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,171000,129600,112500
ホンダ,エリシオンプレステージ,RR5,J35A,06/12～,2WD<br>AFS装着車可,118217,112278,127262,80120-AH204-qq-e-281,80120-AH204-qq-e-d-281,80120-AH204,HKS,ハイパーマックスSスタイルX,F=157(16)/R=130(13),200/Special,1980/679,1445/499,-41(-41～119)/-43(-43～115),リア形状別体<br>車高データはRR1(標準車)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,171000,129600,112500
ホンダ,オデッセイ,RA6/RA8,F23A/J30A,99/12～03/10,2WD,118217,112278,127260,80120-AH201-qq-e-286,80120-AH201-qq-e-d-286,80120-AH201,HKS,ハイパーマックスSスタイルX,F=137(14)/R=130(13.3),170/Special,1883/696,1353/471,-48(-41～129)/-56(-56～123),リア形状別体<br>車高データはRA6のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,171000,129600,112500
ホンダ,オデッセイ,RB3,K24A,08/10～13/10,2WD,118217,112278,127443,80120-AH203-qq-e-284,80120-AH203-qq-e-d-284,80120-AH203,HKS,ハイパーマックスSスタイルX,F=137(14)/R=235(24),170/120,1687/696,1559/863,-40(-11～109)/-63(-63～139),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,171000,129600,112500
ホンダ,オデッセイ,RC1,K24W,13/11～17/11,2WD<br>ハイブリッドは適合外,139169,132633,127006,80120-AH210-qq-e-283,80120-AH210-qq-e-d-283,80120-AH210,HKS,ハイパーマックスSスタイルX,F=98(10)/R=100(10.2),220(Barrel)/Special,1069/343,628/235,-37(-37～105)/-40(-40～99),リア形状別体<br>車高データは「アブソルート」のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
ホンダ,オデッセイ/オデッセイアブソルート,RB1,K24A,03/10～08/09,2WD<br>AFS装着車可<br>アブソルート取付可,118217,112278,127261,80120-AH202-qq-e-285,80120-AH202-qq-e-d-285,80120-AH202,HKS,ハイパーマックスSスタイルX,F=137(14)/R=235(24),170/120,1883/696,2540/1285,-49(-49～121)/-42(-42～145),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,171000,129600,112500
ホンダ,ステップワゴン,RF3/RF5/RF7,K20A/K24A,01/04～05/04,2WD,139169,132633,127002,80120-AH205-qq-e-290,80120-AH205-qq-e-d-290,80120-AH205,HKS,ハイパーマックスSスタイルX,F=78(8)/R=115(11.7),200/Special,706/286,1352/474,-34(-21～100)/-28(-21～112),リア形状別体<br>車高データはRF7のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
ホンダ,ステップワゴン,RG1/RG3,K20A/K24A,05/05～09/09,2WD,139169,132633,127004,80120-AH208-qq-e-289,80120-AH208-qq-e-d-289,80120-AH208,HKS,ハイパーマックスSスタイルX,F=78(8)/R=78(8),170/Special,696/216,588/284,-51(0～107)/-70(-70～99),リア形状別体<br>車高データはRG1のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
ホンダ,ステップワゴン,RK1,R20A,09/10～15/03,2WD,139169,132633,127445,80120-AH209-qq-e-288,80120-AH209-qq-e-d-288,80120-AH209,HKS,ハイパーマックスSスタイルX,F=78(8)/R=78(8),170/Special,696/216,588/284,-62(0～107)/-72(-72～96),リア形状別体<br>車高データはRK1のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
ホンダ,ステップワゴン,RK5,R20A,09/10～15/03,2WD,139169,132633,127005,80120-AH209-qq-e-287,80120-AH209-qq-e-d-287,80120-AH209,HKS,ハイパーマックスSスタイルX,F=78(8)/R=78(8),170/Special,696/216,588/284,-62(0～107)/-72(-72～96),リア形状別体<br>車高データはRK1のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
ホンダ,フィット,GE6,L13A,07/10～13/08,2WD FF用 1.3L,132410,126067,127003,80120-AH206-qq-e-292,80120-AH206-qq-e-d-292,80120-AH206,HKS,ハイパーマックスSスタイルX,F=59(6)/R=39(4),200/Special,941/235,412/127,-39(-12～96)/-59(-47～116),リア形状別体,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
ホンダ,フィット,GE8,L15A,07/10～13/08,2WD FF用,132410,126067,127264,80120-AH206-qq-e-291,80120-AH206-qq-e-d-291,80120-AH206,HKS,ハイパーマックスSスタイルX,F=59(6)/R=39(4),200/Special,941/235,412/127,-27(0～84)/-53(-41～110),リア形状別体<br>車高データはGE8のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
ホンダ,フィットハイブリッド,GP1,LDA-MF6,10/10～13/08,2WD,132410,126067,127444,80120-AH206-qq-e-294,80120-AH206-qq-e-d-294,80120-AH206,HKS,ハイパーマックスSスタイルX,F=59(6)/R=39(4),200/Special,941/235,412/127,-27(0～84)/-53(-41～110),リア形状別体,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
ホンダ,フィットハイブリッド,GP4,LEA-MF6,12/05～13/08,「RS」2WD,132410,126067,127265,80120-AH206-qq-e-293,80120-AH206-qq-e-d-293,80120-AH206,HKS,ハイパーマックスSスタイルX,F=59(6)/R=39(4),200/Special,941/235,412/127,-27(0～84)/-53(-41～110),リア形状別体<br>車高データはGE8のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
レクサス,IS250,GSE20,4GR-FSE,05/09～13/04,,139169,132633,127282,80120-AT206-qq-e-301,80120-AT206-qq-e-d-301,80120-AT206,HKS,ハイパーマックスSスタイルX,F=176(18)/R=157(16),150/170,1846/940,1775/814,-32(0～71)/-54(0～122),車高データはIS350のもの<br>出荷時のケース長、巻上げ寸法はGRS204に合わせてあります,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
レクサス,IS350,GSE21,2GR-FSE,05/09～13/04,,139169,132633,127283,80120-AT206-qq-e-302,80120-AT206-qq-e-d-302,80120-AT206,HKS,ハイパーマックスSスタイルX,F=176(18)/R=157(16),150/170,1846/940,1775/814,-32(0～71)/-54(0～122),車高データはIS350のもの<br>出荷時のケース長、巻上げ寸法はGRS204に合わせてあります,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
