自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,C_SET価格
トヨタ,チェイサー,GX100,1G-FE,96/09～00/10,,139169,132633,126934,80015-AT101-qq-e-207,80015-AT101-qq-e-d-207,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,チェイサー,GX90,1G-FE,92/10～96/08,,139169,132633,127184,80015-AT101-qq-e-210,80015-AT101-qq-e-d-210,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,チェイサー,JZX100,1JZ-GE/1JZ-GTE,96/09～00/10,,139169,132633,126932,80015-AT101-qq-e-205,80015-AT101-qq-e-d-205,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,チェイサー,JZX101,2JZ-GE,96/09～00/10,,139169,132633,126933,80015-AT101-qq-e-206,80015-AT101-qq-e-d-206,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,チェイサー,JZX90,1JZ-GE/1JZ-GTE,92/10～96/08,,139169,132633,127183,80015-AT101-qq-e-208,80015-AT101-qq-e-d-208,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,チェイサー,JZX91,2JZ-GE,92/10～96/08,,139169,132633,126935,80015-AT101-qq-e-209,80015-AT101-qq-e-d-209,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,チェイサー,SX90,4S-FE,92/10～96/08,,139169,132633,126936,80015-AT101-qq-e-211,80015-AT101-qq-e-d-211,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,マークII,GX100,1G-FE,96/09～00/10,,139169,132633,126937,80015-AT101-qq-e-216,80015-AT101-qq-e-d-216,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,マークII,GX110,1G-FE,00/10～04/10,,139169,132633,127187,80015-AT102-qq-e-213,80015-AT102-qq-e-d-213,80015-AT102,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=137(14),170/200,4599/1196,1432/775,-42(0～98)/-15(0～70),車高データはJZX110(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
トヨタ,マークII,GX90,1G-FE,92/10～96/08,,139169,132633,126940,80015-AT101-qq-e-219,80015-AT101-qq-e-d-219,80015-AT101,HKS,ハイパーマックスD'ノブスペック,F=157(16)/R=98(10),200/170,3413/1167,917/713,-11(0～89)/-6(0～94),車高データはJZX100(1JZ-GTE)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,142300
