"自動車メーカー,車種,型式,エンジン,年式,適合詳細,ダウン量,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,バネレート【F/R】(kg/mm)	,定価,送料,SET価格"
ダイハツ,タントカスタム,L350S,EF,05/6～,,Fr：20～30mm<br>Rr：20～30mm,,13960,,260359,H100D10-qq-e-f1-98k,H100D10-qq-e-d-98k,H100D10,JIC,X-MAGIC,1台分,2.4/2.1,25000,1100,29800
ダイハツ,タントカスタム,L375S,KF,07/12～,NA<br>電動片側スライドドア車専用,Fr：40～50mm<br>Rr：30～40mm,,14469,,260360,H100L37-qq-e-f1-99k,H100L37-qq-e-d-99k,H100L37,JIC,X-MAGIC,1台分,2.1/2.3,26000,1100,30300
ダイハツ,タントカスタム,LA600S,KF,13/10～,2WDターボ車用<br>電動両側スライドドア車専用,Fr：35～45mm<br>Rr：35～45mm,,14469,,260362,H100LA6-qq-e-f1-101k,H100LA6-qq-e-d-101k,H100LA6,JIC,X-MAGIC,1台分,2.1/2.3,26000,1100,30300
ダイハツ,タントカスタム,LA600S,KF,13/10～,NA<br>電動片側スライドドア車専用,Fr：40～50mm<br>Rr：30～40mm,,14469,,260361,H100L37-qq-e-f1-100k,H100L37-qq-e-d-100k,H100L37,JIC,X-MAGIC,1台分,2.1/2.3,26000,1100,30300
ダイハツ,ミライース,LA300S,KF,11/9～,,Fr：25～35mm<br>Rr：25～35mm,,12940,,260353,H100LA1-qq-e-f1-92k,H100LA1-qq-e-d-92k,H100LA1,JIC,X-MAGIC,1台分,2.06/1.37,23000,1100,28700
ダイハツ,ミラココア,L675S,KF,09/8～,,Fr：30～40mm<br>Rr：25～35mm,,11666,,260352,H100N70-qq-e-f1-91k,H100N70-qq-e-d-91k,H100N70,JIC,X-MAGIC,1台分,2.06/2.29,20500,1100,27300
ダイハツ,ムーヴ,L150S/L152S,EF/JB,02/10～,ムーヴカスタムRS専用設定<br>4WD/EF型エンジン搭載車装着未確認,Fr：25～35mm<br>Rr：20～30mm,,12431,,260354,H100N40-qq-e-f1-93k,H100N40-qq-e-d-93k,H100N40,JIC,X-MAGIC,1台分,1.9/2.1,22000,1100,28100
ダイハツ,ムーヴカスタム,L175S,KF,06/10～,,Fr：25～35mm<br>Rr：20～30mm,,11666,,260355,H100N70-qq-e-f1-94k,H100N70-qq-e-d-94k,H100N70,JIC,X-MAGIC,1台分,2.06/2.29,20500,1100,27300
ダイハツ,ムーヴカスタム,LA100S,KF,10/12～,NA,Fr：35～45mm<br>Rr：35～45mm,,11666,,260357,H100N70-qq-e-f1-96k,H100N70-qq-e-d-96k,H100N70,JIC,X-MAGIC,1台分,2.06/2.29,20500,1100,27300
ダイハツ,ムーヴカスタム,LA100S,KF,10/12～,ターボ,Fr：30～40mm<br>Rr：35～45mm,,12940,,260356,H100LA1-qq-e-f1-95k,H100LA1-qq-e-d-95k,H100LA1,JIC,X-MAGIC,1台分,2.06/1.37,23000,1100,28700
ダイハツ,ムーヴカスタム,LA150S,KF,14/12～,2WDターボ車用,Fr：30～40mm<br>Rr：35～45mm,Fバンプラバー15mm要カット,13960,,260358,H100LA5-qq-e-f1-97k,H100LA5-qq-e-d-97k,H100LA5,JIC,X-MAGIC,1台分,1.46/1.29,25000,1100,29800
