自動車メーカー,車種,型式,年式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,マウント(F/R),バネ(F/R),ダウン量,仕様,備考,注意事項,定価,送料,SET価格
三菱,ランサー/ミラージュ,CB#/CC#/CD#,H3～H7,2WD,141376,,246265,RS-MT27-qq-e-f1-1172,RS-MT27-qq-e-d-1172,RS-MT27,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/14K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサー/ミラージュ,CM5A,H7～H12,,141376,,247129,RS-MT28-qq-e-f1-1173,RS-MT28-qq-e-d-1173,RS-MT28,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/14K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサーエボリューション/II/III,CE9A,H4～H8,,141376,,246836,RS-MT17-qq-e-f1-1174,RS-MT17-qq-e-d-1174,RS-MT17,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/14K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサーエボリューションIV,CN9A,H8～H9,,141376,,246559,RS-MT18-qq-e-f1-1176,RS-MT18-qq-e-d-1176,RS-MT18,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,16K/16K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサーエボリューションIX,CT9A,H17～H19,,133621,,247128,RS-MT19-B-qq-e-f1-1181,RS-MT19-B-qq-e-d-1181,RS-MT19-B,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,18K/18K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,168000,2000,153100
三菱,ランサーエボリューションV,CP9A,H10～H11,,141376,,246558,RS-MT18-A-qq-e-f1-1177,RS-MT18-A-qq-e-d-1177,RS-MT18-A,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,16K/16K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサーエボリューションVI,CP9A,H11～H13,,141376,,247127,RS-MT18-B-qq-e-f1-1178,RS-MT18-B-qq-e-d-1178,RS-MT18-B,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,16K/16K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサーエボリューションVII,CT9A,H13～H15,,141376,,247715,RS-MT19-qq-e-f1-1179,RS-MT19-qq-e-d-1179,RS-MT19,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,18K/18K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサーエボリューションVIII,CT9A,H15～H17,,133621,,246837,RS-MT19-A-qq-e-f1-1180,RS-MT19-A-qq-e-d-1180,RS-MT19-A,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,18K/18K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,168000,2000,153100
三菱,ランサーエボリューションX,CZ4A,H19～H27,,133621,,247406,RS-MT20-qq-e-f1-1175,RS-MT20-qq-e-d-1175,RS-MT20,XYZ,RSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,18K/18K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,168000,2000,153100
三菱,ランサーセディア,CS5A/CS2A,H12～H15,,141376,,246560,RS-MT29-qq-e-f1-1182,RS-MT29-qq-e-d-1182,RS-MT29,XYZ,RSタイプ車高調,調整式ピロアッパー/純正アッパー,16K/12K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
三菱,ランサーセディアワゴン,CS5W,H12～H15,,141376,,246266,RS-MT29-qq-e-f1-1183,RS-MT29-qq-e-d-1183,RS-MT29,XYZ,RSタイプ車高調,調整式ピロアッパー/純正アッパー,16K/12K,,フルタップ式車高調<br>減衰力30段,,,178000,2000,161200
三菱,レグナム,EC1W/EC3W/EC4W/EC5W/EC7W,H8～H14,4WD,141376,,247130,RS-MT31-qq-e-f1-1184,RS-MT31-qq-e-d-1184,RS-MT31,XYZ,RSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,24.8K/18.6K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,178000,2000,161200
レクサス,GS350/GS430,,H17～H24,4WD不可,133621,,246243,RS-LE05-qq-e-f1-997,RS-LE05-qq-e-d-997,RS-LE05,XYZ,RSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,24.8K/20K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,168000,2000,153100
レクサス,IS F,USE20,H19～H26,,133621,,246244,RS-LE07-A-qq-e-f1-999,RS-LE07-A-qq-e-d-999,RS-LE07-A,XYZ,RSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,24.8K/20K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,153100
レクサス,IS250/IS350,GSE20/GSE21,H17～H25,4WD不可,133621,,246824,RS-LE07-qq-e-f1-998,RS-LE07-qq-e-d-998,RS-LE07,XYZ,RSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,24.8K/20K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,168000,2000,153100
レクサス,SC430,UZZ40,H17～H22,,133621,,246246,RS-LE13-qq-e-f1-1000,RS-LE13-qq-e-d-1000,RS-LE13,XYZ,RSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,24.8K/20K,,フルタップ式車高調<br>減衰力30段<br>ショートストローク&ハイバネレート,,,168000,2000,163100
