自動車メーカー,車種,型式,年式,エンジン型式,備考,SET価格,Camp価格,メーカー品番
トヨタ,プロボックス,NCP51V,02/07～10/03,1NZ-FE,排ガス記号：UB-,62600,62100,62520V
トヨタ,プロボックス,NCP58G,02/07～10/03,1NZ-FE,排ガス記号：CBA-,62600,62100,62520V
トヨタ,プロボックス,NCP58G,02/07～10/03,1NZ-FE,排ガス記号：UA-,62600,62100,62520V
トヨタ,マークII,JZX100,96/09～98/08,1JZ-GTE,,68360,67860,62101V
トヨタ,マークII,JZX100,98/08～00/10,1JZ-GTE,,68360,67860,62103V
日産,180SX,KRPS13,91/01～,SR20DET,,61160,60660,62110V
日産,180SX,RPS13,91/01～,SR20DET,,61160,60660,62110V
日産,NV100クリッパーリオ,DR17W,15/02～,K6A,,57560,57060,63526V
日産,キューブ,Z12,08/11～09/01,HR15DE,,40280,39780,63089V
日産,シルビア,CS14,93/10～99/01,SR20DET,,56840,56340,62111V
日産,シルビア,KPS13,91/01～93/10,SR20DET,,61160,60660,62110V
日産,シルビア,PS13,91/01～93/10,SR20DET,,61160,60660,62110V
日産,シルビア,S14,93/10～99/01,SR20DET,,56840,56340,62111V
日産,シルビア,S15,99/01～,SR20DET,,56840,56340,62112V
日産,スカイライン,ER34,98/05～01/06,RB25DET,2Dr専用,59000,58500,62108V
日産,スカイライン,ER34,98/05～01/06,RB25DET,4Dr専用,59000,58500,62109V
日産,スカイラインGT-R,BCNR33,95/01～99/01,RB26DETT,,62600,62100,62122V
日産,セレナ,GFC27,16/08～,MR20DD,,97160,96660,63531V
日産,セレナ,GFNC27,16/08～,MR20DD,,97160,96660,63532V
日産,デイズ,B21W,13/06～,3B20,,56840,56340,63514V
日産,デイズルークス,B21A,14/02～,3B20,,56840,56340,63514V
日産,ノート,E12,12/09～,HR12DDR,,37400,36900,63516V
日産,ノートニスモ,E12改,14/10～,HR16DE,,44600,44100,63524V
日産,フーガ,KY51,09/11～15/01,VQ37VHR,,140360,139860,62094V
日産,フェアレディZ,HZ33,07/01～08/12,VQ35HR,,97160,96660,62033V
日産,フェアレディZ,Z33,02/07～04/09,VQ35DE,,97160,96660,62033V
日産,フェアレディZ,Z33,04/09～05/09,VQ35DE,,97160,96660,62033V
日産,フェアレディZ,Z33,07/01～08/12,VQ35HR,,97160,96660,62033V
日産,フェアレディZ,Z34,08/12～,VQ37VHR,,140360,139860,62078V
日産,マーチニスモ,K13改,13/12～,HR15DE,,66920,66420,63158V
ホンダ,CR-Z,ZF1,10/02～,LEA,,46760,46260,62082V
ホンダ,CR-Z,ZF2,12/09～,LEA,,46760,46260,62128V
ホンダ,N-BOX+カスタム,JF1,12/07～,S07A,,62600,62100,63502V
ホンダ,N-BOXカスタム,JF1,11/12～,S07A,,62600,62100,63502V
ホンダ,N-BOXカスタム,JF2,11/12～,S07A,,62600,62100,63507V
ホンダ,N-BOXスラッシュ,JF1,14/12～,S07A,,62600,62100,63519V
ホンダ,N-ONE,JG1,12/11～,S07A,,62600,62100,63501V
ホンダ,N-WGNカスタム,JH1,13/11～,S07A,,62600,62100,63510V
ホンダ,S2000,AP1,99/04～05/11,F20C,,82040,81540,63162V
ホンダ,S660,JW5,15/04～,S07A,フロントパイプ付,85000,83700,63166V
ホンダ,S660,JW5,15/04～,S07A,,74800,73800,63165V
ホンダ,インサイト,ZE2,09/02～,LDA,,46760,46260,62080V
ホンダ,オデッセイ,RC2,13/11～,K24W,ダミー,39560,39060,62514V
ホンダ,オデッセイ,RC2,13/11～,K24W,,89960,89460,62513V
ホンダ,ステップワゴン,RK5,09/10～,R20A,,75560,75060,63093V
ホンダ,フィット,GE8,07/10～13/09,L15A,,46760,46260,62066V
